TM,PM10_yanan,PM10_tongliao,PM10_qingdao,PM10_chifeng,PM10_dalian
201801010000,195.0,129.0,54.0,14.0,49.0
201801010300,131.0,40.0,73.0,7.0,94.0
201801010600,0.0,22.0,93.0,11.0,71.0
201801010900,171.0,84.0,104.0,73.0,120.0
201801011200,0.0,42.0,118.0,11.0,30.0
201801011500,88.0,331.0,84.0,17.0,43.0
201801011800,178.0,48.0,65.0,49.0,47.0
201801012100,113.0,8.0,38.0,29.0,33.0
201801020000,131.0,17.0,27.0,46.0,0.0
201801020300,127.0,0.0,29.0,26.0,18.0
201801020600,146.0,12.0,27.0,23.0,40.0
201801020900,141.0,16.0,81.0,44.0,32.0
201801021200,40.0,16.0,61.0,29.0,63.0
201801021500,40.0,35.0,151.0,0.0,50.0
201801021800,42.0,19.0,69.0,31.0,18.0
201801022100,39.0,44.0,52.0,18.0,64.0
201801030000,19.0,47.0,26.0,12.0,53.0
201801030300,38.0,0.0,34.0,10.0,37.0
201801030600,50.0,6.0,47.0,22.0,41.0
201801030900,106.0,79.0,53.0,24.0,32.0
201801031200,67.0,34.0,41.0,20.0,26.0
201801031500,75.0,30.0,42.0,34.0,19.0
201801031800,65.0,60.0,35.0,24.0,11.0
201801032100,66.0,19.0,17.0,20.0,23.0
201801040000,55.0,8.0,26.0,11.0,16.0
201801040300,50.0,14.0,28.0,13.0,34.0
201801040600,72.0,12.0,33.0,26.0,45.0
201801040900,36.0,75.0,55.0,7.0,48.0
201801041200,41.0,30.0,54.0,14.0,29.0
201801041500,55.0,16.0,57.0,70.0,22.0
201801041800,35.0,48.0,62.0,57.0,25.0
201801042100,0.0,52.0,55.0,40.0,13.0
201801050000,0.0,0.0,23.0,19.0,7.0
201801050300,0.0,22.0,20.0,27.0,41.0
201801050600,0.0,35.0,34.0,71.0,28.0
201801050900,47.0,86.0,42.0,60.0,19.0
201801051200,48.0,21.0,68.0,40.0,39.0
201801051500,58.0,24.0,85.0,27.0,27.0
201801051800,47.0,71.0,67.0,25.0,19.0
201801052100,68.0,50.0,71.0,19.0,42.0
201801060000,53.0,13.0,90.0,11.0,29.0
201801060300,59.0,4.0,126.0,8.0,45.0
201801060600,66.0,7.0,157.0,113.0,25.0
201801060900,70.0,75.0,164.0,31.0,0.0
201801061200,64.0,18.0,100.0,25.0,42.0
201801061500,15.0,2.0,57.0,80.0,46.0
201801061800,22.0,33.0,50.0,286.0,23.0
201801062100,41.0,58.0,45.0,72.0,18.0
201801070000,52.0,19.0,143.0,61.0,17.0
201801070300,22.0,11.0,90.0,48.0,19.0
201801070600,39.0,50.0,69.0,127.0,8.0
201801070900,62.0,49.0,126.0,59.0,33.0
201801071200,45.0,43.0,69.0,21.0,33.0
201801071500,23.0,73.0,51.0,27.0,49.0
201801071800,33.0,73.0,61.0,24.0,23.0
201801072100,36.0,92.0,103.0,11.0,40.0
201801080000,43.0,67.0,70.0,14.0,18.0
201801080300,15.0,139.0,102.0,13.0,50.0
201801080600,6.0,0.0,99.0,35.0,67.0
201801080900,40.0,12.0,94.0,31.0,66.0
201801081200,31.0,66.0,131.0,148.0,21.0
201801081500,19.0,119.0,118.0,35.0,44.0
201801081800,17.0,50.0,90.0,30.0,86.0
201801082100,19.0,10.0,93.0,15.0,48.0
201801090000,67.0,4.0,53.0,9.0,16.0
201801090300,53.0,0.0,49.0,4.0,33.0
201801090600,50.0,0.0,56.0,58.0,17.0
201801090900,62.0,54.0,55.0,32.0,24.0
201801091200,137.0,40.0,41.0,199.0,31.0
201801091500,83.0,0.0,44.0,16.0,29.0
201801091800,55.0,45.0,69.0,12.0,11.0
201801092100,40.0,26.0,87.0,14.0,18.0
201801100000,116.0,60.0,46.0,5.0,77.0
201801100300,1.0,9.0,33.0,7.0,37.0
