TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201801020000,156.0,42.0,156,25,1.0,-9,-9.0,-9,1020.9,1030.1,2,1.3,0.5,-5.3,65.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1184,-9.0,-9.0,-9,-3.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201801020100,156.0,33.0,156,29,0.6,-9,-9.0,-9,1020.8,1030.0,-9,-9.0,0.1,-5.7,65.0,4.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,0,-9,-,-9,-9,-9,1188,-9.0,-9.0,-9,-3.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201801020200,156.0,55.0,156,0,0.0,-9,-9.0,-9,1020.9,1030.2,-9,-9.0,-0.7,-5.1,72.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,0,-9,-,-9,-9,-9,1065,-9.0,-9.0,-9,-4.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201801020300,156.0,56.0,156,5,0.6,-9,-9.0,-9,1021.0,1030.3,3,0.2,-0.5,-4.9,72.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1123,-9.0,-9.0,-9,-4.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201801020400,156.0,40.0,156,0,0.4,-9,-9.0,-9,1020.4,1029.7,-9,-9.0,-1.4,-4.9,77.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1031,-9.0,-9.0,-9,-4.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201801020500,156.0,37.0,156,0,0.0,-9,-9.0,-9,1020.3,1029.6,-9,-9.0,-2.6,-5.0,83.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,946,-9.0,-9.0,-9,-4.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020600,156.0,39.0,156,0,0.2,-9,-9.0,-9,1020.4,1029.7,5,-0.6,-2.5,-4.9,83.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,924,-9.0,-9.0,-9,-5.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020700,156.0,52.0,156,25,0.8,-9,-9.0,-9,1021.1,1030.4,-9,-9.0,-2.6,-4.9,84.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,883,-9.0,-9.0,-9,-5.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020800,156.0,42.0,156,0,0.0,-9,-9.0,-9,1021.4,1030.7,-9,-9.0,-2.1,-4.4,84.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,887,0.0,0.01,-9,-5.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020900,156.0,58.0,156,0,0.3,-9,-9.0,-9,1021.2,1030.5,0,0.8,-1.0,-4.1,79.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,835,0.3,0.3,-9,-3.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801021000,156.0,74.0,156,23,0.6,-9,-9.0,-9,1021.1,1030.3,-9,-9.0,0.2,-4.0,73.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,793,1.0,0.83,-9,-1.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801021100,156.0,80.0,156,25,1.3,-9,-9.0,-9,1021.4,1030.6,-9,-9.0,1.8,-3.8,66.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,4019,0,0,-9,-,-9,-9,-9,816,1.0,1.29,-9,0.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801021200,156.0,78.0,156,0,0.2,-9,-9.0,-9,1020.9,1030.0,8,-0.5,4.3,-3.4,57.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,872,1.0,1.65,-9,4.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801021300,156.0,82.0,156,23,1.5,-9,-9.0,-9,1019.8,1028.8,-9,-9.0,5.7,-3.4,52.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,968,0.9,1.76,-9,9.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801021400,156.0,72.0,156,25,0.8,-9,-9.0,-9,1019.0,1028.0,-9,-9.0,6.5,-2.4,53.0,5.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,20,40,8,8,12,Sc,0,0,5,889,0.3,1.16,-9,8.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
