TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,143.0,20.0,143,36,0.8,-9,-9.0,-9,1017.7,1024.7,8,-0.1,-2.8,-4.9,85.0,4.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,15,Sc,0,0,5,1714,-9.0,-9.0,-9,-3.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020100,143.0,22.0,143,34,0.7,-9,-9.0,-9,1018.0,1025.0,-9,-9.0,-3.6,-5.3,88.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,3,18,-,-9,-9,-9,1525,-9.0,-9.0,-9,-2.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101020200,143.0,23.0,143,25,0.6,-9,-9.0,-9,1018.2,1025.2,-9,-9.0,-3.1,-5.1,86.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,6,14,-,-9,-9,-9,1601,-9.0,-9.0,-9,-2.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101020300,143.0,24.0,143,23,0.9,-9,-9.0,-9,1018.5,1025.5,2,0.8,-2.1,-4.2,85.0,4.5,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,71,72,05,9,9,13,Sc,0,0,5,1530,-9.0,-9.0,-9,-1.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020400,143.0,24.0,143,32,1.3,-9,-9.0,-9,1018.4,1025.4,-9,-9.0,-1.7,-3.7,86.0,4.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,22,72,05,5,5,16,Sc,0,0,5,1456,-9.0,-9.0,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020500,143.0,25.0,143,36,0.8,-9,-9.0,-9,1018.5,1025.5,-9,-9.0,-2.3,-4.6,84.0,4.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,16,Sc,0,0,5,1411,-9.0,-9.0,-9,-2.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020600,143.0,23.0,143,32,1.9,-9,-9.0,-9,1019.0,1026.0,3,0.5,-1.7,-4.3,82.0,4.4,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,16,Sc,0,0,5,1159,-9.0,-9.0,-9,-2.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020700,143.0,25.0,143,29,1.3,-9,-9.0,-9,1019.4,1026.4,-9,-9.0,-2.1,-6.1,74.0,3.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,15,Sc,0,0,5,1652,-9.0,-9.0,-9,-3.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020800,143.0,25.0,143,32,1.3,-9,-9.0,-9,1020.1,1027.1,-9,-9.0,-2.6,-5.7,79.0,4.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,12,Sc,0,0,5,1481,0.0,0.02,-9,-3.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020900,143.0,24.0,143,29,3.2,-9,-9.0,-9,1020.8,1027.8,2,1.8,-1.4,-6.3,69.0,3.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,12,Sc,0,0,5,1762,0.9,0.41,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021000,143.0,25.0,143,29,2.6,-9,-9.0,-9,1021.5,1028.4,-9,-9.0,-0.3,-7.5,58.0,3.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,14,Sc,0,0,5,1977,1.0,0.94,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021100,143.0,32.0,143,32,3.9,-9,-9.0,-9,1021.2,1028.1,-9,-9.0,0.2,-10.9,43.0,2.7,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,14,Sc,0,0,5,1920,1.0,1.44,-9,2.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021200,143.0,31.0,143,29,4.8,-9,-9.0,-9,1020.8,1027.7,8,-0.1,1.1,-14.1,31.0,2.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,14,Sc,0,0,5,1946,1.0,1.83,-9,6.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021300,143.0,30.0,143,29,5.6,-9,-9.0,-9,1020.3,1027.2,-9,-9.0,1.7,-12.5,34.0,2.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,16,Sc,0,0,5,1971,1.0,1.98,-9,7.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021400,143.0,30.0,143,29,7.7,29,12.0,1336,1019.8,1026.7,-9,-9.0,1.5,-12.3,35.0,2.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1951,1.0,1.81,-9,6.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021500,143.0,27.0,143,29,5.9,29,12.0,1336,1020.1,1027.0,5,-0.7,1.6,-13.7,31.0,2.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1997,1.0,1.54,-9,6.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021600,143.0,26.0,143,29,6.1,-9,-9.0,-9,1020.1,1027.0,-9,-9.0,1.0,-14.6,30.0,2.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1991,1.0,1.02,-9,4.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021700,143.0,34.0,143,29,4.7,-9,-9.0,-9,1021.1,1028.0,-9,-9.0,0.2,-14.5,32.0,2.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.8,0.41,-9,0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
