TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201801010000,53845.0,1.0,3.0,2.0,61.0,20.0,1.0,-10.5,-13.9,76.0,1028.1,2.0,0.8,0.0,cma,195.0
201801010100,53845.0,1.0,3.0,2.0,61.0,20.0,1.0,-10.5,-13.9,76.0,1028.1,2.0,0.8,0.0,cma,195.0
201801010200,53845.0,1.0,3.0,2.0,61.0,20.0,1.0,-10.5,-13.9,76.0,1028.1,2.0,0.8,0.0,cma,195.0
201801010300,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0
201801010400,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0
201801010500,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0
201801010600,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0
201801010700,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0
201801010800,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0
201801010900,53845.0,1.0,3.0,2.0,73.0,40.0,1.0,5.2,-18.6,16.0,1024.1,7.0,0.2,0.0,cma,0.0
201801011000,53845.0,1.0,3.0,2.0,73.0,40.0,1.0,5.2,-18.6,16.0,1024.1,7.0,0.2,0.0,cma,0.0
201801011100,53845.0,1.0,3.0,2.0,73.0,40.0,1.0,5.2,-18.6,16.0,1024.1,7.0,0.2,0.0,cma,0.0
201801011200,53845.0,1.0,3.0,2.0,59.0,40.0,3.0,0.3,-15.2,30.1,1028.9,2.0,2.6,0.0,cma,171.0
201801011300,53845.0,1.0,3.0,2.0,59.0,40.0,3.0,0.3,-15.2,30.1,1028.9,2.0,2.6,0.0,cma,171.0
201801011400,53845.0,1.0,3.0,2.0,59.0,40.0,3.0,0.3,-15.2,30.1,1028.9,2.0,2.6,0.0,cma,171.0
201801011500,53845.0,1.0,3.0,2.0,64.0,340.0,2.0,-1.9,-15.7,33.9,1028.9,2.0,1.4,0.0,cma,0.0
201801011600,53845.0,1.0,3.0,2.0,64.0,340.0,2.0,-1.9,-15.7,33.9,1028.9,2.0,1.4,0.0,cma,0.0
201801011700,53845.0,1.0,3.0,2.0,64.0,340.0,2.0,-1.9,-15.7,33.9,1028.9,2.0,1.4,0.0,cma,0.0
201801011800,53845.0,1.0,3.0,2.0,60.0,290.0,1.0,-6.2,-15.2,48.9,1028.2,2.0,0.1,0.0,cma,88.0
201801011900,53845.0,1.0,3.0,2.0,60.0,290.0,1.0,-6.2,-15.2,48.9,1028.2,2.0,0.1,0.0,cma,88.0
201801012000,53845.0,1.0,3.0,2.0,60.0,290.0,1.0,-6.2,-15.2,48.9,1028.2,2.0,0.1,0.0,cma,88.0
201801012100,53845.0,1.0,3.0,2.0,61.0,290.0,1.0,-7.4,-14.9,55.0,1029.1,2.0,0.6,0.0,cma,178.0
201801012200,53845.0,1.0,3.0,2.0,61.0,290.0,1.0,-7.4,-14.9,55.0,1029.1,2.0,0.6,0.0,cma,178.0
201801012300,53845.0,1.0,3.0,2.0,61.0,290.0,1.0,-7.4,-14.9,55.0,1029.1,2.0,0.6,0.0,cma,178.0
201801020000,53845.0,1.0,3.0,2.0,61.0,0.0,0.0,-7.8,-14.4,59.1,1031.7,2.0,1.0,0.0,cma,113.0
201801020100,53845.0,1.0,3.0,2.0,61.0,0.0,0.0,-7.8,-14.4,59.1,1031.7,2.0,1.0,0.0,cma,113.0
201801020200,53845.0,1.0,3.0,2.0,61.0,0.0,0.0,-7.8,-14.4,59.1,1031.7,2.0,1.0,0.0,cma,113.0
201801020300,53845.0,1.0,3.0,2.0,61.0,360.0,2.0,-1.2,-14.4,35.9,1033.0,2.0,2.1,0.0,cma,131.0
201801020400,53845.0,1.0,3.0,2.0,61.0,360.0,2.0,-1.2,-14.4,35.9,1033.0,2.0,2.1,0.0,cma,131.0
201801020500,53845.0,1.0,3.0,2.0,61.0,360.0,2.0,-1.2,-14.4,35.9,1033.0,2.0,2.1,0.0,cma,131.0
201801020600,53845.0,1.0,3.0,2.0,74.0,40.0,4.0,2.3,-15.2,26.1,1030.4,7.0,2.4,0.0,cma,127.0
201801020700,53845.0,1.0,3.0,2.0,74.0,40.0,4.0,2.3,-15.2,26.1,1030.4,7.0,2.4,0.0,cma,127.0
201801020800,53845.0,1.0,3.0,2.0,74.0,40.0,4.0,2.3,-15.2,26.1,1030.4,7.0,2.4,0.0,cma,127.0
201801020900,53845.0,1.0,3.0,2.0,80.0,20.0,4.0,1.0,-17.3,24.0,1032.0,2.0,0.8,0.0,cma,146.0
201801021000,53845.0,1.0,3.0,2.0,80.0,20.0,4.0,1.0,-17.3,24.0,1032.0,2.0,0.8,0.0,cma,146.0
201801021100,53845.0,1.0,3.0,2.0,80.0,20.0,4.0,1.0,-17.3,24.0,1032.0,2.0,0.8,0.0,cma,146.0
201801021200,53845.0,1.0,3.0,2.0,72.0,40.0,4.0,-1.6,-15.4,34.0,1035.9,2.0,2.6,0.0,cma,141.0
201801021300,53845.0,1.0,3.0,2.0,72.0,40.0,4.0,-1.6,-15.4,34.0,1035.9,2.0,2.6,0.0,cma,141.0
201801021400,53845.0,1.0,3.0,2.0,72.0,40.0,4.0,-1.6,-15.4,34.0,1035.9,2.0,2.6,0.0,cma,141.0
201801021500,53845.0,1.0,3.0,2.0,76.0,20.0,2.0,-2.5,-14.9,37.9,1035.3,2.0,0.9,0.0,cma,40.0
201801021600,53845.0,1.0,3.0,2.0,76.0,20.0,2.0,-2.5,-14.9,37.9,1035.3,2.0,0.9,0.0,cma,40.0
201801021700,53845.0,1.0,3.0,2.0,76.0,20.0,2.0,-2.5,-14.9,37.9,1035.3,2.0,0.9,0.0,cma,40.0
201801021800,53845.0,1.0,3.0,2.0,74.0,20.0,3.0,-3.2,-15.8,37.1,1035.1,2.0,0.5,0.0,cma,40.0
201801021900,53845.0,1.0,3.0,2.0,74.0,20.0,3.0,-3.2,-15.8,37.1,1035.1,2.0,0.5,0.0,cma,40.0
201801022000,53845.0,1.0,3.0,2.0,74.0,20.0,3.0,-3.2,-15.8,37.1,1035.1,2.0,0.5,0.0,cma,40.0
201801022100,53845.0,1.0,3.0,2.0,72.0,20.0,4.0,-4.1,-16.3,38.0,1035.4,7.0,0.3,0.0,cma,42.0
201801022200,53845.0,1.0,3.0,2.0,72.0,20.0,4.0,-4.1,-16.3,38.0,1035.4,7.0,0.3,0.0,cma,42.0
201801022300,53845.0,1.0,3.0,2.0,72.0,20.0,4.0,-4.1,-16.3,38.0,1035.4,7.0,0.3,0.0,cma,42.0
201801030000,53845.0,1.0,3.0,2.0,73.0,20.0,4.0,-5.3,-14.6,48.0,1037.3,2.0,0.7,0.0,cma,39.0
201801030100,53845.0,1.0,3.0,2.0,73.0,20.0,4.0,-5.3,-14.6,48.0,1037.3,2.0,0.7,0.0,cma,39.0
