TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201801010000,156.0,,,,,,,,,,,,,,,,39.0
201801010100,156.0,,,,,,,,,,,,,,,,41.0
201801010200,156.0,,,,,,,,,,,,,,,,37.0
201801010300,156.0,,,,,,,,,,,,,,,,50.0
201801010400,156.0,,,,,,,,,,,,,,,,41.0
201801010500,156.0,,,,,,,,,,,,,,,,41.0
201801010600,156.0,,,,,,,,,,,,,,,,31.0
201801010700,156.0,,,,,,,,,,,,,,,,37.0
201801010800,156.0,,,,,,,,,,,,,,,,38.0
201801010900,156.0,,,,,,,,,,,,,,,,36.0
201801011000,156.0,,,,,,,,,,,,,,,,49.0
201801011100,156.0,,,,,,,,,,,,,,,,48.0
201801011200,156.0,,,,,,,,,,,,,,,,42.0
201801011300,156.0,,,,,,,,,,,,,,,,37.0
201801011400,156.0,,,,,,,,,,,,,,,,38.0
201801011500,156.0,,,,,,,,,,,,,,,,32.0
201801011600,156.0,,,,,,,,,,,,,,,,25.0
201801011700,156.0,,,,,,,,,,,,,,,,37.0
201801011800,156.0,,,,,,,,,,,,,,,,26.0
201801011900,156.0,,,,,,,,,,,,,,,,26.0
201801012000,156.0,,,,,,,,,,,,,,,,35.0
201801012100,156.0,,,,,,,,,,,,,,,,29.0
201801012200,156.0,,,,,,,,,,,,,,,,51.0
201801012300,156.0,,,,,,,,,,,,,,,,36.0
201801020000,156.0,25.0,1.0,1020.9,1030.1,0.5,-5.3,65.0,4.1,-,0.0,0.0,-,1184.0,-3.3,3.0,42.0
201801020100,156.0,29.0,0.6,1020.8,1030.0,0.1,-5.7,65.0,4.0,-,,0.0,-,1188.0,-3.6,3.0,33.0
201801020200,156.0,0.0,0.0,1020.9,1030.2,-0.7,-5.1,72.0,4.2,-,,0.0,-,1065.0,-4.0,3.0,55.0
201801020300,156.0,5.0,0.6,1021.0,1030.3,-0.5,-4.9,72.0,4.2,-,0.0,0.0,-,1123.0,-4.2,3.0,56.0
201801020400,156.0,0.0,0.4,1020.4,1029.7,-1.4,-4.9,77.0,4.2,-,0.0,0.0,-,1031.0,-4.5,3.0,40.0
201801020500,156.0,0.0,0.0,1020.3,1029.6,-2.6,-5.0,83.0,4.2,19,0.0,0.0,-,946.0,-4.8,3.0,37.0
201801020600,156.0,0.0,0.2,1020.4,1029.7,-2.5,-4.9,83.0,4.2,19,0.0,0.0,-,924.0,-5.1,3.0,39.0
201801020700,156.0,25.0,0.8,1021.1,1030.4,-2.6,-4.9,84.0,4.2,19,0.0,0.0,-,883.0,-5.2,3.0,52.0
201801020800,156.0,0.0,0.0,1021.4,1030.7,-2.1,-4.4,84.0,4.4,19,0.0,0.0,-,887.0,-5.2,3.0,42.0
201801020900,156.0,0.0,0.3,1021.2,1030.5,-1.0,-4.1,79.0,4.5,19,0.0,0.0,-,835.0,-3.2,3.0,58.0
201801021000,156.0,23.0,0.6,1021.1,1030.3,0.2,-4.0,73.0,4.5,19,0.0,0.0,-,793.0,-1.5,3.0,74.0
201801021100,156.0,25.0,1.3,1021.4,1030.6,1.8,-3.8,66.0,4.6,4019,0.0,0.0,-,816.0,0.6,3.0,80.0
201801021200,156.0,0.0,0.2,1020.9,1030.0,4.3,-3.4,57.0,4.8,40,0.0,0.0,-,872.0,4.8,3.0,78.0
201801021300,156.0,23.0,1.5,1019.8,1028.8,5.7,-3.4,52.0,4.8,40,0.0,0.0,-,968.0,9.2,3.0,82.0
201801021400,156.0,25.0,0.8,1019.0,1028.0,6.5,-2.4,53.0,5.1,40,8.0,8.0,Sc,889.0,8.4,3.0,72.0
201801021500,156.0,27.0,0.7,1018.5,1027.5,6.8,-2.1,53.0,5.2,40,7.0,7.0,Sc,827.0,7.1,3.0,52.0
201801021600,156.0,32.0,1.9,1018.5,1027.5,7.4,-0.5,57.0,5.9,40,7.0,7.0,Sc,921.0,6.4,3.0,53.0
201801021700,156.0,34.0,1.2,1018.7,1027.7,6.8,0.0,62.0,6.1,40,8.0,8.0,Sc,900.0,4.0,3.0,51.0
201801021800,156.0,29.0,2.1,1019.3,1028.3,6.4,1.1,69.0,6.6,40,8.0,8.0,Sc,788.0,2.9,3.0,44.0
201801021900,156.0,2.0,2.3,1019.4,1028.4,5.8,0.0,66.0,6.1,40,,6.0,-,725.0,2.4,3.0,64.0
201801022000,156.0,2.0,3.0,1019.4,1028.5,3.9,-1.0,70.0,5.7,40,,4.0,-,588.0,0.5,3.0,64.0
201801022100,156.0,2.0,1.1,1019.0,1028.1,3.3,-1.4,71.0,5.5,40,0.0,0.0,-,508.0,-1.1,3.0,64.0
201801022200,156.0,34.0,0.9,1019.5,1028.6,2.5,-3.6,64.0,4.7,40,,9.0,-,620.0,-2.2,3.0,67.0
201801022300,156.0,34.0,0.8,1020.4,1029.6,1.7,-4.6,63.0,4.3,40,,2.0,-,700.0,-1.4,3.0,47.0
201801030000,156.0,36.0,1.4,1020.0,1029.2,1.1,-7.6,52.0,3.5,40,6.0,6.0,Ac,1241.0,-1.7,3.0,34.0
201801030100,156.0,36.0,1.3,1020.8,1030.0,0.6,-9.9,45.0,2.9,-,,0.0,-,1984.0,-2.4,3.0,32.0
201801030200,156.0,36.0,1.1,1020.9,1030.1,0.8,-9.2,47.0,3.0,-,,7.0,-,2000.0,-2.7,3.0,18.0
201801030300,156.0,36.0,1.1,1021.3,1030.5,0.7,-8.0,52.0,3.3,-,2.0,2.0,Ac,2000.0,-2.9,3.0,14.0
201801030400,156.0,36.0,0.6,1021.1,1030.4,0.0,-7.0,59.0,3.6,-,4.0,4.0,Ac,2000.0,-3.5,3.0,19.0
