TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201901010000,143.0,,,,,,,,,,,,,,,,30.0
201901010100,143.0,,,,,,,,,,,,,,,,39.0
201901010200,143.0,,,,,,,,,,,,,,,,32.0
201901010300,143.0,,,,,,,,,,,,,,,,21.0
201901010400,143.0,,,,,,,,,,,,,,,,31.0
201901010500,143.0,,,,,,,,,,,,,,,,20.0
201901010600,143.0,,,,,,,,,,,,,,,,15.0
201901010700,143.0,,,,,,,,,,,,,,,,23.0
201901010800,143.0,,,,,,,,,,,,,,,,18.0
201901010900,143.0,,,,,,,,,,,,,,,,19.0
201901011000,143.0,,,,,,,,,,,,,,,,16.0
201901011100,143.0,,,,,,,,,,,,,,,,16.0
201901011200,143.0,,,,,,,,,,,,,,,,16.0
201901011300,143.0,,,,,,,,,,,,,,,,17.0
201901011400,143.0,,,,,,,,,,,,,,,,22.0
201901011500,143.0,,,,,,,,,,,,,,,,15.0
201901011600,143.0,,,,,,,,,,,,,,,,27.0
201901011700,143.0,,,,,,,,,,,,,,,,31.0
201901011800,143.0,,,,,,,,,,,,,,,,27.0
201901011900,143.0,,,,,,,,,,,,,,,,22.0
201901012000,143.0,,,,,,,,,,,,,,,,19.0
201901012100,143.0,,,,,,,,,,,,,,,,21.0
201901012200,143.0,,,,,,,,,,,,,,,,12.0
201901012300,143.0,,,,,,,,,,,,,,,,21.0
201901020000,143.0,29.0,3.1,1025.4,1032.3,-1.9,-10.7,51.0,2.7,-,0.0,0.0,-,1958.0,-2.9,3.0,9.0
201901020100,143.0,29.0,2.9,1026.0,1032.9,-2.3,-10.8,52.0,2.7,-,0.0,0.0,-,1957.0,-3.3,3.0,21.0
201901020200,143.0,29.0,3.2,1026.4,1033.3,-2.6,-11.1,52.0,2.6,-,0.0,0.0,-,1955.0,-3.6,3.0,8.0
201901020300,143.0,29.0,3.2,1026.6,1033.5,-2.9,-11.4,52.0,2.6,-,0.0,0.0,-,1955.0,-3.9,3.0,21.0
201901020400,143.0,27.0,3.1,1026.5,1033.4,-3.1,-12.0,50.0,2.4,-,0.0,0.0,-,2000.0,-4.2,3.0,20.0
201901020500,143.0,27.0,2.7,1026.9,1033.9,-3.3,-12.7,48.0,2.3,-,0.0,0.0,-,1909.0,-4.5,3.0,21.0
201901020600,143.0,29.0,1.7,1027.1,1034.1,-3.9,-12.5,51.0,2.3,-,4.0,0.0,Ci,1954.0,-4.8,3.0,17.0
201901020700,143.0,29.0,2.6,1027.1,1034.1,-3.6,-11.8,53.0,2.5,-,4.0,0.0,Ci,2000.0,-5.0,3.0,23.0
201901020800,143.0,27.0,2.2,1027.4,1034.4,-3.4,-11.3,54.0,2.6,-,3.0,0.0,Ci,1990.0,-4.7,3.0,19.0
201901020900,143.0,29.0,1.7,1028.0,1034.9,-1.9,-10.4,52.0,2.8,-,0.0,0.0,-,1972.0,-3.3,3.0,24.0
201901021000,143.0,29.0,3.1,1028.0,1034.9,-0.9,-10.2,49.0,2.8,-,0.0,0.0,-,1725.0,0.8,3.0,28.0
201901021100,143.0,32.0,4.1,1027.4,1034.3,0.3,-10.8,43.0,2.7,-,0.0,0.0,-,1933.0,3.9,3.0,21.0
201901021200,143.0,32.0,3.0,1026.0,1032.8,1.1,-12.6,35.0,2.3,-,0.0,0.0,-,1947.0,7.0,3.0,22.0
201901021300,143.0,29.0,5.0,1024.7,1031.5,2.6,-14.1,28.0,2.1,-,0.0,0.0,-,1974.0,8.2,3.0,19.0
201901021400,143.0,29.0,4.4,1024.1,1030.8,3.5,-15.7,23.0,1.8,-,0.0,0.0,-,1999.0,8.3,3.0,13.0
201901021500,143.0,29.0,4.1,1024.1,1030.8,3.9,-16.4,21.0,1.7,-,0.0,0.0,-,1970.0,7.5,3.0,16.0
201901021600,143.0,32.0,2.8,1024.3,1031.0,3.6,-16.7,21.0,1.7,-,0.0,0.0,-,2000.0,4.7,3.0,20.0
201901021700,143.0,32.0,3.0,1024.3,1031.1,2.4,-17.7,21.0,1.5,-,0.0,0.0,-,2000.0,-0.1,3.0,31.0
201901021800,143.0,32.0,2.6,1024.8,1031.6,1.4,-16.5,25.0,1.7,-,0.0,0.0,-,2000.0,-1.3,3.0,30.0
201901021900,143.0,34.0,2.0,1025.4,1032.2,0.7,-15.7,28.0,1.8,-,0.0,0.0,-,2000.0,-1.8,3.0,16.0
201901022000,143.0,29.0,1.5,1025.7,1032.6,0.1,-14.6,32.0,2.0,-,0.0,0.0,-,1955.0,-2.6,3.0,16.0
201901022100,143.0,32.0,1.8,1025.7,1032.6,-0.5,-14.4,34.0,2.0,-,0.0,0.0,-,1955.0,-3.0,3.0,26.0
201901022200,143.0,32.0,1.5,1025.6,1032.5,-0.8,-13.0,39.0,2.3,-,0.0,0.0,-,1999.0,-3.6,3.0,16.0
201901022300,143.0,29.0,1.1,1026.0,1032.9,-1.1,-12.4,42.0,2.4,-,0.0,0.0,-,1940.0,-4.1,3.0,27.0
201901030000,143.0,29.0,1.8,1026.2,1033.1,-1.5,-12.1,44.0,2.4,-,0.0,0.0,-,1957.0,-4.0,3.0,25.0
