TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201901020000,146.0,31.0,146,36,0.8,-9,-9.0,-9,1026.7,1034.7,2,0.8,-2.5,-3.3,94.0,4.8,-9.0,0.0,0.0,-9.0,-9.0,0.1,0.1,-9,-9,-,6,6,10,Sc,0,0,5,1120,-9.0,-9.0,-9,-1.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020300,146.0,20.0,146,9,0.6,-9,-9.0,-9,1027.1,1035.1,1,0.4,-3.0,-7.5,71.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.1,-9,-9,-,3,3,12,Sc,0,0,3,1979,-9.0,-9.0,-9,-2.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020600,146.0,17.0,146,14,1.1,-9,-9.0,-9,1026.6,1034.6,7,-0.5,-4.6,-7.0,83.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,-9,-9,-,3,3,10,Sc,0,0,5,1822,-9.0,-9.0,-9,-2.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020900,146.0,19.0,146,0,0.1,-9,-9.0,-9,1028.3,1036.3,2,1.7,-2.9,-6.7,75.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,-9,-9,-,2,2,12,Sc,0,0,5,1932,0.7,0.38,-9,-1.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901021200,146.0,27.0,146,32,1.5,-9,-9.0,-9,1027.0,1034.9,7,-1.4,1.0,-4.8,65.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.84,-9,2.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901021500,146.0,35.0,146,25,2.8,-9,-9.0,-9,1025.4,1033.2,6,-1.7,2.3,-4.9,59.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,10,Sc,0,0,5,1996,0.9,1.46,-9,5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901021800,146.0,27.0,146,27,3.3,-9,-9.0,-9,1026.0,1033.9,3,0.7,-0.2,-6.2,64.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1985,0.3,0.04,-9,-0.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901022100,146.0,44.0,146,0,0.4,-9,-9.0,-9,1026.7,1034.6,0,0.7,-1.6,-5.8,73.0,4.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1571,-9.0,-9.0,-9,-2.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901030000,146.0,35.0,146,14,1.9,-9,-9.0,-9,1027.0,1035.0,1,0.4,-3.8,-6.2,83.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1275,-9.0,-9.0,-9,-3.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901030300,146.0,35.0,146,14,1.1,-9,-9.0,-9,1027.5,1035.5,2,0.5,-5.2,-6.8,88.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1154,-9.0,-9.0,-9,-3.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901030600,146.0,23.0,146,9,1.0,-9,-9.0,-9,1027.6,1035.7,2,0.2,-6.3,-7.9,88.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1243,-9.0,-9.0,-9,-4.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901030900,146.0,32.0,146,14,1.0,-9,-9.0,-9,1029.1,1037.1,2,1.4,-3.9,-6.6,81.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1299,0.8,0.52,-9,-2.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901031200,146.0,16.0,146,32,1.5,-9,-9.0,-9,1028.4,1036.3,8,-0.8,1.4,-8.4,48.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.86,-9,2.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901031500,146.0,19.0,146,29,1.9,-9,-9.0,-9,1026.3,1034.1,7,-2.2,3.7,-10.3,35.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.59,-9,5.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901031800,146.0,46.0,146,25,0.7,-9,-9.0,-9,1026.5,1034.3,3,0.2,1.4,-6.6,55.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1859,0.3,0.03,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901032100,146.0,61.0,146,14,1.1,-9,-9.0,-9,1027.1,1035.0,0,0.7,-0.9,-6.4,66.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1545,-9.0,-9.0,-9,-1.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901040000,146.0,55.0,146,11,1.5,-9,-9.0,-9,1027.0,1035.0,4,0.0,-2.9,-6.7,75.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1149,-9.0,-9.0,-9,-2.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901040300,146.0,56.0,146,14,1.5,-9,-9.0,-9,1026.0,1034.0,7,-1.0,-4.5,-6.7,84.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1044,-9.0,-9.0,-9,-3.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901040600,146.0,44.0,146,14,1.0,-9,-9.0,-9,1025.0,1033.0,7,-1.0,-5.1,-7.3,84.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,0,0,-9,-,-9,-9,-9,1083,-9.0,-9.0,-9,-4.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901040900,146.0,63.0,146,11,1.3,-9,-9.0,-9,1024.8,1032.8,5,-0.2,-4.1,-7.3,78.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,5,40,AcCi,1,3,0,1148,0.7,0.35,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901041200,146.0,106.0,146,29,1.5,-9,-9.0,-9,1025.2,1033.1,3,0.3,-0.8,-6.5,65.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,10,28,As,-9,2,0,1262,0.0,0.31,-9,0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
