TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202001010000,136.0,,,,,,,,,,,,,,,,27.0
202001010100,136.0,,,,,,,,,,,,,,,,17.0
202001010200,136.0,,,,,,,,,,,,,,,,21.0
202001010300,136.0,,,,,,,,,,,,,,,,20.0
202001010400,136.0,,,,,,,,,,,,,,,,16.0
202001010500,136.0,,,,,,,,,,,,,,,,24.0
202001010600,136.0,,,,,,,,,,,,,,,,24.0
202001010700,136.0,,,,,,,,,,,,,,,,21.0
202001010800,136.0,,,,,,,,,,,,,,,,20.0
202001010900,136.0,,,,,,,,,,,,,,,,6.0
202001011000,136.0,,,,,,,,,,,,,,,,14.0
202001011100,136.0,,,,,,,,,,,,,,,,17.0
202001011200,136.0,,,,,,,,,,,,,,,,10.0
202001011300,136.0,,,,,,,,,,,,,,,,17.0
202001011400,136.0,,,,,,,,,,,,,,,,14.0
202001011500,136.0,,,,,,,,,,,,,,,,17.0
202001011600,136.0,,,,,,,,,,,,,,,,21.0
202001011700,136.0,,,,,,,,,,,,,,,,25.0
202001011800,136.0,,,,,,,,,,,,,,,,17.0
202001011900,136.0,,,,,,,,,,,,,,,,25.0
202001012000,136.0,,,,,,,,,,,,,,,,33.0
202001012100,136.0,,,,,,,,,,,,,,,,36.0
202001012200,136.0,,,,,,,,,,,,,,,,35.0
202001012300,136.0,,,,,,,,,,,,,,,,28.0
202001020000,136.0,0.0,0.0,1013.7,1031.9,-3.3,-6.4,79.0,3.8,19,0.0,0.0,-,864.0,-5.0,3.0,45.0
202001020100,136.0,0.0,0.0,1013.2,1031.4,-3.9,-6.5,82.0,3.8,19,0.0,0.0,-,661.0,-5.6,3.0,55.0
202001020200,136.0,0.0,0.3,1012.8,1031.1,-4.7,-7.1,83.0,3.6,19,0.0,0.0,-,666.0,-5.8,3.0,44.0
202001020300,136.0,0.0,0.0,1012.4,1030.7,-5.0,-7.1,85.0,3.6,19,0.0,0.0,-,688.0,-6.0,3.0,38.0
202001020400,136.0,0.0,0.0,1012.6,1031.0,-6.0,-7.8,87.0,3.4,19,0.0,0.0,-,577.0,-6.2,3.0,37.0
202001020500,136.0,0.0,0.0,1012.7,1031.1,-6.1,-7.6,89.0,3.5,19,6.0,0.0,Ci,547.0,-6.6,3.0,32.0
202001020600,136.0,0.0,0.0,1012.9,1031.3,-6.0,-7.6,88.0,3.5,19,6.0,0.0,Ci,581.0,-6.9,3.0,35.0
202001020700,136.0,0.0,0.0,1013.4,1031.8,-6.4,-8.0,88.0,3.3,19,7.0,0.0,Ci,540.0,-7.0,3.0,42.0
202001020800,136.0,14.0,0.8,1013.5,1031.9,-6.4,-8.0,88.0,3.3,19,5.0,0.0,Ci,454.0,-6.5,3.0,39.0
202001020900,136.0,0.0,0.2,1014.0,1032.3,-5.4,-6.7,90.0,3.7,19,4.0,0.0,Ci,361.0,-3.6,3.0,47.0
202001021000,136.0,16.0,0.7,1013.9,1032.1,-3.4,-5.5,85.0,4.1,19,2.0,0.0,Ci,476.0,-0.2,3.0,49.0
202001021100,136.0,25.0,1.1,1013.2,1031.1,0.7,-4.1,70.0,4.5,19,2.0,0.0,Ci,919.0,3.0,3.0,37.0
202001021200,136.0,27.0,2.0,1012.0,1029.7,3.7,-4.0,57.0,4.5,4019,3.0,0.0,Ci,910.0,6.0,3.0,43.0
202001021300,136.0,27.0,3.4,1010.6,1028.2,5.0,-4.5,50.0,4.4,40,3.0,0.0,Ci,1186.0,4.4,3.0,45.0
202001021400,136.0,27.0,5.1,1009.7,1027.2,5.4,-4.7,48.0,4.3,-,3.0,0.0,Ci,1349.0,6.8,3.0,32.0
202001021500,136.0,29.0,4.0,1009.8,1027.3,5.6,-4.8,47.0,4.3,-,2.0,2.0,Sc,1436.0,5.1,3.0,40.0
202001021600,136.0,27.0,3.2,1010.9,1028.5,4.0,-3.7,57.0,4.6,40,8.0,6.0,ScAc,977.0,1.2,3.0,40.0
202001021700,136.0,29.0,3.3,1010.9,1028.6,3.2,-3.3,62.0,4.8,40,9.0,5.0,ScAc,898.0,0.4,3.0,46.0
202001021800,136.0,29.0,2.8,1010.8,1028.5,2.7,-2.8,67.0,5.0,40,9.0,9.0,Sc,770.0,-0.2,3.0,55.0
202001021900,136.0,29.0,2.2,1010.6,1028.3,2.5,-2.6,69.0,5.0,40,6.0,6.0,-,655.0,-0.5,3.0,53.0
