TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202001020000,108.0,51.0,108,7,2.1,-9,-9.0,-9,1020.3,1031.3,8,-0.4,-0.7,-5.5,70.0,4.1,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,12,Sc,0,0,5,897,-9.0,-9.0,-9,-0.4,-0.1,0.6,1.7,2.7,-9,-9.0,-9,3,1
202001020300,108.0,58.0,108,7,2.3,-9,-9.0,-9,1019.3,1030.3,7,-1.0,-0.6,-5.4,70.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,10,Sc,0,0,5,903,-9.0,-9.0,-9,-0.4,-0.1,0.6,1.7,2.6,-9,-9.0,-9,3,1
202001020600,108.0,51.0,108,5,1.7,-9,-9.0,-9,1019.4,1030.4,3,0.1,-0.6,-5.5,69.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,11,Sc,0,0,5,913,-9.0,-9.0,-9,-0.5,-0.1,0.6,1.7,2.6,-9,-9.0,-9,3,1
202001020900,108.0,61.0,108,7,2.4,-9,-9.0,-9,1020.1,1031.1,2,0.7,-0.1,-5.5,67.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,11,Sc,0,0,5,890,0.0,0.07,-9,-0.3,-0.1,0.6,1.6,2.6,-9,-9.0,-9,3,1
202001021200,108.0,79.0,108,5,1.0,-9,-9.0,-9,1019.0,1029.8,7,-1.3,2.5,-5.4,56.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,12,Sc,0,0,5,803,0.0,0.64,-9,0.9,0.0,0.7,1.7,2.6,-9,-9.0,-9,3,1
202001021500,108.0,70.0,108,29,2.8,-9,-9.0,-9,1017.8,1028.5,5,-1.3,3.8,-3.7,58.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,9,Sc,0,0,5,699,0.0,0.4,-9,1.5,0.0,0.8,1.7,2.6,-9,-9.0,-9,3,1
202001021800,108.0,88.0,108,27,2.2,-9,-9.0,-9,1017.5,1028.3,8,-0.2,2.7,-4.0,61.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,7,7,11,Sc,0,0,5,642,0.0,0.0,-9,-0.7,0.0,0.9,1.7,2.6,-9,-9.0,-9,3,1
202001022100,108.0,86.0,108,27,0.9,-9,-9.0,-9,1018.3,1029.2,2,0.9,0.5,-4.7,68.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,8,8,10,Sc,0,0,5,537,-9.0,-9.0,-9,-0.4,0.0,0.9,1.8,2.7,-9,-9.0,-9,3,1
202001030000,108.0,100.0,108,27,2.6,-9,-9.0,-9,1017.9,1028.8,7,-0.4,0.0,-4.0,74.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,3,3,8,Sc,0,0,5,481,-9.0,-9.0,-9,-0.8,0.0,0.9,1.8,2.7,-9,-9.0,-9,3,1
202001030300,108.0,93.0,108,29,1.5,-9,-9.0,-9,1017.2,1028.2,7,-0.6,-1.5,-4.1,82.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,358,-9.0,-9.0,-9,-1.6,0.0,0.9,1.8,2.7,-9,-9.0,-9,3,1
