TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,136.0,26.0,136,32,0.7,-9,-9.0,-9,1007.8,1025.9,1,0.2,-3.5,-6.4,80.0,3.8,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,22,72,1905,8,8,8,Sc,0,0,5,987,-9.0,-9.0,-9,-4.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020300,136.0,24.0,136,32,1.2,-9,-9.0,-9,1008.0,1026.3,3,0.4,-5.8,-7.9,85.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,656,-9.0,-9.0,-9,-7.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202101020600,136.0,21.0,136,34,1.1,-9,-9.0,-9,1008.5,1026.8,3,0.5,-5.9,-8.9,79.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,0,0,-9,-,-9,-9,-9,1315,-9.0,-9.0,-9,-9.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020900,136.0,38.0,136,27,0.9,-9,-9.0,-9,1010.0,1028.3,2,1.5,-6.0,-10.4,71.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1379,1.0,0.58,-9,-5.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021200,136.0,35.0,136,27,3.5,-9,-9.0,-9,1009.8,1027.7,8,-0.6,-0.1,-17.3,26.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,10,Sc,0,0,5,1996,1.0,2.02,-9,10.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021500,136.0,26.0,136,29,4.1,-9,-9.0,-9,1009.5,1027.4,5,-0.3,0.4,-20.0,20.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1994,1.0,1.54,-9,7.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021800,136.0,36.0,136,29,2.8,-9,-9.0,-9,1011.3,1029.4,2,2.0,-2.5,-18.9,27.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.0,0.01,-9,-4.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101022100,136.0,39.0,136,27,3.1,-9,-9.0,-9,1012.4,1030.6,2,1.2,-4.1,-16.6,37.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-6.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030000,136.0,42.0,136,27,2.5,-9,-9.0,-9,1012.2,1030.5,6,-0.1,-5.5,-16.9,40.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-8.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030300,136.0,33.0,136,29,2.5,-9,-9.0,-9,1014.0,1032.4,2,1.9,-5.7,-16.8,41.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-8.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030600,136.0,41.0,136,29,3.7,-9,-9.0,-9,1015.2,1033.7,2,1.3,-6.5,-18.8,37.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,0,-9,Ci,1,0,0,2000,-9.0,-9.0,-9,-8.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030900,136.0,37.0,136,27,3.3,-9,-9.0,-9,1017.1,1035.5,2,1.8,-5.7,-20.9,29.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.6,0.3,-9,-5.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101031200,136.0,36.0,136,27,3.9,-9,-9.0,-9,1015.3,1033.4,7,-2.1,-1.1,-17.7,27.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1941,1.0,1.85,-9,9.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
