TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,143.0,20.0,143,36,0.8,-9,-9.0,-9,1017.7,1024.7,8,-0.1,-2.8,-4.9,85.0,4.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,15,Sc,0,0,5,1714,-9.0,-9.0,-9,-3.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020300,143.0,24.0,143,23,0.9,-9,-9.0,-9,1018.5,1025.5,2,0.8,-2.1,-4.2,85.0,4.5,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,71,72,05,9,9,13,Sc,0,0,5,1530,-9.0,-9.0,-9,-1.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020600,143.0,23.0,143,32,1.9,-9,-9.0,-9,1019.0,1026.0,3,0.5,-1.7,-4.3,82.0,4.4,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,16,Sc,0,0,5,1159,-9.0,-9.0,-9,-2.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020900,143.0,24.0,143,29,3.2,-9,-9.0,-9,1020.8,1027.8,2,1.8,-1.4,-6.3,69.0,3.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,12,Sc,0,0,5,1762,0.9,0.41,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021200,143.0,31.0,143,29,4.8,-9,-9.0,-9,1020.8,1027.7,8,-0.1,1.1,-14.1,31.0,2.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,14,Sc,0,0,5,1946,1.0,1.83,-9,6.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021500,143.0,27.0,143,29,5.9,29,12.0,1336,1020.1,1027.0,5,-0.7,1.6,-13.7,31.0,2.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1997,1.0,1.54,-9,6.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021800,143.0,29.0,143,32,2.8,-9,-9.0,-9,1022.0,1028.9,2,1.9,-0.6,-14.9,33.0,1.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.0,0.02,-9,-1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101022100,143.0,27.0,143,29,3.9,-9,-9.0,-9,1023.0,1030.0,0,1.1,-1.7,-14.5,37.0,2.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030000,143.0,23.0,143,29,4.0,-9,-9.0,-9,1023.3,1030.3,3,0.3,-2.8,-14.8,39.0,1.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-3.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030300,143.0,41.0,143,29,2.9,-9,-9.0,-9,1025.2,1032.2,2,1.9,-3.5,-12.6,49.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,0,-9,Ci,1,0,0,1909,-9.0,-9.0,-9,-4.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
