TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,156.0,19.0,156,5,0.6,-9,-9.0,-9,1016.6,1025.5,6,-0.3,0.7,-0.9,89.0,5.7,0.0,0.0,0.0,-9.0,0.0,0.0,3.7,71,77,05,10,8,12,StNs,-9,2,7,1666,-9.0,-9.0,-9,1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020300,156.0,21.0,156,0,0.4,-9,-9.0,-9,1016.5,1025.4,8,-0.1,-0.1,-0.3,98.0,6.0,0.5,0.5,0.5,-9.0,1.5,1.5,5.2,71,77,05,10,8,10,StNs,0,2,7,243,-9.0,-9.0,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020600,156.0,18.0,156,0,0.1,-9,-9.0,-9,1017.0,1025.9,3,0.5,0.1,-0.1,98.0,6.1,0.0,0.5,0.5,-9.0,0.3,1.8,5.5,70,77,1905,10,8,10,StNs,-9,2,7,194,-9.0,-9.0,-9,1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020900,156.0,16.0,156,5,2.3,-9,-9.0,-9,1019.1,1028.1,2,2.2,-0.3,-1.1,94.0,5.6,0.0,0.5,0.5,-9.0,0.4,2.0,5.7,22,72,1905,8,8,8,Sc,0,0,5,1020,0.4,0.25,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,1
202101021200,156.0,27.0,156,2,2.4,-9,-9.0,-9,1019.8,1028.7,0,0.6,1.5,-6.5,55.0,3.8,-9.0,0.5,0.5,-9.0,-9.0,0.8,4.5,-9,-9,-,2,2,10,Sc,0,0,5,1770,1.0,1.87,-9,7.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021500,156.0,41.0,156,5,3.2,-9,-9.0,-9,1019.5,1028.4,8,-0.3,2.4,-10.5,38.0,2.8,-9.0,0.5,0.5,-9.0,-9.0,-9.0,3.6,-9,-9,-,0,0,-9,-,-9,-9,-9,1923,1.0,1.71,-9,7.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101021800,156.0,45.0,156,2,1.7,-9,-9.0,-9,1022.2,1031.2,2,2.8,-0.6,-10.2,48.0,2.8,-9.0,0.5,0.5,-9.0,-9.0,-9.0,3.6,-9,-9,-,0,0,-9,-,-9,-9,-9,1998,0.2,0.09,-9,0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101022100,156.0,30.0,156,5,2.3,-9,-9.0,-9,1022.1,1031.2,4,0.0,-2.3,-10.3,54.0,2.8,-9.0,0.5,0.5,-9.0,-9.0,-9.0,3.6,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101030000,156.0,27.0,156,2,1.1,-9,-9.0,-9,1023.2,1032.3,3,1.1,-2.9,-10.2,57.0,2.8,-9.0,0.5,0.5,-9.0,-9.0,-9.0,3.6,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-1.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030300,156.0,29.0,156,5,2.3,-9,-9.0,-9,1024.2,1033.3,2,1.0,-2.7,-9.6,59.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.6,-9,-9,-,8,8,40,Ac,0,3,0,1995,-9.0,-9.0,-9,-1.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030600,156.0,25.0,156,5,3.0,-9,-9.0,-9,1025.1,1034.2,3,0.9,-2.8,-10.3,56.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.6,-9,-9,-,9,9,42,Ac,0,3,0,2000,-9.0,-9.0,-9,-1.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030900,156.0,19.0,156,5,3.1,-9,-9.0,-9,1025.2,1034.3,3,0.1,-2.2,-10.7,52.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.5,-9,-9,-,0,0,-9,-,-9,-9,-9,1925,0.6,0.35,-9,-2.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101031200,156.0,28.0,156,7,1.9,-9,-9.0,-9,1025.0,1034.0,8,-0.3,1.1,-10.1,43.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.0,-9,-9,-,7,0,-9,Ci,1,0,0,1864,1.0,1.91,-9,1.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101031500,156.0,52.0,156,36,1.3,-9,-9.0,-9,1023.8,1032.7,5,-1.3,2.8,-7.4,47.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.9,-9,-9,-,9,9,10,Sc,0,0,5,1932,0.5,1.13,-9,5.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101031800,156.0,41.0,156,5,1.4,-9,-9.0,-9,1023.9,1032.9,3,0.2,0.8,-7.4,54.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.9,-9,-9,-,10,10,39,As,-9,2,0,1765,0.0,0.07,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101032100,156.0,36.0,156,5,1.7,-9,-9.0,-9,1024.1,1033.1,2,0.2,-0.3,-7.5,58.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.9,-9,-9,-,7,0,-9,Ci,1,0,0,1571,-9.0,-9.0,-9,0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101040000,156.0,31.0,156,2,0.9,-9,-9.0,-9,1024.3,1033.3,0,0.2,-1.3,-6.4,68.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.9,-9,-9,-,8,0,-9,Ci,1,0,0,1395,-9.0,-9.0,-9,0.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
