TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202101010000,108.0,,,,,,,,,,,,,,,,,,,,24.0
202101010100,108.0,,,,,,,,,,,,,,,,,,,,18.0
202101010200,108.0,,,,,,,,,,,,,,,,,,,,41.0
202101010300,108.0,,,,,,,,,,,,,,,,,,,,44.0
202101010400,108.0,,,,,,,,,,,,,,,,,,,,23.0
202101010500,108.0,,,,,,,,,,,,,,,,,,,,35.0
202101010600,108.0,,,,,,,,,,,,,,,,,,,,36.0
202101010700,108.0,,,,,,,,,,,,,,,,,,,,33.0
202101010800,108.0,,,,,,,,,,,,,,,,,,,,43.0
202101010900,108.0,,,,,,,,,,,,,,,,,,,,26.0
202101011000,108.0,,,,,,,,,,,,,,,,,,,,33.0
202101011100,108.0,,,,,,,,,,,,,,,,,,,,36.0
202101011200,108.0,,,,,,,,,,,,,,,,,,,,50.0
202101011300,108.0,,,,,,,,,,,,,,,,,,,,38.0
202101011400,108.0,,,,,,,,,,,,,,,,,,,,27.0
202101011500,108.0,,,,,,,,,,,,,,,,,,,,42.0
202101011600,108.0,,,,,,,,,,,,,,,,,,,,54.0
202101011700,108.0,,,,,,,,,,,,,,,,,,,,32.0
202101011800,108.0,,,,,,,,,,,,,,,,,,,,40.0
202101011900,108.0,,,,,,,,,,,,,,,,,,,,34.0
202101012000,108.0,,,,,,,,,,,,,,,,,,,,43.0
202101012100,108.0,,,,,,,,,,,,,,,,,,,,24.0
202101012200,108.0,,,,,,,,,,,,,,,,,,,,35.0
202101012300,108.0,,,,,,,,,,,,,,,,,,,,38.0
202101020000,108.0,32.0,2.5,1015.0,1026.0,-3.4,-11.1,55.0,2.6,-,0.0,0.0,-,2000.0,-3.8,-0.1,-0.5,0.1,1.3,3.0,34.0
202101020100,108.0,32.0,2.3,1015.1,1026.2,-4.1,-16.0,39.0,1.8,-,0.0,0.0,-,2000.0,-4.7,-0.2,-0.5,0.1,1.3,3.0,34.0
202101020200,108.0,27.0,2.7,1015.5,1026.6,-5.0,-15.9,42.0,1.8,-,0.0,0.0,-,2000.0,-5.3,-0.4,-0.6,0.1,1.3,3.0,27.0
202101020300,108.0,27.0,1.9,1015.8,1026.9,-5.8,-15.8,45.0,1.8,-,0.0,0.0,-,2000.0,-5.9,-0.5,-0.7,0.1,1.3,3.0,36.0
202101020400,108.0,29.0,1.7,1015.8,1027.0,-6.3,-16.3,45.0,1.7,-,0.0,0.0,-,2000.0,-6.4,-0.7,-0.8,0.0,1.3,3.0,35.0
202101020500,108.0,32.0,1.1,1016.0,1027.2,-6.6,-17.9,40.0,1.5,-,0.0,0.0,-,2000.0,-6.9,-0.9,-0.9,0.0,1.3,3.0,26.0
202101020600,108.0,32.0,2.7,1016.2,1027.4,-6.6,-19.5,35.0,1.3,-,0.0,0.0,-,2000.0,-7.2,-1.0,-1.0,0.0,1.3,3.0,23.0
202101020700,108.0,29.0,1.5,1016.6,1027.8,-7.4,-19.3,38.0,1.3,-,0.0,0.0,-,2000.0,-7.5,-1.1,-1.1,0.0,1.3,3.0,27.0
202101020800,108.0,27.0,1.3,1017.1,1028.4,-8.3,-19.2,41.0,1.3,-,0.0,0.0,-,2000.0,-7.8,-1.3,-1.2,0.0,1.2,3.0,30.0
202101020900,108.0,27.0,2.0,1017.9,1029.1,-7.6,-19.1,39.0,1.4,-,0.0,0.0,-,2000.0,-6.7,-1.4,-1.2,0.0,1.2,3.0,0.0
202101021000,108.0,32.0,2.3,1018.6,1029.8,-6.0,-19.0,35.0,1.4,-,0.0,0.0,-,2000.0,-3.9,-1.2,-1.2,-0.1,1.2,3.0,11.0
202101021100,108.0,29.0,3.2,1019.0,1030.1,-5.3,-19.4,32.0,1.3,-,0.0,0.0,-,2000.0,-0.7,-0.9,-1.1,-0.1,1.2,3.0,27.0
202101021200,108.0,27.0,3.0,1018.7,1029.8,-3.2,-17.2,33.0,1.6,-,0.0,0.0,-,2000.0,1.2,-0.7,-1.0,-0.1,1.2,3.0,19.0
202101021300,108.0,29.0,2.5,1018.3,1029.3,-2.3,-17.1,31.0,1.6,-,0.0,0.0,-,2000.0,3.6,-0.4,-0.9,-0.1,1.2,3.0,33.0
202101021400,108.0,25.0,4.4,1018.1,1029.1,-1.5,-16.4,31.0,1.7,-,0.0,0.0,-,2000.0,3.5,-0.3,-0.8,-0.1,1.2,3.0,42.0
202101021500,108.0,29.0,5.2,1017.9,1028.9,-2.3,-16.4,33.0,1.7,-,0.0,0.0,-,2000.0,1.6,-0.2,-0.7,-0.1,1.2,3.0,63.0
202101021600,108.0,29.0,3.4,1018.2,1029.2,-1.7,-15.5,34.0,1.8,-,0.0,0.0,-,2000.0,-0.3,-0.1,-0.6,-0.1,1.2,3.0,50.0
202101021700,108.0,27.0,4.5,1018.9,1029.9,-2.3,-15.7,35.0,1.8,-,0.0,0.0,-,2000.0,-1.1,-0.1,-0.6,-0.1,1.2,3.0,73.0
202101021800,108.0,25.0,2.7,1019.5,1030.6,-3.2,-15.2,39.0,1.9,-,0.0,0.0,-,2000.0,-2.3,-0.1,-0.6,-0.1,1.2,3.0,79.0
202101021900,108.0,27.0,2.8,1020.0,1031.1,-3.8,-12.7,50.0,2.3,-,0.0,0.0,-,2000.0,-3.0,-0.2,-0.6,-0.1,1.1,3.0,60.0
202101022000,108.0,32.0,2.9,1020.5,1031.6,-4.2,-15.5,41.0,1.8,-,0.0,0.0,-,2000.0,-3.8,-0.4,-0.7,-0.1,1.1,3.0,55.0
202101022100,108.0,29.0,2.3,1020.4,1031.6,-5.0,-16.8,39.0,1.6,-,0.0,0.0,-,2000.0,-4.6,-0.5,-0.8,-0.1,1.1,3.0,68.0
202101022200,108.0,32.0,2.8,1020.6,1031.8,-5.5,-16.4,42.0,1.7,-,0.0,0.0,-,2000.0,-5.4,-0.7,-0.9,-0.1,1.1,3.0,74.0
202101022300,108.0,27.0,1.9,1020.8,1032.0,-6.1,-16.1,45.0,1.7,-,0.0,0.0,-,2000.0,-6.0,-0.8,-1.0,-0.1,1.1,3.0,80.0
202101030000,108.0,29.0,3.8,1021.5,1032.7,-6.6,-16.5,45.0,1.7,-,0.0,0.0,-,2000.0,-6.4,-0.9,-1.0,-0.1,1.1,3.0,74.0
202101030100,108.0,27.0,2.4,1022.0,1033.3,-7.3,-16.4,48.0,1.7,-,0.0,0.0,-,2000.0,-6.9,-1.1,-1.1,-0.1,1.1,3.0,77.0
