TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202001020000,156,0,0.0,-9,-9.0,-9,1022.7,1032.0,4,0.0,-0.7,-4.0,78.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1318,-9.0,-9.0,-9,-2.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001020100,156,0,0.3,-9,-9.0,-9,1021.9,1031.2,-9,-9.0,-0.8,-3.6,81.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1236,-9.0,-9.0,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001020200,156,0,0.0,-9,-9.0,-9,1021.6,1030.9,-9,-9.0,-1.5,-4.0,83.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1282,-9.0,-9.0,-9,-2.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001020300,156,0,0.2,-9,-9.0,-9,1021.5,1030.8,7,-1.2,-1.3,-3.6,84.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,12,Sc,0,0,5,1282,-9.0,-9.0,-9,-2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001020400,156,0,0.1,-9,-9.0,-9,1021.1,1030.4,-9,-9.0,-1.5,-4.0,83.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1299,-9.0,-9.0,-9,-2.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001020500,156,27,0.8,-9,-9.0,-9,1021.0,1030.3,-9,-9.0,-2.0,-4.0,86.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1055,-9.0,-9.0,-9,-3.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001020600,156,25,0.9,-9,-9.0,-9,1021.5,1030.8,4,0.0,-2.5,-4.2,88.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,955,-9.0,-9.0,-9,-3.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001020700,156,0,0.1,-9,-9.0,-9,1022.4,1031.7,-9,-9.0,-2.4,-3.9,89.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,4,4,10,Sc,0,0,5,934,-9.0,-9.0,-9,-3.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001020800,156,2,0.9,-9,-9.0,-9,1022.3,1031.6,-9,-9.0,-2.0,-3.8,87.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,871,0.0,0.07,-9,-3.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001020900,156,0,0.2,-9,-9.0,-9,1022.5,1031.8,2,1.0,-0.6,-3.2,82.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,0,0,-9,-,-9,-9,-9,1023,0.7,0.36,-9,-1.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
