TM,STN_ID,PM10
202101010000,136.0,19.0
202101010100,136.0,20.0
202101010200,136.0,17.0
202101010300,136.0,17.0
202101010400,136.0,16.0
202101010500,136.0,18.0
202101010600,136.0,20.0
202101010700,136.0,10.0
202101010800,136.0,20.0
202101010900,136.0,16.0
202101011000,136.0,21.0
202101011100,136.0,15.0
202101011200,136.0,17.0
202101011300,136.0,9.0
202101011400,136.0,14.0
202101011500,136.0,18.0
202101011600,136.0,6.0
202101011700,136.0,11.0
202101011800,136.0,15.0
202101011900,136.0,12.0
202101012000,136.0,18.0
202101012100,136.0,10.0
202101012200,136.0,15.0
202101012300,136.0,22.0
202101020000,136.0,26.0
202101020100,136.0,30.0
202101020200,136.0,25.0
202101020300,136.0,24.0
202101020400,136.0,22.0
202101020500,136.0,27.0
202101020600,136.0,21.0
202101020700,136.0,24.0
202101020800,136.0,32.0
202101020900,136.0,38.0
202101021000,136.0,36.0
202101021100,136.0,39.0
202101021200,136.0,35.0
202101021300,136.0,23.0
202101021400,136.0,26.0
202101021500,136.0,26.0
202101021600,136.0,27.0
202101021700,136.0,49.0
202101021800,136.0,36.0
202101021900,136.0,42.0
202101022000,136.0,42.0
202101022100,136.0,39.0
202101022200,136.0,44.0
202101022300,136.0,42.0
202101030000,136.0,42.0
202101030100,136.0,52.0
202101030200,136.0,38.0
202101030300,136.0,33.0
202101030400,136.0,36.0
202101030500,136.0,45.0
202101030600,136.0,41.0
202101030700,136.0,48.0
202101030800,136.0,37.0
202101030900,136.0,37.0
202101031000,136.0,37.0
202101031100,136.0,45.0
202101031200,136.0,36.0
202101031300,136.0,29.0
202101031400,136.0,35.0
202101031500,136.0,33.0
202101031600,136.0,30.0
202101031700,136.0,27.0
202101031800,136.0,38.0
202101031900,136.0,35.0
202101032000,136.0,42.0
202101032100,136.0,33.0
202101032200,136.0,34.0
202101032300,136.0,37.0
202101040000,136.0,34.0
202101040100,136.0,42.0
202101040200,136.0,40.0
202101040300,136.0,46.0
202101040400,136.0,38.0
202101040500,136.0,34.0
202101040600,136.0,41.0
202101040700,136.0,40.0
