TM,STN_ID,PM10
202101010000,143.0,13.0
202101010100,143.0,14.0
202101010200,143.0,19.0
202101010300,143.0,21.0
202101010400,143.0,11.0
202101010500,143.0,26.0
202101010600,143.0,15.0
202101010700,143.0,21.0
202101010800,143.0,16.0
202101010900,143.0,17.0
202101011000,143.0,13.0
202101011100,143.0,16.0
202101011200,143.0,12.0
202101011300,143.0,19.0
202101011400,143.0,18.0
202101011500,143.0,16.0
202101011600,143.0,16.0
202101011700,143.0,19.0
202101011800,143.0,19.0
202101011900,143.0,17.0
202101012000,143.0,23.0
202101012100,143.0,19.0
202101012200,143.0,17.0
202101012300,143.0,11.0
202101020000,143.0,20.0
202101020100,143.0,22.0
202101020200,143.0,23.0
202101020300,143.0,24.0
202101020400,143.0,24.0
202101020500,143.0,25.0
202101020600,143.0,23.0
202101020700,143.0,25.0
202101020800,143.0,25.0
202101020900,143.0,24.0
202101021000,143.0,25.0
202101021100,143.0,32.0
202101021200,143.0,31.0
202101021300,143.0,30.0
202101021400,143.0,30.0
202101021500,143.0,27.0
202101021600,143.0,26.0
202101021700,143.0,34.0
202101021800,143.0,29.0
202101021900,143.0,33.0
202101022000,143.0,35.0
202101022100,143.0,27.0
202101022200,143.0,22.0
202101022300,143.0,20.0
202101030000,143.0,23.0
202101030100,143.0,95.0
202101030200,143.0,49.0
202101030300,143.0,41.0
202101030400,143.0,47.0
202101030500,143.0,43.0
202101030600,143.0,47.0
202101030700,143.0,34.0
202101030800,143.0,30.0
202101030900,143.0,33.0
202101031000,143.0,26.0
202101031100,143.0,26.0
202101031200,143.0,34.0
202101031300,143.0,31.0
202101031400,143.0,33.0
202101031500,143.0,38.0
202101031600,143.0,36.0
202101031700,143.0,36.0
202101031800,143.0,29.0
202101031900,143.0,33.0
202101032000,143.0,34.0
202101032100,143.0,36.0
202101032200,143.0,39.0
202101032300,143.0,25.0
202101040000,143.0,37.0
202101040100,143.0,3.0
202101040200,143.0,28.0
202101040300,143.0,24.0
202101040400,143.0,23.0
202101040500,143.0,29.0
202101040600,143.0,19.0
202101040700,143.0,25.0
202101040800,143.0,28.0
202101040900,143.0,38.0
202101041000,143.0,35.0
202101041100,143.0,41.0
202101041200,143.0,27.0
202101041300,143.0,26.0
202101041400,143.0,32.0
202101041500,143.0,36.0
202101041600,143.0,37.0
202101041700,143.0,37.0
202101041800,143.0,45.0
202101041900,143.0,46.0
202101042000,143.0,52.0
202101042100,143.0,49.0
202101042200,143.0,43.0
202101042300,143.0,33.0
202101050000,143.0,46.0
202101050100,143.0,27.0
202101050200,143.0,33.0
202101050300,143.0,39.0
202101050400,143.0,38.0
202101050500,143.0,37.0
202101050600,143.0,42.0
202101050700,143.0,36.0
202101050800,143.0,58.0
202101050900,143.0,58.0
202101051000,143.0,33.0
202101051100,143.0,31.0
202101051200,143.0,32.0
202101051300,143.0,25.0
202101051400,143.0,29.0
202101051500,143.0,12.0
202101051600,143.0,12.0
202101051700,143.0,14.0
202101051800,143.0,14.0
202101051900,143.0,7.0
202101052000,143.0,8.0
202101052100,143.0,8.0
202101052200,143.0,2.0
202101052300,143.0,18.0
202101060000,143.0,15.0
202101060100,143.0,7.0
202101060200,143.0,7.0
202101060300,143.0,11.0
202101060400,143.0,12.0
202101060500,143.0,7.0
202101060600,143.0,14.0
202101060700,143.0,10.0
202101060800,143.0,16.0
202101060900,143.0,20.0
202101061000,143.0,22.0
202101061100,143.0,24.0
202101061200,143.0,11.0
202101061300,143.0,4.0
202101061400,143.0,14.0
202101061500,143.0,19.0
202101061600,143.0,15.0
202101061700,143.0,14.0
202101061800,143.0,23.0
202101061900,143.0,14.0
202101062000,143.0,22.0
202101062100,143.0,35.0
202101062200,143.0,20.0
202101062300,143.0,28.0
202101070000,143.0,17.0
202101070100,143.0,24.0
202101070200,143.0,23.0
202101070300,143.0,20.0
202101070400,143.0,31.0
202101070500,143.0,23.0
202101070600,143.0,19.0
202101070700,143.0,28.0
202101070800,143.0,16.0
202101070900,143.0,26.0
202101071000,143.0,22.0
202101071100,143.0,7.0
202101071200,143.0,14.0
202101071300,143.0,10.0
202101071400,143.0,2.0
202101071500,143.0,13.0
202101071600,143.0,14.0
202101071700,143.0,10.0
202101071800,143.0,10.0
202101071900,143.0,14.0
202101072000,143.0,11.0
202101072100,143.0,11.0
202101072200,143.0,5.0
202101072300,143.0,5.0
202101080000,143.0,12.0
202101080100,143.0,6.0
202101080200,143.0,11.0
202101080300,143.0,12.0
202101080400,143.0,7.0
202101080500,143.0,13.0
202101080600,143.0,18.0
202101080700,143.0,7.0
202101080800,143.0,18.0
202101080900,143.0,12.0
202101081000,143.0,14.0
202101081100,143.0,24.0
202101081200,143.0,6.0
202101081300,143.0,15.0
202101081400,143.0,11.0
202101081500,143.0,26.0
202101081600,143.0,21.0
202101081700,143.0,18.0
202101081800,143.0,21.0
202101081900,143.0,13.0
202101082000,143.0,22.0
202101082100,143.0,17.0
202101082200,143.0,12.0
202101082300,143.0,7.0
202101090000,143.0,4.0
202101090100,143.0,3.0
202101090200,143.0,41.0
202101090300,143.0,24.0
202101090400,143.0,18.0
202101090500,143.0,19.0
202101090600,143.0,15.0
202101090700,143.0,14.0
202101090800,143.0,21.0
202101090900,143.0,23.0
202101091000,143.0,25.0
202101091100,143.0,19.0
202101091200,143.0,26.0
202101091300,143.0,20.0
202101091400,143.0,15.0
202101091500,143.0,27.0
202101091600,143.0,23.0
202101091700,143.0,34.0
202101091800,143.0,25.0
202101091900,143.0,16.0
202101092000,143.0,15.0
202101092100,143.0,16.0
202101092200,143.0,16.0
202101092300,143.0,17.0
202101100000,143.0,23.0
202101100100,143.0,0.0
202101100200,143.0,19.0
202101100300,143.0,20.0
202101100400,143.0,20.0
202101100500,143.0,13.0
202101100600,143.0,19.0
202101100700,143.0,22.0
202101100800,143.0,15.0
202101100900,143.0,23.0
202101101000,143.0,22.0
202101101100,143.0,15.0
202101101200,143.0,16.0
202101101300,143.0,19.0
202101101400,143.0,12.0
202101101500,143.0,12.0
202101101600,143.0,18.0
202101101700,143.0,16.0
202101101800,143.0,19.0
202101101900,143.0,14.0
202101102000,143.0,9.0
202101102100,143.0,17.0
202101102200,143.0,19.0
202101102300,143.0,21.0
202101110000,143.0,17.0
202101110100,143.0,24.0
202101110200,143.0,26.0
202101110300,143.0,23.0
202101110400,143.0,20.0
202101110500,143.0,22.0
202101110600,143.0,9.0
202101110700,143.0,18.0
202101110800,143.0,15.0
202101110900,143.0,28.0
202101111000,143.0,24.0
202101111100,143.0,21.0
202101111200,143.0,46.0
202101111300,143.0,41.0
202101111400,143.0,46.0
202101111500,143.0,29.0
202101111600,143.0,28.0
202101111700,143.0,27.0
202101111800,143.0,20.0
202101111900,143.0,26.0
202101112000,143.0,25.0
202101112100,143.0,26.0
202101112200,143.0,24.0
202101112300,143.0,25.0
202101120000,143.0,26.0
202101120100,143.0,27.0
202101120200,143.0,27.0
202101120300,143.0,24.0
202101120400,143.0,26.0
202101120500,143.0,19.0
202101120600,143.0,31.0
202101120700,143.0,21.0
202101120800,143.0,19.0
202101120900,143.0,27.0
202101121000,143.0,32.0
202101121100,143.0,37.0
202101121200,143.0,39.0
202101121300,143.0,32.0
202101121400,143.0,16.0
202101121500,143.0,22.0
202101121600,143.0,33.0
202101121700,143.0,23.0
202101121800,143.0,43.0
202101121900,143.0,30.0
202101122000,143.0,39.0
202101122100,143.0,34.0
202101122200,143.0,40.0
202101122300,143.0,32.0
202101130000,143.0,28.0
202101130100,143.0,35.0
202101130200,143.0,27.0
202101130300,143.0,40.0
202101130400,143.0,33.0
202101130500,143.0,42.0
202101130600,143.0,44.0
202101130700,143.0,36.0
202101130800,143.0,44.0
202101130900,143.0,50.0
202101131000,143.0,55.0
202101131100,143.0,60.0
202101131200,143.0,69.0
202101131300,143.0,97.0
202101131400,143.0,81.0
202101131500,143.0,94.0
202101131600,143.0,88.0
202101131700,143.0,93.0
202101131800,143.0,78.0
202101131900,143.0,70.0
202101132000,143.0,58.0
202101132100,143.0,52.0
202101132200,143.0,40.0
202101132300,143.0,47.0
202101140000,143.0,51.0
202101140100,143.0,41.0
202101140200,143.0,37.0
202101140300,143.0,49.0
202101140400,143.0,44.0
202101140500,143.0,48.0
202101140600,143.0,50.0
202101140700,143.0,40.0
202101140800,143.0,42.0
202101140900,143.0,55.0
202101141000,143.0,59.0
202101141100,143.0,81.0
202101141200,143.0,58.0
202101141300,143.0,31.0
202101141400,143.0,35.0
202101141500,143.0,21.0
202101141600,143.0,32.0
202101141700,143.0,39.0
202101141800,143.0,61.0
202101141900,143.0,69.0
202101142000,143.0,50.0
202101142100,143.0,40.0
202101142200,143.0,36.0
202101142300,143.0,40.0
202101150000,143.0,40.0
202101150100,143.0,44.0
202101150200,143.0,36.0
202101150300,143.0,48.0
202101150400,143.0,43.0
202101150500,143.0,42.0
202101150600,143.0,43.0
202101150700,143.0,42.0
202101150800,143.0,49.0
202101150900,143.0,40.0
202101151000,143.0,54.0
202101151100,143.0,82.0
202101151200,143.0,89.0
202101151300,143.0,59.0
202101151400,143.0,38.0
202101151500,143.0,23.0
202101151600,143.0,29.0
202101151700,143.0,18.0
202101151800,143.0,35.0
202101151900,143.0,23.0
202101152000,143.0,17.0
202101152100,143.0,18.0
202101152200,143.0,16.0
202101152300,143.0,33.0
