TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,136,32,0.7,-9,-9.0,-9,1007.8,1025.9,1,0.2,-3.5,-6.4,80.0,3.8,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,22,72,1905,8,8,8,Sc,0,0,5,987,-9.0,-9.0,-9,-4.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020100,136,0,0.1,-9,-9.0,-9,1007.4,1025.6,-9,-9.0,-4.2,-6.9,81.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,0,0,-9,-,-9,-9,-9,1207,-9.0,-9.0,-9,-6.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101020200,136,27,0.8,-9,-9.0,-9,1007.6,1025.8,-9,-9.0,-4.5,-7.1,82.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1011,-9.0,-9.0,-9,-7.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101020300,136,32,1.2,-9,-9.0,-9,1008.0,1026.3,3,0.4,-5.8,-7.9,85.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,656,-9.0,-9.0,-9,-7.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202101020400,136,32,1.1,-9,-9.0,-9,1007.9,1026.3,-9,-9.0,-7.1,-9.1,85.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,512,-9.0,-9.0,-9,-8.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202101020500,136,0,0.1,-9,-9.0,-9,1007.9,1026.2,-9,-9.0,-6.5,-8.9,83.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,782,-9.0,-9.0,-9,-9.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202101020600,136,34,1.1,-9,-9.0,-9,1008.5,1026.8,3,0.5,-5.9,-8.9,79.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,0,0,-9,-,-9,-9,-9,1315,-9.0,-9.0,-9,-9.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020700,136,32,1.5,-9,-9.0,-9,1008.8,1027.3,-9,-9.0,-8.2,-11.0,80.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1034,-9.0,-9.0,-9,-9.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020800,136,32,1.7,-9,-9.0,-9,1009.4,1027.8,-9,-9.0,-7.6,-11.1,76.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1188,0.0,0.01,-9,-9.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020900,136,27,0.9,-9,-9.0,-9,1010.0,1028.3,2,1.5,-6.0,-10.4,71.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1379,1.0,0.58,-9,-5.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021000,136,27,2.2,-9,-9.0,-9,1010.5,1028.6,-9,-9.0,-3.2,-11.6,52.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1788,1.0,1.36,-9,1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021100,136,29,4.0,-9,-9.0,-9,1010.3,1028.3,-9,-9.0,-1.2,-16.2,31.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1945,0.9,1.04,-9,6.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021200,136,27,3.5,-9,-9.0,-9,1009.8,1027.7,8,-0.6,-0.1,-17.3,26.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,10,Sc,0,0,5,1996,1.0,2.02,-9,10.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021300,136,29,4.6,-9,-9.0,-9,1009.5,1027.4,-9,-9.0,0.5,-20.5,19.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1998,1.0,1.97,-9,4.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021400,136,29,4.1,-9,-9.0,-9,1009.3,1027.2,-9,-9.0,0.7,-20.3,19.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1961,1.0,1.88,-9,8.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021500,136,29,4.1,-9,-9.0,-9,1009.5,1027.4,5,-0.3,0.4,-20.0,20.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1994,1.0,1.54,-9,7.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021600,136,29,4.3,-9,-9.0,-9,1009.8,1027.7,-9,-9.0,-0.2,-20.5,20.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1961,1.0,1.01,-9,0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021700,136,29,2.6,-9,-9.0,-9,1010.6,1028.6,-9,-9.0,-1.3,-18.8,25.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.9,0.37,-9,-2.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021800,136,29,2.8,-9,-9.0,-9,1011.3,1029.4,2,2.0,-2.5,-18.9,27.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.0,0.01,-9,-4.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021900,136,29,1.9,-9,-9.0,-9,1011.9,1030.1,-9,-9.0,-3.5,-18.6,30.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-5.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101022000,136,29,3.0,-9,-9.0,-9,1012.2,1030.4,-9,-9.0,-4.1,-18.3,32.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-6.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101022100,136,27,3.1,-9,-9.0,-9,1012.4,1030.6,2,1.2,-4.1,-16.6,37.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-6.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
