TM,STN_ID,PM10
202201010000,146.0,11.0
202201010100,146.0,8.0
202201010200,146.0,17.0
202201010300,146.0,25.0
202201010400,146.0,16.0
202201010500,146.0,13.0
202201010600,146.0,15.0
202201010700,146.0,19.0
202201010800,146.0,12.0
202201010900,146.0,5.0
202201011000,146.0,15.0
202201011100,146.0,11.0
202201011200,146.0,15.0
202201011300,146.0,4.0
202201011400,146.0,1.0
202201011500,146.0,10.0
202201011600,146.0,29.0
202201011700,146.0,40.0
202201011800,146.0,40.0
202201011900,146.0,35.0
202201012000,146.0,45.0
202201012100,146.0,48.0
202201012200,146.0,54.0
202201012300,146.0,43.0
202201020000,146.0,49.0
202201020100,146.0,49.0
202201020200,146.0,47.0
202201020300,146.0,33.0
202201020400,146.0,41.0
202201020500,146.0,29.0
202201020600,146.0,17.0
202201020700,146.0,19.0
202201020800,146.0,15.0
202201020900,146.0,19.0
202201021000,146.0,20.0
202201021100,146.0,37.0
202201021200,146.0,43.0
202201021300,146.0,47.0
202201021400,146.0,57.0
202201021500,146.0,77.0
202201021600,146.0,87.0
202201021700,146.0,78.0
202201021800,146.0,47.0
202201021900,146.0,40.0
202201022000,146.0,26.0
202201022100,146.0,26.0
202201022200,146.0,28.0
202201022300,146.0,30.0
202201030000,146.0,39.0
202201030100,146.0,36.0
202201030200,146.0,32.0
202201030300,146.0,46.0
202201030400,146.0,26.0
202201030500,146.0,26.0
202201030600,146.0,29.0
202201030700,146.0,24.0
202201030800,146.0,24.0
202201030900,146.0,33.0
202201031000,146.0,28.0
202201031100,146.0,43.0
202201031200,146.0,38.0
202201031300,146.0,1.0
202201031400,146.0,10.0
202201031500,146.0,24.0
202201031600,146.0,24.0
202201031700,146.0,24.0
202201031800,146.0,24.0
202201031900,146.0,18.0
202201032000,146.0,31.0
202201032100,146.0,46.0
202201032200,146.0,32.0
202201032300,146.0,22.0
202201040000,146.0,19.0
202201040100,146.0,28.0
202201040200,146.0,18.0
202201040300,146.0,29.0
202201040400,146.0,24.0
202201040500,146.0,23.0
202201040600,146.0,23.0
202201040700,146.0,40.0
202201040800,146.0,42.0
202201040900,146.0,46.0
202201041000,146.0,35.0
202201041100,146.0,25.0
202201041200,146.0,28.0
202201041300,146.0,24.0
202201041400,146.0,23.0
202201041500,146.0,33.0
202201041600,146.0,34.0
202201041700,146.0,43.0
202201041800,146.0,34.0
202201041900,146.0,31.0
202201042000,146.0,40.0
202201042100,146.0,42.0
202201042200,146.0,36.0
202201042300,146.0,41.0
202201050000,146.0,26.0
202201050100,146.0,25.0
202201050200,146.0,23.0
202201050300,146.0,46.0
202201050400,146.0,26.0
202201050500,146.0,29.0
202201050600,146.0,32.0
202201050700,146.0,33.0
202201050800,146.0,36.0
202201050900,146.0,31.0
202201051000,146.0,40.0
202201051100,146.0,42.0
202201051200,146.0,46.0
202201051300,146.0,65.0
202201051400,146.0,53.0
202201051500,146.0,60.0
202201051600,146.0,54.0
202201051700,146.0,48.0
202201051800,146.0,62.0
202201051900,146.0,64.0
202201052000,146.0,68.0
202201052100,146.0,75.0
202201052200,146.0,66.0
202201052300,146.0,71.0
202201060000,146.0,75.0
202201060100,146.0,75.0
202201060200,146.0,95.0
202201060300,146.0,96.0
202201060400,146.0,71.0
202201060500,146.0,71.0
202201060600,146.0,76.0
202201060700,146.0,76.0
202201060800,146.0,82.0
202201060900,146.0,82.0
202201061000,146.0,76.0
202201061100,146.0,65.0
202201061200,146.0,61.0
202201061300,146.0,47.0
202201061400,146.0,40.0
202201061500,146.0,48.0
202201061600,146.0,41.0
202201061700,146.0,46.0
202201061800,146.0,56.0
202201061900,146.0,45.0
202201062000,146.0,55.0
202201062100,146.0,67.0
202201062200,146.0,66.0
202201062300,146.0,57.0
202201070000,146.0,61.0
202201070100,146.0,59.0
202201070200,146.0,64.0
202201070300,146.0,68.0
202201070400,146.0,50.0
202201070500,146.0,45.0
202201070600,146.0,56.0
202201070700,146.0,50.0
202201070800,146.0,63.0
202201070900,146.0,51.0
202201071000,146.0,50.0
202201071100,146.0,60.0
202201071200,146.0,63.0
202201071300,146.0,57.0
202201071400,146.0,64.0
202201071500,146.0,62.0
202201071600,146.0,60.0
202201071700,146.0,73.0
202201071800,146.0,67.0
202201071900,146.0,74.0
202201072000,146.0,68.0
202201072100,146.0,54.0
202201072200,146.0,61.0
202201072300,146.0,62.0
202201080000,146.0,62.0
202201080100,146.0,59.0
202201080200,146.0,55.0
202201080300,146.0,57.0
202201080400,146.0,48.0
202201080500,146.0,51.0
202201080600,146.0,44.0
202201080700,146.0,46.0
202201080800,146.0,53.0
202201080900,146.0,55.0
202201081000,146.0,52.0
202201081100,146.0,58.0
202201081200,146.0,48.0
202201081300,146.0,30.0
202201081400,146.0,30.0
202201081500,146.0,45.0
202201081600,146.0,33.0
202201081700,146.0,35.0
202201081800,146.0,26.0
202201081900,146.0,30.0
202201082000,146.0,45.0
202201082100,146.0,53.0
202201082200,146.0,44.0
202201082300,146.0,40.0
202201090000,146.0,40.0
202201090100,146.0,35.0
202201090200,146.0,33.0
202201090300,146.0,48.0
202201090400,146.0,45.0
202201090500,146.0,38.0
202201090600,146.0,50.0
202201090700,146.0,37.0
202201090800,146.0,45.0
202201090900,146.0,42.0
202201091000,146.0,50.0
202201091100,146.0,59.0
202201091200,146.0,94.0
202201091300,146.0,92.0
202201091400,146.0,102.0
202201091500,146.0,103.0
202201091600,146.0,90.0
202201091700,146.0,78.0
202201091800,146.0,87.0
202201091900,146.0,90.0
202201092000,146.0,101.0
202201092100,146.0,103.0
202201092200,146.0,94.0
202201092300,146.0,93.0
202201100000,146.0,94.0
202201100100,146.0,87.0
202201100200,146.0,90.0
202201100300,146.0,89.0
202201100400,146.0,87.0
202201100500,146.0,86.0
202201100600,146.0,124.0
202201100700,146.0,2943.0
202201100800,146.0,722.0
202201100900,146.0,654.0
202201101000,146.0,151.0
202201101100,146.0,162.0
202201101200,146.0,152.0
202201101300,146.0,134.0
202201101400,146.0,99.0
202201101500,146.0,104.0
202201101600,146.0,75.0
202201101700,146.0,87.0
202201101800,146.0,91.0
202201101900,146.0,82.0
202201102000,146.0,89.0
202201102100,146.0,92.0
202201102200,146.0,66.0
202201102300,146.0,62.0
202201110000,146.0,54.0
202201110100,146.0,45.0
202201110200,146.0,31.0
202201110300,146.0,38.0
202201110400,146.0,48.0
202201110500,146.0,54.0
202201110600,146.0,38.0
202201110700,146.0,32.0
202201110800,146.0,24.0
202201110900,146.0,18.0
202201111000,146.0,19.0
202201111100,146.0,13.0
202201111200,146.0,12.0
202201111300,146.0,12.0
202201111400,146.0,10.0
202201111500,146.0,15.0
202201111600,146.0,16.0
202201111700,146.0,19.0
202201111800,146.0,31.0
202201111900,146.0,32.0
202201112000,146.0,19.0
202201112100,146.0,31.0
202201112200,146.0,17.0
202201112300,146.0,13.0
202201120000,146.0,24.0
202201120100,146.0,12.0
202201120200,146.0,19.0
202201120300,146.0,21.0
202201120400,146.0,27.0
202201120500,146.0,24.0
202201120600,146.0,18.0
202201120700,146.0,22.0
202201120800,146.0,19.0
202201120900,146.0,17.0
202201121000,146.0,16.0
202201121100,146.0,19.0
202201121200,146.0,23.0
202201121300,146.0,22.0
202201121400,146.0,21.0
202201121500,146.0,17.0
202201121600,146.0,18.0
202201121700,146.0,17.0
202201121800,146.0,12.0
202201121900,146.0,15.0
202201122000,146.0,19.0
202201122100,146.0,23.0
202201122200,146.0,23.0
202201122300,146.0,22.0
202201130000,146.0,13.0
202201130100,146.0,20.0
202201130200,146.0,17.0
202201130300,146.0,24.0
202201130400,146.0,18.0
