TM,STN_ID,PM10
202201010000,143.0,1.0
202201020000,143.0,11.0
202201030000,143.0,37.0
202201040000,143.0,13.0
202201050000,143.0,31.0
202201060000,143.0,27.0
202201070000,143.0,27.0
202201080000,143.0,20.0
202201090000,143.0,32.0
202201100000,143.0,47.0
202201110000,143.0,34.0
202201120000,143.0,9.0
202201130000,143.0,9.0
202201140000,143.0,18.0
202201150000,143.0,27.0
202201160000,143.0,26.0
202201170000,143.0,10.0
202201180000,143.0,9.0
202201190000,143.0,25.0
202201200000,143.0,16.0
202201210000,143.0,35.0
202201220000,143.0,29.0
202201230000,143.0,60.0
202201240000,143.0,10.0
202201250000,143.0,26.0
202201260000,143.0,22.0
202201270000,143.0,58.0
202201280000,143.0,31.0
202201290000,143.0,10.0
202201300000,143.0,8.0
202201310000,143.0,8.0
202202010000,143.0,13.0
202202010000,143.0,13.0
202202020000,143.0,41.0
202202030000,143.0,6.0
202202040000,143.0,14.0
202202050000,143.0,9.0
202202060000,143.0,12.0
202202070000,143.0,12.0
202202080000,143.0,17.0
202202090000,143.0,32.0
202202100000,143.0,24.0
202202110000,143.0,26.0
202202120000,143.0,67.0
202202130000,143.0,37.0
202202140000,143.0,4.0
202202150000,143.0,39.0
202202160000,143.0,0.0
202202170000,143.0,3.0
202202180000,143.0,33.0
202202190000,143.0,37.0
202202200000,143.0,17.0
202202210000,143.0,15.0
202202220000,143.0,12.0
202202230000,143.0,18.0
202202240000,143.0,21.0
202202250000,143.0,20.0
202202260000,143.0,51.0
202202270000,143.0,37.0
202202280000,143.0,17.0
202203010000,143.0,30.0
202203010000,143.0,30.0
202203020000,143.0,22.0
202203040000,143.0,23.0
202203050000,143.0,64.0
202203060000,143.0,15.0
202203070000,143.0,34.0
202203080000,143.0,28.0
202203090000,143.0,32.0
202203100000,143.0,53.0
202203110000,143.0,60.0
202203120000,143.0,35.0
202203130000,143.0,20.0
202203140000,143.0,9.0
202203150000,143.0,23.0
202203160000,143.0,21.0
202203170000,143.0,70.0
202203180000,143.0,0.0
202203190000,143.0,12.0
202203210000,143.0,20.0
202203220000,143.0,13.0
202203230000,143.0,28.0
202203240000,143.0,30.0
202203250000,143.0,48.0
202203260000,143.0,25.0
202203270000,143.0,7.0
202203280000,143.0,0.0
202203290000,143.0,14.0
202203300000,143.0,24.0
202203310000,143.0,21.0
202204010000,143.0,4.0
202204010000,143.0,4.0
202204020000,143.0,4.0
202204030000,143.0,10.0
202204040000,143.0,2.0
202204050000,143.0,21.0
202204060000,143.0,13.0
202204070000,143.0,31.0
202204080000,143.0,24.0
202204090000,143.0,32.0
202204100000,143.0,21.0
202204110000,143.0,24.0
202204120000,143.0,5.0
202204130000,143.0,9.0
202204140000,143.0,2.0
202204150000,143.0,7.0
202204160000,143.0,0.0
202204170000,143.0,12.0
202204180000,143.0,21.0
202204190000,143.0,24.0
202204200000,143.0,13.0
202204210000,143.0,9.0
202204220000,143.0,21.0
202204230000,143.0,15.0
202204240000,143.0,14.0
202204250000,143.0,29.0
202204260000,143.0,29.0
202204270000,143.0,27.0
202204280000,143.0,72.0
202204290000,143.0,1.0
202204300000,143.0,0.0
202205010000,143.0,15.0
202205010000,143.0,15.0
202205020000,143.0,22.0
202205030000,143.0,3.0
202205040000,143.0,29.0
202205050000,143.0,8.0
202205060000,143.0,5.0
202205070000,143.0,11.0
202205080000,143.0,0.0
202205090000,143.0,0.0
202205100000,143.0,0.0
202205110000,143.0,0.0
202205120000,143.0,19.0
202205130000,143.0,7.0
202205140000,143.0,17.0
202205150000,143.0,1.0
202205160000,143.0,8.0
202205170000,143.0,0.0
202205180000,143.0,33.0
202205190000,143.0,26.0
202205200000,143.0,19.0
202205210000,143.0,33.0
202205220000,143.0,17.0
202205230000,143.0,4.0
202205240000,143.0,49.0
202205250000,143.0,49.0
202205260000,143.0,25.0
202205270000,143.0,13.0
202205280000,143.0,8.0
202205290000,143.0,21.0
202205300000,143.0,18.0
202205310000,143.0,17.0
202206010000,143.0,19.0
202206010000,143.0,19.0
202206020000,143.0,15.0
202206030000,143.0,26.0
202206040000,143.0,10.0
202206050000,143.0,14.0
202206060000,143.0,1.0
202206070000,143.0,3.0
202206080000,143.0,17.0
202206090000,143.0,17.0
202206100000,143.0,9.0
202206110000,143.0,22.0
202206120000,143.0,5.0
202206130000,143.0,20.0
202206140000,143.0,12.0
202206150000,143.0,9.0
202206160000,143.0,29.0
202206170000,143.0,19.0
202206180000,143.0,21.0
202206190000,143.0,20.0
202206200000,143.0,21.0
