TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,159,32,1.6,-9,-9.0,-9,1017.9,1026.7,7,-0.6,2.3,-17.8,21.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,3,43,AcCi,1,3,0,5000,-9.0,-9.0,-9,-2.7,1.5,3.9,5.4,6.4,-9,0.5,-9,3,2
202201020100,159,32,2.6,-9,-9.0,-9,1017.3,1026.1,-9,-9.0,2.4,-17.7,21.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,1,52,-,-9,-9,-9,5000,-9.0,-9.0,-9,-1.8,1.4,3.7,5.3,6.3,-9,-9.0,-9,3,-9
202201020200,159,32,3.1,-9,-9.0,-9,1017.0,1025.8,-9,-9.0,2.4,-16.6,23.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,45,-,-9,-9,-9,5000,-9.0,-9.0,-9,-1.4,1.5,3.6,5.1,6.3,-9,-9.0,-9,3,-9
202201020300,159,32,4.1,-9,-9.0,-9,1016.8,1025.6,7,-1.1,2.1,-17.4,22.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,0,-9,Ci,1,0,0,5000,-9.0,-9.0,-9,-1.4,1.5,3.5,5.1,6.2,2,0.5,3,3,2
202201020400,159,32,3.5,-9,-9.0,-9,1016.2,1025.0,-9,-9.0,1.3,-17.6,23.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,0,-9,Ci,1,0,0,5000,-9.0,-9.0,-9,-2.7,1.3,3.5,5.0,6.2,-9,0.5,-9,3,2
202201020500,159,32,2.1,-9,-9.0,-9,1015.7,1024.5,-9,-9.0,1.2,-17.6,23.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.0,-9,-3.2,1.0,3.3,4.9,6.2,-9,0.5,-9,3,2
202201020600,159,32,4.1,-9,-9.0,-9,1016.0,1024.8,5,-0.8,1.5,-16.9,24.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.0,-9,-1.9,0.9,3.2,4.8,6.1,-9,0.5,-9,3,2
202201020700,159,34,3.2,-9,-9.0,-9,1016.7,1025.5,-9,-9.0,1.2,-16.7,25.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.0,-9,-2.6,0.8,3.1,4.8,6.1,-9,0.5,-9,3,2
202201020800,159,32,1.7,-9,-9.0,-9,1016.9,1025.7,-9,-9.0,1.1,-16.3,26.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,0.3,0.03,-9,-4.2,0.6,3.0,4.7,6.0,-9,0.5,-9,3,2
202201020900,159,29,1.5,-9,-9.0,-9,1017.0,1025.7,1,0.9,3.1,-15.5,24.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,0.47,-9,1.3,1.2,3.0,4.6,6.0,2,0.5,1,3,2
202201021000,159,25,2.5,-9,-9.0,-9,1017.2,1025.9,-9,-9.0,5.1,-13.8,24.0,2.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.1,-9,16.3,2.7,3.1,4.6,6.0,-9,0.5,-9,3,2
202201021100,159,23,2.7,-9,-9.0,-9,1017.0,1025.6,-9,-9.0,6.3,-12.8,24.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.62,-9,22.1,5.5,3.7,4.6,5.9,-9,0.5,-9,3,2
202201021200,159,23,4.3,-9,-9.0,-9,1016.1,1024.7,8,-1.0,6.4,-8.7,33.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.94,-9,20.4,7.6,4.5,4.8,5.9,-9,0.5,-9,3,2
202201021300,159,25,4.3,-9,-9.0,-9,1015.2,1023.7,-9,-9.0,8.3,-5.9,36.0,3.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,2.06,-9,21.4,9.2,5.4,5.0,5.9,-9,0.5,-9,3,2
202201021400,159,18,2.4,-9,-9.0,-9,1014.3,1022.8,-9,-9.0,11.0,-5.5,31.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.91,-9,18.2,10.5,6.4,5.4,5.9,-9,0.5,-9,3,2
202201021500,159,27,2.3,-9,-9.0,-9,1014.3,1022.8,6,-1.9,10.2,-3.8,37.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.58,-9,11.5,11.9,7.2,5.8,6.0,2,0.5,2,3,2
202201021600,159,29,2.1,-9,-9.0,-9,1014.4,1022.9,-9,-9.0,10.6,-2.8,39.0,5.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,1.0,1.06,-9,8.8,11.3,7.7,6.1,6.1,-9,0.5,-9,3,2
202201021700,159,34,2.8,-9,-9.0,-9,1014.7,1023.2,-9,-9.0,8.4,-4.7,39.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,3985,0.9,0.4,-9,5.4,9.1,7.6,6.4,6.2,-9,0.5,-9,3,2
202201021800,159,34,2.7,-9,-9.0,-9,1015.2,1023.8,2,1.0,6.9,-6.1,39.0,3.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2626,0.0,0.03,-9,2.4,6.9,7.2,6.5,6.4,-9,0.5,-9,3,2
