TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,101,0,0.4,-9,-9.0,-9,1018.8,1028.8,7,-0.7,-8.7,-12.6,73.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1855,-9.0,-9.0,-9,-8.9,-3.4,-4.8,-1.1,0.2,-9,-9.0,-9,3,-9
202201020100,101,34,0.8,-9,-9.0,-9,1018.2,1028.2,-9,-9.0,-8.0,-11.9,73.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1773,-9.0,-9.0,-9,-6.0,-3.4,-4.3,-1.2,0.2,-9,-9.0,-9,3,-9
202201020200,101,34,0.7,-9,-9.0,-9,1017.7,1027.6,-9,-9.0,-7.2,-11.3,72.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1843,-9.0,-9.0,-9,-5.5,-3.2,-3.9,-1.2,0.2,-9,-9.0,-9,3,-9
202201020300,101,36,0.7,-9,-9.0,-9,1017.3,1027.2,7,-1.6,-6.4,-10.6,72.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1700,-9.0,-9.0,-9,-4.9,-3.0,-3.5,-1.2,0.2,-9,-9.0,-9,3,-9
202201020400,101,36,0.6,-9,-9.0,-9,1016.5,1026.4,-9,-9.0,-5.9,-10.3,71.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1777,-9.0,-9.0,-9,-4.5,-2.8,-3.3,-1.3,0.2,-9,-9.0,-9,3,-9
202201020500,101,34,0.8,-9,-9.0,-9,1016.0,1025.8,-9,-9.0,-5.6,-10.3,69.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1760,-9.0,-9.0,-9,-4.3,-2.7,-3.1,-1.2,0.2,-9,-9.0,-9,3,-9
202201020600,101,36,1.0,-9,-9.0,-9,1015.9,1025.7,7,-1.5,-5.2,-10.0,69.0,2.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1723,-9.0,-9.0,-9,-4.2,-2.6,-3.0,-1.2,0.2,-9,-9.0,-9,3,-9
202201020700,101,0,0.3,-9,-9.0,-9,1016.1,1025.9,-9,-9.0,-5.0,-9.6,70.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1743,-9.0,-9.0,-9,-3.8,-2.4,-2.8,-1.2,0.2,-9,-9.0,-9,3,-9
202201020800,101,9,0.7,-9,-9.0,-9,1016.7,1026.5,-9,-9.0,-4.7,-8.6,74.0,3.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,892,0.0,0.0,-9,-4.0,-2.4,-2.7,-1.2,0.2,-9,-9.0,-9,1,-9
202201020900,101,34,1.1,-9,-9.0,-9,1017.0,1026.8,2,1.1,-4.6,-8.1,76.0,3.3,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1653,0.0,0.14,-9,-3.3,-2.3,-2.7,-1.1,0.2,-9,-9.0,-9,1,-9
202201021000,101,0,0.4,-9,-9.0,-9,1017.4,1027.2,-9,-9.0,-3.5,-8.0,71.0,3.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1620,0.4,0.48,-9,-1.9,-2.1,-2.2,-1.1,0.2,-9,-9.0,-9,3,-9
202201021100,101,27,0.6,-9,-9.0,-9,1017.6,1027.3,-9,-9.0,-1.0,-7.5,61.0,3.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1707,1.0,1.05,-9,0.8,-1.8,-1.3,-1.0,0.3,-9,-9.0,-9,3,-9
202201021200,101,36,0.8,-9,-9.0,-9,1016.8,1026.4,8,-0.4,0.8,-6.3,59.0,3.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1564,1.0,1.47,-9,8.0,-1.3,-0.2,-0.9,0.3,-9,-9.0,-9,3,-9
202201021300,101,34,0.6,-9,-9.0,-9,1015.9,1025.4,-9,-9.0,3.1,-6.3,50.0,3.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1336,1.0,1.64,-9,6.6,-1.0,0.3,-0.8,0.3,-9,-9.0,-9,3,-9
202201021400,101,18,1.9,-9,-9.0,-9,1015.3,1024.8,-9,-9.0,4.9,-8.2,38.0,3.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1309,1.0,1.53,-9,10.6,-0.7,0.4,-0.8,0.3,-9,-9.0,-9,3,-9
202201021500,101,20,1.9,-9,-9.0,-9,1015.3,1024.7,7,-1.7,5.3,-8.5,36.0,3.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1657,1.0,1.24,-9,6.8,-0.6,0.2,-0.7,0.4,-9,-9.0,-9,3,-9
202201021600,101,25,3.3,-9,-9.0,-9,1015.3,1024.7,-9,-9.0,4.7,-12.7,27.0,2.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,1.0,0.88,-9,3.4,-0.5,-0.1,-0.7,0.3,-9,-9.0,-9,3,-9
202201021700,101,25,1.4,-9,-9.0,-9,1015.5,1025.0,-9,-9.0,2.9,-13.0,30.0,2.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,0.5,0.27,-9,-0.9,-0.6,-0.3,-0.7,0.3,-9,-9.0,-9,3,-9
202201021800,101,25,2.2,-9,-9.0,-9,1016.3,1025.9,2,1.2,1.5,-14.2,30.0,2.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,0.0,0.01,-9,-2.0,-0.7,-1.3,-0.7,0.2,-9,-9.0,-9,3,-9
