TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,133,20,0.8,-9,-9.0,-9,1020.0,1029.1,7,-0.2,-4.3,-11.3,58.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,41,Ac,0,3,0,2000,-9.0,-9.0,-9,-3.6,-0.5,0.1,0.9,2.1,-9,-9.0,-9,3,2
202201020100,133,32,0.9,-9,-9.0,-9,1019.7,1028.8,-9,-9.0,-4.5,-11.3,59.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,40,-,-9,-9,-9,2000,-9.0,-9.0,-9,-4.4,-0.6,0.1,0.9,2.0,-9,-9.0,-9,3,-9
202201020200,133,34,1.0,-9,-9.0,-9,1019.3,1028.4,-9,-9.0,-5.0,-10.9,63.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-5.8,-0.6,0.1,0.8,2.0,-9,-9.0,-9,3,-9
202201020300,133,25,0.5,-9,-9.0,-9,1019.0,1028.1,7,-1.0,-5.5,-11.0,65.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,12,Sc,0,0,5,2000,-9.0,-9.0,-9,-6.4,-0.8,0.0,0.8,2.0,-9,-9.0,-9,3,2
202201020400,133,20,1.2,-9,-9.0,-9,1017.6,1026.7,-9,-9.0,-5.9,-10.6,69.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1838,-9.0,-9.0,-9,-6.6,-0.8,0.0,0.8,2.0,-9,-9.0,-9,3,-9
202201020500,133,0,0.1,-9,-9.0,-9,1017.0,1026.1,-9,-9.0,-6.0,-11.1,67.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,12,Sc,0,0,5,1852,-9.0,-9.0,-9,-6.6,-1.0,0.0,0.8,2.0,-9,-9.0,-9,3,2
202201020600,133,29,0.7,-9,-9.0,-9,1017.2,1026.3,5,-1.8,-5.7,-10.1,71.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,17,Sc,0,0,5,1841,-9.0,-9.0,-9,-4.3,-1.0,0.0,0.8,2.0,-9,-9.0,-9,3,2
202201020700,133,29,1.1,-9,-9.0,-9,1017.9,1027.0,-9,-9.0,-4.8,-9.8,68.0,2.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,70,72,05,9,9,10,Sc,0,0,5,1856,-9.0,-9.0,-9,-3.1,-1.0,0.0,0.8,2.0,-9,-9.0,-9,4,1
202201020800,133,25,1.0,-9,-9.0,-9,1017.7,1026.8,-9,-9.0,-4.3,-9.5,67.0,3.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,22,72,05,7,7,13,Sc,0,0,5,1863,0.0,0.01,-9,-4.0,-0.9,0.0,0.8,2.0,-9,-9.0,-9,4,1
202201020900,133,23,1.0,-9,-9.0,-9,1017.9,1027.0,1,0.7,-3.5,-9.1,65.0,3.1,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,11,Sc,0,0,5,1925,0.2,0.16,-9,-1.7,-0.8,0.0,0.8,2.1,-9,-9.0,-9,3,2
