TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,184,18,2.6,-9,-9.0,-9,1025.5,1028.1,8,-0.1,4.4,-1.6,65.0,5.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,38,Ac,0,3,0,5000,-9.0,-9.0,-9,2.9,6.6,6.8,7.7,8.5,-9,0.5,-9,3,2
202201020100,184,18,2.8,-9,-9.0,-9,1025.1,1027.7,-9,-9.0,4.3,-0.6,70.0,5.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,3,13,-,-9,-9,-9,5000,-9.0,-9.0,-9,2.5,6.5,6.7,7.6,8.6,-9,-9.0,-9,3,-9
202201020200,184,23,2.7,-9,-9.0,-9,1025.2,1027.8,-9,-9.0,5.2,0.3,71.0,6.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,3,-,-9,-9,-9,5000,-9.0,-9.0,-9,2.8,6.4,6.6,7.6,8.5,-9,-9.0,-9,3,-9
202201020300,184,23,2.6,-9,-9.0,-9,1025.3,1027.9,5,-0.2,5.7,0.8,71.0,6.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,4,8,ScCi,1,0,5,5000,-9.0,-9.0,-9,3.4,6.4,6.6,7.5,8.5,2,0.5,2,3,2
202201020400,184,25,1.7,-9,-9.0,-9,1024.9,1027.5,-9,-9.0,5.5,-0.3,66.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,8,Sc,0,0,5,5000,-9.0,-9.0,-9,3.0,6.4,6.6,7.4,8.5,-9,0.5,-9,3,2
202201020500,184,23,2.6,-9,-9.0,-9,1024.5,1027.1,-9,-9.0,5.4,-0.2,67.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,8,Sc,0,0,5,5000,-9.0,-9.0,-9,2.9,6.3,6.6,7.4,8.5,-9,0.5,-9,3,2
202201020600,184,18,3.3,-9,-9.0,-9,1024.9,1027.5,5,-0.4,4.8,-0.2,70.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.0,-9,2.5,6.2,6.5,7.4,8.4,-9,0.5,-9,3,2
202201020700,184,18,2.5,-9,-9.0,-9,1024.9,1027.5,-9,-9.0,4.3,-0.3,72.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,5000,-9.0,-9.0,-9,2.0,6.1,6.4,7.3,8.4,-9,0.5,-9,3,2
202201020800,184,20,1.6,-9,-9.0,-9,1025.3,1027.9,-9,-9.0,4.5,-0.3,71.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,35,Ac,0,3,0,4714,0.0,0.01,-9,1.8,6.0,6.3,7.3,8.4,-9,0.5,-9,3,2
202201020900,184,23,2.0,-9,-9.0,-9,1025.6,1028.2,2,0.7,6.0,0.1,66.0,6.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,2,14,ScAc,0,3,5,3850,0.2,0.2,-9,2.4,5.9,6.2,7.2,8.4,2,0.5,2,3,2
202201021000,184,23,2.4,-9,-9.0,-9,1026.0,1028.6,-9,-9.0,10.0,0.5,52.0,6.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,12,Sc,0,0,5,4535,0.7,0.75,-9,5.6,6.2,6.3,7.1,8.4,-9,0.5,-9,3,2
202201021100,184,25,2.3,-9,-9.0,-9,1026.0,1028.6,-9,-9.0,10.2,1.5,55.0,6.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,12,Sc,0,0,5,4642,0.2,0.7,-9,7.6,6.7,6.6,7.1,8.4,-9,0.5,-9,3,2
202201021200,184,32,2.8,-9,-9.0,-9,1025.4,1028.0,8,-0.2,10.4,3.6,63.0,7.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,12,Sc,0,0,5,4857,0.0,0.46,-9,8.5,7.0,6.9,7.2,8.3,-9,0.5,-9,3,2
202201021300,184,32,3.3,-9,-9.0,-9,1024.4,1027.0,-9,-9.0,10.6,3.8,63.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,9,Sc,0,0,5,5000,0.0,0.5,-9,9.3,7.4,7.2,7.3,8.3,-9,0.5,-9,3,2
202201021400,184,32,4.6,-9,-9.0,-9,1024.0,1026.6,-9,-9.0,10.6,3.3,61.0,7.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,9,Sc,0,0,5,4928,0.0,0.67,-9,9.9,7.7,7.5,7.4,8.3,-9,0.5,-9,3,2
202201021500,184,32,4.1,-9,-9.0,-9,1023.5,1026.0,7,-2.0,11.1,4.5,64.0,8.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,9,Sc,0,0,5,4714,0.2,0.71,-9,10.0,8.0,7.7,7.5,8.3,2,0.5,3,3,2
202201021600,184,34,5.0,-9,-9.0,-9,1023.5,1026.1,-9,-9.0,10.4,3.6,63.0,7.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,9,Sc,0,0,5,1735,0.0,0.26,-9,9.0,8.1,7.9,7.7,8.3,-9,0.5,-9,3,2
202201021700,184,36,4.8,2,11.0,1622,1023.8,1026.4,-9,-9.0,9.6,3.9,68.0,8.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,9,Sc,0,0,5,1068,0.0,0.14,-9,8.1,8.1,8.0,7.8,8.3,-9,0.5,-9,3,2
202201021800,184,34,4.3,2,11.0,1622,1024.5,1027.1,2,1.1,8.7,2.9,67.0,7.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,7,7,10,Sc,0,0,5,893,0.0,0.0,-9,7.1,8.0,8.0,7.9,8.3,-9,0.5,-9,3,1
202201021900,184,34,3.5,-9,-9.0,-9,1025.4,1028.0,-9,-9.0,8.1,1.2,62.0,6.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,7,7,3,-,-9,-9,-9,872,-9.0,-9.0,-9,6.2,7.8,7.9,7.9,8.3,-9,-9.0,-9,3,-9
202201022000,184,34,4.0,-9,-9.0,-9,1025.5,1028.1,-9,-9.0,7.4,0.8,63.0,6.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,5,5,3,-,-9,-9,-9,1116,-9.0,-9.0,-9,5.7,7.7,7.8,8.0,8.3,-9,-9.0,-9,3,-9
202201022100,184,36,1.9,2,11.0,1622,1025.4,1028.0,0,0.9,6.4,0.0,64.0,6.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,12,Sc,0,0,5,1299,-9.0,-9.0,-9,4.8,7.6,7.7,8.0,8.4,2,0.5,2,3,2
202201022200,184,2,3.8,-9,-9.0,-9,1025.5,1028.1,-9,-9.0,6.4,-0.1,63.0,6.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1687,-9.0,-9.0,-9,4.3,7.4,7.5,8.0,8.4,-9,-9.0,-9,3,-9
