TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801010000,54662.0,1.0,3.0,2.0,64.0,340.0,2.0,-0.6,-9.2,52.1,1028.3,2.0,1.6,0.0,cma,49.0,121.63,38.9
201801010300,54662.0,1.0,3.0,2.0,64.0,360.0,2.0,1.1,-10.1,42.9,1028.9,2.0,0.6,0.0,cma,94.0,121.63,38.9
201801010600,54662.0,1.0,3.0,2.0,67.0,360.0,2.0,2.0,-14.2,28.9,1027.4,7.0,1.5,0.0,cma,71.0,121.63,38.9
201801010900,54662.0,1.0,3.0,2.0,67.0,360.0,3.0,0.1,-17.6,25.0,1027.6,2.0,0.2,0.0,cma,120.0,121.63,38.9
201801011200,54662.0,1.0,3.0,2.0,66.0,20.0,2.0,-1.4,-16.3,31.1,1029.1,2.0,1.4,0.0,cma,30.0,121.63,38.9
201801011500,54662.0,1.0,3.0,2.0,80.0,360.0,1.0,-2.5,-16.9,32.1,1030.4,2.0,1.3,0.0,cma,43.0,121.63,38.9
201801011800,54662.0,1.0,3.0,2.0,80.0,40.0,3.0,-2.8,-16.5,34.0,1031.3,2.0,0.9,0.0,cma,47.0,121.63,38.9
201801012100,54662.0,1.0,3.0,2.0,80.0,20.0,3.0,-3.9,-18.6,30.9,1031.0,7.0,0.3,0.0,cma,33.0,121.63,38.9
201801020000,54662.0,1.0,3.0,2.0,80.0,20.0,4.0,-4.6,-19.9,29.1,1033.4,2.0,2.3,0.0,cma,0.0,121.63,38.9
201801020300,54662.0,1.0,3.0,2.0,74.0,360.0,6.0,-3.7,-22.9,20.9,1034.0,2.0,0.6,0.0,cma,18.0,121.63,38.9
201801020600,54662.0,1.0,3.0,2.0,80.0,360.0,4.0,-3.0,-19.4,27.0,1032.8,7.0,1.2,0.0,cma,40.0,121.63,38.9
201801020900,54662.0,1.0,3.0,2.0,80.0,360.0,4.0,-4.7,-17.5,36.0,1033.7,2.0,0.8,0.0,cma,32.0,121.63,38.9
201801021200,54662.0,1.0,3.0,2.0,68.0,360.0,5.0,-5.4,-18.8,34.0,1035.1,2.0,1.4,0.0,cma,63.0,121.63,38.9
201801021500,54662.0,1.0,3.0,2.0,78.0,360.0,4.0,-5.3,-16.2,42.0,1036.6,2.0,1.5,0.0,cma,50.0,121.63,38.9
201801021800,54662.0,1.0,3.0,2.0,79.0,360.0,4.0,-4.9,-16.4,40.1,1037.1,2.0,0.5,0.0,cma,18.0,121.63,38.9
201801022100,54662.0,1.0,3.0,2.0,80.0,20.0,6.0,-5.9,-17.0,41.1,1036.4,7.0,0.8,0.0,cma,64.0,121.63,38.9
201801030000,54662.0,1.0,3.0,2.0,80.0,360.0,5.0,-6.9,-16.1,47.9,1038.1,2.0,1.7,0.0,cma,53.0,121.63,38.9
201801030300,54662.0,1.0,3.0,2.0,80.0,20.0,4.0,-5.3,-16.5,41.0,1038.3,2.0,0.2,0.0,cma,37.0,121.63,38.9
201801030600,54662.0,1.0,3.0,2.0,80.0,360.0,5.0,-3.9,-16.5,36.9,1035.9,7.0,2.3,0.0,cma,41.0,121.63,38.9
201801030900,54662.0,1.0,3.0,2.0,80.0,360.0,6.0,-4.4,-16.0,39.9,1035.7,7.0,0.2,0.0,cma,32.0,121.63,38.9
201801031200,54662.0,1.0,3.0,2.0,80.0,360.0,4.0,-4.9,-15.0,45.0,1036.5,2.0,0.7,0.0,cma,26.0,121.63,38.9
201801031500,54662.0,1.0,3.0,2.0,80.0,20.0,4.0,-4.5,-14.6,45.1,1036.0,7.0,0.4,0.0,cma,19.0,121.63,38.9
201801031800,54662.0,1.0,3.0,2.0,80.0,360.0,5.0,-5.0,-15.6,43.2,1036.4,2.0,0.4,0.0,cma,11.0,121.63,38.9
201801032100,54662.0,1.0,3.0,2.0,71.0,360.0,5.0,-5.9,-15.7,45.8,1034.9,7.0,1.5,0.0,cma,23.0,121.63,38.9
201801040000,54662.0,1.0,3.0,2.0,80.0,20.0,4.0,-7.3,-17.5,43.9,1034.5,7.0,0.5,0.0,cma,16.0,121.63,38.9
201801040300,54662.0,1.0,3.0,2.0,80.0,360.0,6.0,-6.3,-17.7,40.0,1033.2,7.0,1.2,0.0,cma,34.0,121.63,38.9
201801040600,54662.0,1.0,3.0,2.0,80.0,20.0,5.0,-6.5,-15.2,50.0,1029.6,7.0,3.6,0.0,cma,45.0,121.63,38.9
201801040900,54662.0,1.0,3.0,2.0,80.0,360.0,7.0,-7.0,-15.2,52.0,1029.2,7.0,0.4,0.0,cma,48.0,121.63,38.9
201801041200,54662.0,1.0,3.0,2.0,80.0,360.0,6.0,-6.9,-14.4,55.1,1028.5,7.0,0.7,0.0,cma,29.0,121.63,38.9
201801041500,54662.0,1.0,3.0,2.0,80.0,360.0,6.0,-6.8,-17.0,44.1,1026.9,7.0,1.6,0.0,cma,22.0,121.63,38.9
201801041800,54662.0,1.0,3.0,2.0,79.0,360.0,4.0,-6.3,-15.5,48.1,1026.9,4.0,0.0,0.0,cma,25.0,121.63,38.9
201801042100,54662.0,1.0,3.0,2.0,80.0,20.0,4.0,-6.0,-14.7,50.2,1025.2,7.0,1.7,0.0,cma,13.0,121.63,38.9
201801050000,54662.0,1.0,3.0,2.0,78.0,360.0,3.0,-5.6,-12.5,58.2,1025.9,2.0,0.7,0.0,cma,7.0,121.63,38.9
201801050300,54662.0,1.0,3.0,2.0,80.0,360.0,4.0,-2.4,-12.4,46.1,1025.5,7.0,0.3,0.0,cma,41.0,121.63,38.9
201801050600,54662.0,1.0,3.0,2.0,80.0,360.0,3.0,-0.9,-11.9,43.0,1023.4,7.0,2.0,0.0,cma,28.0,121.63,38.9
201801050900,54662.0,1.0,3.0,2.0,80.0,320.0,2.0,-1.6,-12.0,44.9,1023.9,2.0,0.5,0.0,cma,19.0,121.63,38.9
201801051200,54662.0,1.0,3.0,2.0,70.0,360.0,3.0,-2.3,-9.9,55.9,1025.0,2.0,1.0,0.0,cma,39.0,121.63,38.9
201801051500,54662.0,1.0,3.0,2.0,73.0,340.0,1.0,-3.9,-13.0,49.2,1025.6,2.0,0.7,0.0,cma,27.0,121.63,38.9
201801051800,54662.0,1.0,3.0,2.0,76.0,340.0,2.0,-3.6,-10.9,56.9,1026.5,2.0,0.9,0.0,cma,19.0,121.63,38.9
201801052100,54662.0,1.0,3.0,2.0,69.0,340.0,1.0,-4.1,-9.7,65.0,1026.6,2.0,0.1,0.0,cma,42.0,121.63,38.9
201801060000,54662.0,1.0,3.0,2.0,77.0,360.0,4.0,-4.1,-15.1,42.0,1027.8,2.0,1.1,0.0,cma,29.0,121.63,38.9
201801060300,54662.0,1.0,3.0,2.0,71.0,20.0,3.0,-1.7,-16.2,32.1,1028.7,2.0,0.9,0.0,cma,45.0,121.63,38.9
201801060600,54662.0,1.0,3.0,2.0,80.0,360.0,4.0,-1.6,-15.4,34.0,1025.7,7.0,2.9,0.0,cma,25.0,121.63,38.9
201801060900,54662.0,1.0,3.0,2.0,80.0,360.0,3.0,-1.9,-14.3,38.1,1025.7,4.0,0.0,0.0,cma,0.0,121.63,38.9
201801061200,54662.0,1.0,3.0,2.0,80.0,340.0,1.0,-2.6,-15.6,36.1,1027.2,2.0,1.4,0.0,cma,42.0,121.63,38.9
201801061500,54662.0,1.0,3.0,2.0,80.0,340.0,2.0,-3.0,-14.1,42.0,1025.9,7.0,1.2,0.0,cma,46.0,121.63,38.9
201801061800,54662.0,1.0,3.0,2.0,80.0,360.0,2.0,-3.1,-12.6,47.8,1025.1,7.0,0.8,0.0,cma,23.0,121.63,38.9
201801062100,54662.0,1.0,3.0,2.0,80.0,340.0,2.0,-3.1,-12.6,47.8,1024.3,7.0,0.8,0.0,cma,18.0,121.63,38.9
201801070000,54662.0,1.0,3.0,2.0,80.0,70.0,1.0,-2.0,-13.2,42.0,1023.6,7.0,0.7,0.0,cma,17.0,121.63,38.9
201801070300,54662.0,1.0,3.0,2.0,78.0,40.0,2.0,1.4,-10.4,41.0,1022.6,7.0,0.9,0.0,cma,19.0,121.63,38.9
201801070600,54662.0,1.0,3.0,2.0,73.0,180.0,3.0,1.9,-8.8,44.9,1020.1,7.0,2.5,0.0,cma,8.0,121.63,38.9
201801070900,54662.0,1.0,3.0,2.0,80.0,220.0,1.0,1.3,,46.2,1020.1,4.0,0.0,0.0,cma,33.0,121.63,38.9
201801071200,54662.0,1.0,3.0,2.0,73.0,160.0,1.0,0.9,-7.4,53.8,1019.2,7.0,0.8,0.0,cma,33.0,121.63,38.9
201801071500,54662.0,1.0,3.0,2.0,80.0,250.0,2.0,1.2,-5.1,62.8,1018.6,7.0,0.6,0.0,cma,49.0,121.63,38.9
201801071800,54662.0,1.0,3.0,1.0,38.0,270.0,2.0,0.0,-2.5,83.2,1017.5,7.0,1.1,0.0,cma,23.0,121.63,38.9
201801072100,54662.0,1.0,3.0,1.0,41.0,220.0,1.0,0.4,-3.5,75.0,1014.5,7.0,2.9,0.0,cma,40.0,121.63,38.9
