TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201801010000,54218.0,1.0,3.0,2.0,60.0,40.0,1.0,-16.4,-24.4,50.0,1033.9,2.0,0.8,0.0,cma,14.0
201801010300,54218.0,1.0,3.0,2.0,67.0,20.0,1.0,-8.3,-22.4,31.1,1033.4,2.0,0.3,0.0,cma,7.0
201801010600,54218.0,1.0,3.0,2.0,80.0,140.0,2.0,-5.8,-22.2,26.1,1030.9,7.0,1.9,0.0,cma,11.0
201801010900,54218.0,1.0,3.0,2.0,58.0,40.0,1.0,-7.5,-22.1,30.0,1032.8,2.0,0.9,0.0,cma,73.0
201801011200,54218.0,1.0,3.0,2.0,69.0,340.0,2.0,-12.6,-22.6,43.0,1036.2,2.0,2.2,0.0,cma,11.0
201801011500,54218.0,1.0,3.0,2.0,78.0,320.0,2.0,-14.6,-23.0,48.8,1036.5,2.0,1.2,0.0,cma,17.0
201801011800,54218.0,1.0,3.0,2.0,70.0,320.0,1.0,-17.1,-23.8,56.0,1037.1,2.0,0.6,0.0,cma,49.0
201801012100,54218.0,1.0,3.0,2.0,80.0,270.0,2.0,-17.3,-24.0,55.9,1037.6,2.0,0.1,0.0,cma,29.0
201801020000,54218.0,1.0,3.0,2.0,61.0,220.0,1.0,-18.3,-24.5,58.2,1040.5,2.0,1.7,0.0,cma,46.0
201801020300,54218.0,1.0,3.0,2.0,80.0,290.0,5.0,-8.7,-24.3,27.1,1039.6,2.0,0.4,0.0,cma,26.0
201801020600,54218.0,1.0,3.0,2.0,80.0,320.0,8.0,-5.6,-26.2,18.0,1038.1,7.0,1.3,0.0,cma,23.0
201801020900,54218.0,1.0,3.0,2.0,80.0,340.0,4.0,-8.7,-26.6,22.0,1039.2,2.0,0.5,0.0,cma,44.0
201801021200,54218.0,1.0,3.0,2.0,80.0,320.0,2.0,-11.9,-26.4,28.9,1042.8,2.0,2.6,0.0,cma,29.0
201801021500,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-12.6,-24.6,36.0,1041.8,2.0,0.5,0.0,cma,0.0
201801021800,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-14.6,-24.7,42.0,1042.0,2.0,0.4,0.0,cma,31.0
201801022100,54218.0,1.0,3.0,2.0,80.0,110.0,1.0,-15.3,-25.3,42.1,1042.3,7.0,0.3,0.0,cma,18.0
201801030000,54218.0,1.0,3.0,2.0,80.0,220.0,2.0,-15.6,-24.8,45.2,1043.9,2.0,0.9,0.0,cma,12.0
201801030300,54218.0,1.0,3.0,2.0,80.0,290.0,3.0,-8.2,-21.0,34.9,1042.4,7.0,0.3,0.0,cma,10.0
201801030600,54218.0,1.0,3.0,2.0,80.0,340.0,6.0,-5.0,-20.7,28.0,1040.3,7.0,1.8,0.0,cma,22.0
201801030900,54218.0,1.0,3.0,2.0,80.0,340.0,7.0,-8.4,-21.5,33.9,1041.2,2.0,0.2,0.0,cma,24.0
201801031200,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-11.1,-21.8,40.9,1041.8,2.0,0.1,0.0,cma,20.0
201801031500,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-13.9,-22.8,46.9,1041.7,2.0,0.6,0.0,cma,34.0
201801031800,54218.0,1.0,3.0,2.0,80.0,140.0,1.0,-16.0,-23.6,52.0,1041.4,7.0,0.1,0.0,cma,24.0
201801032100,54218.0,1.0,3.0,2.0,68.0,0.0,0.0,-17.4,-23.3,60.0,1040.7,7.0,1.4,0.0,cma,20.0
201801040000,54218.0,1.0,3.0,2.0,73.0,290.0,2.0,-16.1,-22.9,55.8,1040.7,7.0,0.2,0.0,cma,11.0
201801040300,54218.0,1.0,3.0,2.0,80.0,290.0,2.0,-8.3,-22.8,30.0,1038.9,7.0,0.9,0.0,cma,13.0
201801040900,54218.0,1.0,3.0,2.0,60.0,20.0,1.0,-6.7,-22.2,28.0,1034.8,7.0,0.9,0.0,cma,26.0
201801041200,54218.0,1.0,3.0,2.0,74.0,320.0,2.0,-9.6,-24.3,29.1,1034.7,7.0,0.4,0.0,cma,7.0
201801041500,54218.0,1.0,3.0,2.0,77.0,220.0,1.0,-12.7,-23.8,39.0,1032.6,7.0,1.2,0.0,cma,14.0
201801041800,54218.0,1.0,3.0,2.0,73.0,220.0,2.0,-13.6,-23.8,41.9,1030.9,7.0,1.1,0.0,cma,70.0
201801042100,54218.0,1.0,3.0,2.0,71.0,200.0,1.0,-15.2,-24.2,46.1,1029.9,7.0,1.5,0.0,cma,57.0
201801050000,54218.0,1.0,3.0,2.0,60.0,290.0,1.0,-15.8,-24.5,47.2,1030.4,7.0,0.1,0.0,cma,40.0
