TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801010000,54135.0,1.0,3.0,2.0,67.0,270.0,3.0,-16.7,-21.6,65.8,1029.8,2.0,0.9,0.0,cma,129.0,122.37,43.6
201801010300,54135.0,1.0,3.0,2.0,79.0,290.0,4.0,-10.2,-21.8,38.1,1030.2,2.0,0.6,0.0,cma,40.0,122.37,43.6
201801010600,54135.0,1.0,3.0,2.0,62.0,270.0,6.0,-9.2,-24.8,26.9,1028.9,7.0,1.3,0.0,cma,22.0,122.37,43.6
201801010900,54135.0,1.0,3.0,2.0,70.0,270.0,3.0,-11.4,-25.2,30.9,1030.4,2.0,1.2,0.0,cma,84.0,122.37,43.6
201801011200,54135.0,1.0,3.0,2.0,77.0,270.0,2.0,-13.8,-25.1,37.9,1031.2,2.0,0.7,0.0,cma,42.0,122.37,43.6
201801011500,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-16.1,-24.8,47.1,1032.2,2.0,1.1,0.0,cma,331.0,122.37,43.6
201801011800,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-16.8,-24.1,53.2,1032.3,2.0,0.2,0.0,cma,48.0,122.37,43.6
201801012100,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-16.8,-23.9,54.1,1031.8,7.0,0.6,0.0,cma,8.0,122.37,43.6
201801020000,54135.0,1.0,3.0,2.0,73.0,270.0,2.0,-17.1,-23.4,58.0,1033.6,2.0,1.6,0.0,cma,17.0,122.37,43.6
201801020300,54135.0,1.0,3.0,2.0,80.0,290.0,2.0,-10.8,-21.2,42.1,1034.2,2.0,0.8,0.0,cma,0.0,122.37,43.6
201801020600,54135.0,1.0,3.0,2.0,80.0,320.0,3.0,-7.7,-20.5,35.0,1033.1,7.0,1.0,0.0,cma,12.0,122.37,43.6
201801020900,54135.0,1.0,3.0,2.0,73.0,320.0,2.0,-9.5,-21.2,38.0,1034.6,2.0,1.4,0.0,cma,16.0,122.37,43.6
201801021200,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-11.6,-21.2,44.8,1036.2,2.0,1.4,0.0,cma,16.0,122.37,43.6
201801021500,54135.0,1.0,3.0,2.0,80.0,290.0,3.0,-12.9,-20.9,51.1,1036.3,2.0,0.4,0.0,cma,35.0,122.37,43.6
