TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801010000,53845.0,1.0,3.0,2.0,61.0,20.0,1.0,-10.5,-13.9,76.0,1028.1,2.0,0.8,0.0,cma,195.0,109.5,36.6
201801010300,53845.0,1.0,3.0,2.0,60.0,160.0,1.0,-2.5,-11.7,49.2,1028.2,2.0,1.1,0.0,cma,131.0,109.5,36.6
201801010900,53845.0,1.0,3.0,2.0,73.0,40.0,1.0,5.2,-18.6,16.0,1024.1,7.0,0.2,0.0,cma,0.0,109.5,36.6
201801011200,53845.0,1.0,3.0,2.0,59.0,40.0,3.0,0.3,-15.2,30.1,1028.9,2.0,2.6,0.0,cma,171.0,109.5,36.6
201801011500,53845.0,1.0,3.0,2.0,64.0,340.0,2.0,-1.9,-15.7,33.9,1028.9,2.0,1.4,0.0,cma,0.0,109.5,36.6
201801011800,53845.0,1.0,3.0,2.0,60.0,290.0,1.0,-6.2,-15.2,48.9,1028.2,2.0,0.1,0.0,cma,88.0,109.5,36.6
201801012100,53845.0,1.0,3.0,2.0,61.0,290.0,1.0,-7.4,-14.9,55.0,1029.1,2.0,0.6,0.0,cma,178.0,109.5,36.6
201801020000,53845.0,1.0,3.0,2.0,61.0,0.0,0.0,-7.8,-14.4,59.1,1031.7,2.0,1.0,0.0,cma,113.0,109.5,36.6
201801020300,53845.0,1.0,3.0,2.0,61.0,360.0,2.0,-1.2,-14.4,35.9,1033.0,2.0,2.1,0.0,cma,131.0,109.5,36.6
201801020600,53845.0,1.0,3.0,2.0,74.0,40.0,4.0,2.3,-15.2,26.1,1030.4,7.0,2.4,0.0,cma,127.0,109.5,36.6
201801020900,53845.0,1.0,3.0,2.0,80.0,20.0,4.0,1.0,-17.3,24.0,1032.0,2.0,0.8,0.0,cma,146.0,109.5,36.6
201801021200,53845.0,1.0,3.0,2.0,72.0,40.0,4.0,-1.6,-15.4,34.0,1035.9,2.0,2.6,0.0,cma,141.0,109.5,36.6
201801021500,53845.0,1.0,3.0,2.0,76.0,20.0,2.0,-2.5,-14.9,37.9,1035.3,2.0,0.9,0.0,cma,40.0,109.5,36.6
