TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201901010000,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010100,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010200,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010300,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010400,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010500,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010600,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010700,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010800,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901010900,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901011000,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901011100,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901011200,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
201901011300,54857.0,1.0,3.0,2.0,80.0,320.0,5.0,15.1,-4.3,25.9,1020.2,7.0,2.1,0.0,cma,8.0
