TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
202101010000,54662.0,1.0,9.0,4.0,80.0,20.0,1.0,-5.6,-17.4,38.9,1027.2,2.0,0.7,2.0,cma,19.0
202101010100,54662.0,1.0,9.0,4.0,80.0,20.0,1.0,-5.6,-17.4,38.9,1027.2,2.0,0.7,2.0,cma,19.0
202101010200,54662.0,1.0,9.0,4.0,80.0,20.0,1.0,-5.6,-17.4,38.9,1027.2,2.0,0.7,2.0,cma,19.0
202101010300,54662.0,1.0,9.0,4.0,80.0,70.0,3.0,-4.2,-16.7,37.1,1026.9,7.0,0.2,2.0,cma,17.0
202101010400,54662.0,1.0,9.0,4.0,80.0,70.0,3.0,-4.2,-16.7,37.1,1026.9,7.0,0.2,2.0,cma,17.0
202101010500,54662.0,1.0,9.0,4.0,80.0,70.0,3.0,-4.2,-16.7,37.1,1026.9,7.0,0.2,2.0,cma,17.0
202101010600,54662.0,1.0,9.0,4.0,80.0,60.0,3.0,-3.4,-18.9,29.0,1025.6,7.0,1.3,2.0,cma,9.0
202101010700,54662.0,1.0,9.0,4.0,80.0,60.0,3.0,-3.4,-18.9,29.0,1025.6,7.0,1.3,2.0,cma,9.0
202101010800,54662.0,1.0,9.0,4.0,80.0,60.0,3.0,-3.4,-18.9,29.0,1025.6,7.0,1.3,2.0,cma,9.0
202101010900,54662.0,1.0,9.0,4.0,80.0,70.0,2.0,-3.8,-14.0,45.0,1026.0,2.0,0.4,2.0,cma,31.0
202101011000,54662.0,1.0,9.0,4.0,80.0,70.0,2.0,-3.8,-14.0,45.0,1026.0,2.0,0.4,2.0,cma,31.0
202101011100,54662.0,1.0,9.0,4.0,80.0,70.0,2.0,-3.8,-14.0,45.0,1026.0,2.0,0.4,2.0,cma,31.0
202101011200,54662.0,1.0,9.0,4.0,80.0,20.0,3.0,-5.0,-15.4,43.9,1027.9,2.0,1.8,2.0,cma,32.0
202101011300,54662.0,1.0,9.0,4.0,80.0,20.0,3.0,-5.0,-15.4,43.9,1027.9,2.0,1.8,2.0,cma,32.0
202101011400,54662.0,1.0,9.0,4.0,80.0,20.0,3.0,-5.0,-15.4,43.9,1027.9,2.0,1.8,2.0,cma,32.0
202101011500,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-6.3,-19.6,34.0,1029.4,2.0,1.5,2.0,cma,37.0
202101011600,54662.0,1.0,9.0,4.0,80.0,360.0,2.0,-6.3,-19.6,34.0,1029.4,2.0,1.5,2.0,cma,37.0
