TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
202101010000,54135.0,1.0,9.0,4.0,58.0,270.0,2.0,-18.5,-25.3,55.1,1029.4,2.0,0.5,2.0,cma,21.0
202101010100,54135.0,1.0,9.0,4.0,58.0,270.0,2.0,-18.5,-25.3,55.1,1029.4,2.0,0.5,2.0,cma,21.0
202101010200,54135.0,1.0,9.0,4.0,58.0,270.0,2.0,-18.5,-25.3,55.1,1029.4,2.0,0.5,2.0,cma,21.0
202101010300,54135.0,1.0,9.0,4.0,66.0,330.0,3.0,-14.7,-25.3,40.1,1029.2,7.0,0.1,2.0,cma,22.0
202101010400,54135.0,1.0,9.0,4.0,66.0,330.0,3.0,-14.7,-25.3,40.1,1029.2,7.0,0.1,2.0,cma,22.0
202101010500,54135.0,1.0,9.0,4.0,66.0,330.0,3.0,-14.7,-25.3,40.1,1029.2,7.0,0.1,2.0,cma,22.0
202101010600,54135.0,1.0,9.0,4.0,80.0,320.0,2.0,-13.4,-23.3,43.1,1028.2,7.0,1.0,2.0,cma,19.0
202101010700,54135.0,1.0,9.0,4.0,80.0,320.0,2.0,-13.4,-23.3,43.1,1028.2,7.0,1.0,2.0,cma,19.0
202101010800,54135.0,1.0,9.0,4.0,80.0,320.0,2.0,-13.4,-23.3,43.1,1028.2,7.0,1.0,2.0,cma,19.0
202101010900,54135.0,1.0,9.0,4.0,62.0,160.0,1.0,-16.5,-25.0,47.8,1029.7,2.0,1.2,2.0,cma,43.0
202101011000,54135.0,1.0,9.0,4.0,62.0,160.0,1.0,-16.5,-25.0,47.8,1029.7,2.0,1.2,2.0,cma,43.0
202101011100,54135.0,1.0,9.0,4.0,62.0,160.0,1.0,-16.5,-25.0,47.8,1029.7,2.0,1.2,2.0,cma,43.0
202101011200,54135.0,1.0,9.0,4.0,56.0,140.0,1.0,-19.5,-25.3,60.0,1030.6,2.0,0.8,2.0,cma,106.0
202101011300,54135.0,1.0,9.0,4.0,56.0,140.0,1.0,-19.5,-25.3,60.0,1030.6,2.0,0.8,2.0,cma,106.0
202101011400,54135.0,1.0,9.0,4.0,56.0,140.0,1.0,-19.5,-25.3,60.0,1030.6,2.0,0.8,2.0,cma,106.0
202101011500,54135.0,1.0,9.0,4.0,65.0,270.0,1.0,-18.2,-26.3,49.0,1031.2,2.0,0.8,2.0,cma,17.0
202101011600,54135.0,1.0,9.0,4.0,65.0,270.0,1.0,-18.2,-26.3,49.0,1031.2,2.0,0.8,2.0,cma,17.0
202101011700,54135.0,1.0,9.0,4.0,65.0,270.0,1.0,-18.2,-26.3,49.0,1031.2,2.0,0.8,2.0,cma,17.0
202101011800,54135.0,1.0,9.0,4.0,80.0,290.0,1.0,-19.2,-27.9,46.1,1031.5,2.0,0.3,2.0,cma,43.0
202101011900,54135.0,1.0,9.0,4.0,80.0,290.0,1.0,-19.2,-27.9,46.1,1031.5,2.0,0.3,2.0,cma,43.0
202101012000,54135.0,1.0,9.0,4.0,80.0,290.0,1.0,-19.2,-27.9,46.1,1031.5,2.0,0.3,2.0,cma,43.0
202101012100,54135.0,1.0,9.0,4.0,78.0,260.0,2.0,-22.1,-27.9,59.3,1031.5,7.0,0.2,2.0,cma,241.0
202101012200,54135.0,1.0,9.0,4.0,78.0,260.0,2.0,-22.1,-27.9,59.3,1031.5,7.0,0.2,2.0,cma,241.0
202101012300,54135.0,1.0,9.0,4.0,78.0,260.0,2.0,-22.1,-27.9,59.3,1031.5,7.0,0.2,2.0,cma,241.0
202101020000,54135.0,1.0,9.0,4.0,58.0,270.0,2.0,-22.6,-28.2,60.2,1032.6,2.0,0.9,2.0,cma,77.0
202101020100,54135.0,1.0,9.0,4.0,58.0,270.0,2.0,-22.6,-28.2,60.2,1032.6,2.0,0.9,2.0,cma,77.0
202101020200,54135.0,1.0,9.0,4.0,58.0,270.0,2.0,-22.6,-28.2,60.2,1032.6,2.0,0.9,2.0,cma,77.0
202101020300,54135.0,1.0,9.0,4.0,67.0,270.0,2.0,-16.4,-26.6,41.0,1032.6,2.0,0.3,2.0,cma,26.0
202101020400,54135.0,1.0,9.0,4.0,67.0,270.0,2.0,-16.4,-26.6,41.0,1032.6,2.0,0.3,2.0,cma,26.0
202101020500,54135.0,1.0,9.0,4.0,67.0,270.0,2.0,-16.4,-26.6,41.0,1032.6,2.0,0.3,2.0,cma,26.0
202101020600,54135.0,1.0,9.0,4.0,80.0,270.0,3.0,-13.5,-25.4,36.0,1031.7,7.0,0.8,2.0,cma,44.0
202101020700,54135.0,1.0,9.0,4.0,80.0,270.0,3.0,-13.5,-25.4,36.0,1031.7,7.0,0.8,2.0,cma,44.0
202101020800,54135.0,1.0,9.0,4.0,80.0,270.0,3.0,-13.5,-25.4,36.0,1031.7,7.0,0.8,2.0,cma,44.0
202101020900,54135.0,1.0,9.0,4.0,65.0,250.0,2.0,-14.6,-23.4,47.1,1033.0,2.0,1.1,2.0,cma,54.0
202101021000,54135.0,1.0,9.0,4.0,65.0,250.0,2.0,-14.6,-23.4,47.1,1033.0,2.0,1.1,2.0,cma,54.0
202101021100,54135.0,1.0,9.0,4.0,65.0,250.0,2.0,-14.6,-23.4,47.1,1033.0,2.0,1.1,2.0,cma,54.0
202101021200,54135.0,1.0,9.0,4.0,71.0,260.0,3.0,-16.1,-23.7,52.0,1033.2,2.0,0.1,2.0,cma,57.0
202101021300,54135.0,1.0,9.0,4.0,71.0,260.0,3.0,-16.1,-23.7,52.0,1033.2,2.0,0.1,2.0,cma,57.0
202101021400,54135.0,1.0,9.0,4.0,71.0,260.0,3.0,-16.1,-23.7,52.0,1033.2,2.0,0.1,2.0,cma,57.0
202101021500,54135.0,1.0,9.0,4.0,74.0,260.0,2.0,-17.1,-25.1,49.8,1033.8,2.0,0.8,2.0,cma,15.0
202101021600,54135.0,1.0,9.0,4.0,74.0,260.0,2.0,-17.1,-25.1,49.8,1033.8,2.0,0.8,2.0,cma,15.0
202101021700,54135.0,1.0,9.0,4.0,74.0,260.0,2.0,-17.1,-25.1,49.8,1033.8,2.0,0.8,2.0,cma,15.0
202101021800,54135.0,1.0,9.0,4.0,80.0,270.0,3.0,-17.6,-25.5,50.1,1033.6,4.0,0.0,2.0,cma,39.0
202101021900,54135.0,1.0,9.0,4.0,80.0,270.0,3.0,-17.6,-25.5,50.1,1033.6,4.0,0.0,2.0,cma,39.0
202101022000,54135.0,1.0,9.0,4.0,80.0,270.0,3.0,-17.6,-25.5,50.1,1033.6,4.0,0.0,2.0,cma,39.0
202101022100,54135.0,1.0,9.0,4.0,80.0,250.0,2.0,-20.6,-26.5,59.1,1034.5,2.0,0.6,2.0,cma,45.0
202101022200,54135.0,1.0,9.0,4.0,80.0,250.0,2.0,-20.6,-26.5,59.1,1034.5,2.0,0.6,2.0,cma,45.0
202101022300,54135.0,1.0,9.0,4.0,80.0,250.0,2.0,-20.6,-26.5,59.1,1034.5,2.0,0.6,2.0,cma,45.0
202101030000,54135.0,1.0,9.0,4.0,69.0,270.0,3.0,-19.6,-26.2,55.8,1034.3,7.0,0.2,2.0,cma,33.0
202101030100,54135.0,1.0,9.0,4.0,69.0,270.0,3.0,-19.6,-26.2,55.8,1034.3,7.0,0.2,2.0,cma,33.0
202101030200,54135.0,1.0,9.0,4.0,69.0,270.0,3.0,-19.6,-26.2,55.8,1034.3,7.0,0.2,2.0,cma,33.0
202101030300,54135.0,1.0,9.0,4.0,72.0,260.0,5.0,-14.3,-23.9,44.0,1034.4,2.0,0.3,2.0,cma,24.0
202101030400,54135.0,1.0,9.0,4.0,72.0,260.0,5.0,-14.3,-23.9,44.0,1034.4,2.0,0.3,2.0,cma,24.0
202101030500,54135.0,1.0,9.0,4.0,72.0,260.0,5.0,-14.3,-23.9,44.0,1034.4,2.0,0.3,2.0,cma,24.0
202101030600,54135.0,1.0,9.0,4.0,80.0,270.0,4.0,-12.4,-22.7,41.9,1033.2,7.0,1.1,2.0,cma,30.0
202101030700,54135.0,1.0,9.0,4.0,80.0,270.0,4.0,-12.4,-22.7,41.9,1033.2,7.0,1.1,2.0,cma,30.0
202101030800,54135.0,1.0,9.0,4.0,80.0,270.0,4.0,-12.4,-22.7,41.9,1033.2,7.0,1.1,2.0,cma,30.0
202101030900,54135.0,1.0,9.0,4.0,64.0,240.0,2.0,-14.3,-22.2,51.1,1033.7,2.0,0.3,2.0,cma,41.0
202101031000,54135.0,1.0,9.0,4.0,64.0,240.0,2.0,-14.3,-22.2,51.1,1033.7,2.0,0.3,2.0,cma,41.0
202101031100,54135.0,1.0,9.0,4.0,64.0,240.0,2.0,-14.3,-22.2,51.1,1033.7,2.0,0.3,2.0,cma,41.0
202101031200,54135.0,1.0,9.0,4.0,67.0,260.0,1.0,-15.8,-23.4,52.0,1033.7,4.0,0.0,2.0,cma,20.0
202101031300,54135.0,1.0,9.0,4.0,67.0,260.0,1.0,-15.8,-23.4,52.0,1033.7,4.0,0.0,2.0,cma,20.0
202101031400,54135.0,1.0,9.0,4.0,67.0,260.0,1.0,-15.8,-23.4,52.0,1033.7,4.0,0.0,2.0,cma,20.0
202101031500,54135.0,1.0,9.0,4.0,62.0,260.0,1.0,-18.7,-23.5,65.8,1033.7,2.0,0.1,2.0,cma,11.0
202101031600,54135.0,1.0,9.0,4.0,62.0,260.0,1.0,-18.7,-23.5,65.8,1033.7,2.0,0.1,2.0,cma,11.0
202101031700,54135.0,1.0,9.0,4.0,62.0,260.0,1.0,-18.7,-23.5,65.8,1033.7,2.0,0.1,2.0,cma,11.0
202101031800,54135.0,1.0,9.0,4.0,62.0,270.0,2.0,-19.1,-24.2,64.0,1034.2,2.0,0.5,2.0,cma,45.0
202101031900,54135.0,1.0,9.0,4.0,62.0,270.0,2.0,-19.1,-24.2,64.0,1034.2,2.0,0.5,2.0,cma,45.0
202101032000,54135.0,1.0,9.0,4.0,62.0,270.0,2.0,-19.1,-24.2,64.0,1034.2,2.0,0.5,2.0,cma,45.0
202101032100,54135.0,1.0,9.0,4.0,64.0,260.0,2.0,-20.4,-25.8,62.0,1033.6,7.0,0.7,2.0,cma,54.0
202101032200,54135.0,1.0,9.0,4.0,64.0,260.0,2.0,-20.4,-25.8,62.0,1033.6,7.0,0.7,2.0,cma,54.0
202101032300,54135.0,1.0,9.0,4.0,64.0,260.0,2.0,-20.4,-25.8,62.0,1033.6,7.0,0.7,2.0,cma,54.0
202101040000,54135.0,1.0,9.0,4.0,58.0,250.0,3.0,-22.5,-27.8,62.0,1034.2,2.0,0.4,2.0,cma,82.0
202101040100,54135.0,1.0,9.0,4.0,58.0,250.0,3.0,-22.5,-27.8,62.0,1034.2,2.0,0.4,2.0,cma,82.0
202101040200,54135.0,1.0,9.0,4.0,58.0,250.0,3.0,-22.5,-27.8,62.0,1034.2,2.0,0.4,2.0,cma,82.0
