TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
202101010000,53845.0,1.0,9.0,4.0,79.0,50.0,1.0,-15.6,-18.9,75.8,1037.0,7.0,0.1,2.0,cma,16.0
202101010100,53845.0,1.0,9.0,4.0,79.0,50.0,1.0,-15.6,-18.9,75.8,1037.0,7.0,0.1,2.0,cma,16.0
202101010200,53845.0,1.0,9.0,4.0,79.0,50.0,1.0,-15.6,-18.9,75.8,1037.0,7.0,0.1,2.0,cma,16.0
202101010300,53845.0,1.0,9.0,4.0,71.0,170.0,1.0,-5.0,-15.4,43.9,1034.2,7.0,0.2,2.0,cma,41.0
202101010400,53845.0,1.0,9.0,4.0,71.0,170.0,1.0,-5.0,-15.4,43.9,1034.2,7.0,0.2,2.0,cma,41.0
202101010500,53845.0,1.0,9.0,4.0,71.0,170.0,1.0,-5.0,-15.4,43.9,1034.2,7.0,0.2,2.0,cma,41.0
202101010600,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,1.9,-14.3,28.9,1030.1,7.0,2.4,2.0,cma,21.0
202101010700,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,1.9,-14.3,28.9,1030.1,7.0,2.4,2.0,cma,21.0
202101010800,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,1.9,-14.3,28.9,1030.1,7.0,2.4,2.0,cma,21.0
202101010900,53845.0,1.0,9.0,4.0,80.0,120.0,1.0,3.6,-15.6,23.0,1029.8,2.0,0.2,2.0,cma,25.0
202101011000,53845.0,1.0,9.0,4.0,80.0,120.0,1.0,3.6,-15.6,23.0,1029.8,2.0,0.2,2.0,cma,25.0
202101011100,53845.0,1.0,9.0,4.0,80.0,120.0,1.0,3.6,-15.6,23.0,1029.8,2.0,0.2,2.0,cma,25.0
202101011200,53845.0,1.0,9.0,4.0,80.0,30.0,0.0,-2.1,-14.2,39.0,1034.1,2.0,1.4,2.0,cma,53.0
202101011300,53845.0,1.0,9.0,4.0,80.0,30.0,0.0,-2.1,-14.2,39.0,1034.1,2.0,1.4,2.0,cma,53.0
202101011400,53845.0,1.0,9.0,4.0,80.0,30.0,0.0,-2.1,-14.2,39.0,1034.1,2.0,1.4,2.0,cma,53.0
202101011500,53845.0,1.0,9.0,4.0,77.0,350.0,1.0,-6.5,-13.4,58.0,1032.3,4.0,0.0,2.0,cma,49.0
202101011600,53845.0,1.0,9.0,4.0,77.0,350.0,1.0,-6.5,-13.4,58.0,1032.3,4.0,0.0,2.0,cma,49.0
202101011700,53845.0,1.0,9.0,4.0,77.0,350.0,1.0,-6.5,-13.4,58.0,1032.3,4.0,0.0,2.0,cma,49.0
202101011800,53845.0,1.0,9.0,4.0,80.0,100.0,1.0,-9.9,-13.8,73.1,1030.9,7.0,0.3,2.0,cma,34.0
202101011900,53845.0,1.0,9.0,4.0,80.0,100.0,1.0,-9.9,-13.8,73.1,1030.9,7.0,0.3,2.0,cma,34.0
202101012000,53845.0,1.0,9.0,4.0,80.0,100.0,1.0,-9.9,-13.8,73.1,1030.9,7.0,0.3,2.0,cma,34.0
202101012100,53845.0,1.0,9.0,4.0,80.0,270.0,1.0,-11.7,-14.8,77.7,1030.3,7.0,0.6,2.0,cma,53.0
202101012200,53845.0,1.0,9.0,4.0,80.0,270.0,1.0,-11.7,-14.8,77.7,1030.3,7.0,0.6,2.0,cma,53.0
202101012300,53845.0,1.0,9.0,4.0,80.0,270.0,1.0,-11.7,-14.8,77.7,1030.3,7.0,0.6,2.0,cma,53.0
202101020000,53845.0,1.0,9.0,4.0,80.0,30.0,1.0,-13.5,-15.6,84.1,1033.0,2.0,0.5,2.0,cma,41.0
202101020100,53845.0,1.0,9.0,4.0,80.0,30.0,1.0,-13.5,-15.6,84.1,1033.0,2.0,0.5,2.0,cma,41.0
202101020200,53845.0,1.0,9.0,4.0,80.0,30.0,1.0,-13.5,-15.6,84.1,1033.0,2.0,0.5,2.0,cma,41.0
202101020300,53845.0,1.0,9.0,4.0,69.0,40.0,2.0,-7.4,-13.2,63.2,1033.6,2.0,1.0,2.0,cma,27.0
202101020400,53845.0,1.0,9.0,4.0,69.0,40.0,2.0,-7.4,-13.2,63.2,1033.6,2.0,1.0,2.0,cma,27.0
202101020500,53845.0,1.0,9.0,4.0,69.0,40.0,2.0,-7.4,-13.2,63.2,1033.6,2.0,1.0,2.0,cma,27.0
202101020600,53845.0,1.0,9.0,4.0,80.0,40.0,4.0,0.2,-14.2,32.9,1030.0,7.0,2.1,2.0,cma,18.0
202101020700,53845.0,1.0,9.0,4.0,80.0,40.0,4.0,0.2,-14.2,32.9,1030.0,7.0,2.1,2.0,cma,18.0
202101020800,53845.0,1.0,9.0,4.0,80.0,40.0,4.0,0.2,-14.2,32.9,1030.0,7.0,2.1,2.0,cma,18.0
202101020900,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,1.2,-13.7,31.9,1031.5,2.0,1.1,2.0,cma,22.0
202101021000,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,1.2,-13.7,31.9,1031.5,2.0,1.1,2.0,cma,22.0
202101021100,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,1.2,-13.7,31.9,1031.5,2.0,1.1,2.0,cma,22.0
202101021200,53845.0,1.0,9.0,4.0,80.0,30.0,2.0,-2.9,-12.6,47.1,1036.6,2.0,2.9,2.0,cma,61.0
202101021300,53845.0,1.0,9.0,4.0,80.0,30.0,2.0,-2.9,-12.6,47.1,1036.6,2.0,2.9,2.0,cma,61.0
202101021400,53845.0,1.0,9.0,4.0,80.0,30.0,2.0,-2.9,-12.6,47.1,1036.6,2.0,2.9,2.0,cma,61.0
202101021500,53845.0,1.0,9.0,4.0,73.0,30.0,1.0,-5.9,-12.4,60.0,1036.8,2.0,1.0,2.0,cma,38.0
202101021600,53845.0,1.0,9.0,4.0,73.0,30.0,1.0,-5.9,-12.4,60.0,1036.8,2.0,1.0,2.0,cma,38.0
202101021700,53845.0,1.0,9.0,4.0,73.0,30.0,1.0,-5.9,-12.4,60.0,1036.8,2.0,1.0,2.0,cma,38.0
202101021800,53845.0,1.0,9.0,4.0,76.0,340.0,1.0,-8.3,-12.8,70.0,1035.4,4.0,0.0,2.0,cma,40.0
202101021900,53845.0,1.0,9.0,4.0,76.0,340.0,1.0,-8.3,-12.8,70.0,1035.4,4.0,0.0,2.0,cma,40.0
202101022000,53845.0,1.0,9.0,4.0,76.0,340.0,1.0,-8.3,-12.8,70.0,1035.4,4.0,0.0,2.0,cma,40.0
202101022100,53845.0,1.0,9.0,4.0,80.0,40.0,1.0,-8.4,-12.7,71.1,1035.2,2.0,0.1,2.0,cma,52.0
202101022200,53845.0,1.0,9.0,4.0,80.0,40.0,1.0,-8.4,-12.7,71.1,1035.2,2.0,0.1,2.0,cma,52.0
202101022300,53845.0,1.0,9.0,4.0,80.0,40.0,1.0,-8.4,-12.7,71.1,1035.2,2.0,0.1,2.0,cma,52.0
202101030000,53845.0,1.0,9.0,4.0,80.0,210.0,1.0,-8.5,-13.0,69.9,1034.8,7.0,1.4,2.0,cma,47.0
202101030100,53845.0,1.0,9.0,4.0,80.0,210.0,1.0,-8.5,-13.0,69.9,1034.8,7.0,1.4,2.0,cma,47.0
202101030200,53845.0,1.0,9.0,4.0,80.0,210.0,1.0,-8.5,-13.0,69.9,1034.8,7.0,1.4,2.0,cma,47.0
202101030300,53845.0,1.0,9.0,4.0,68.0,40.0,2.0,-4.0,-11.5,55.9,1034.5,2.0,0.1,2.0,cma,32.0
202101030400,53845.0,1.0,9.0,4.0,68.0,40.0,2.0,-4.0,-11.5,55.9,1034.5,2.0,0.1,2.0,cma,32.0
202101030500,53845.0,1.0,9.0,4.0,68.0,40.0,2.0,-4.0,-11.5,55.9,1034.5,2.0,0.1,2.0,cma,32.0
202101030600,53845.0,1.0,9.0,4.0,80.0,80.0,2.0,3.2,-14.0,27.0,1028.6,7.0,3.9,2.0,cma,28.0
202101030700,53845.0,1.0,9.0,4.0,80.0,80.0,2.0,3.2,-14.0,27.0,1028.6,7.0,3.9,2.0,cma,28.0
202101030800,53845.0,1.0,9.0,4.0,80.0,80.0,2.0,3.2,-14.0,27.0,1028.6,7.0,3.9,2.0,cma,28.0
202101030900,53845.0,1.0,9.0,4.0,80.0,70.0,3.0,2.5,-12.9,31.0,1028.4,7.0,0.4,2.0,cma,23.0
202101031000,53845.0,1.0,9.0,4.0,80.0,70.0,3.0,2.5,-12.9,31.0,1028.4,7.0,0.4,2.0,cma,23.0
202101031100,53845.0,1.0,9.0,4.0,80.0,70.0,3.0,2.5,-12.9,31.0,1028.4,7.0,0.4,2.0,cma,23.0
202101031200,53845.0,1.0,9.0,4.0,76.0,50.0,1.0,-1.9,-12.8,43.1,1031.4,2.0,1.5,2.0,cma,67.0
202101031300,53845.0,1.0,9.0,4.0,76.0,50.0,1.0,-1.9,-12.8,43.1,1031.4,2.0,1.5,2.0,cma,67.0
202101031400,53845.0,1.0,9.0,4.0,76.0,50.0,1.0,-1.9,-12.8,43.1,1031.4,2.0,1.5,2.0,cma,67.0
202101031500,53845.0,1.0,9.0,4.0,80.0,300.0,1.0,-5.3,-12.9,55.1,1032.6,2.0,1.3,2.0,cma,21.0
202101031600,53845.0,1.0,9.0,4.0,80.0,300.0,1.0,-5.3,-12.9,55.1,1032.6,2.0,1.3,2.0,cma,21.0
202101031700,53845.0,1.0,9.0,4.0,80.0,300.0,1.0,-5.3,-12.9,55.1,1032.6,2.0,1.3,2.0,cma,21.0
202101031800,53845.0,1.0,9.0,4.0,75.0,60.0,1.0,-8.2,-12.5,71.1,1031.4,4.0,0.0,2.0,cma,49.0
202101031900,53845.0,1.0,9.0,4.0,75.0,60.0,1.0,-8.2,-12.5,71.1,1031.4,4.0,0.0,2.0,cma,49.0
202101032000,53845.0,1.0,9.0,4.0,75.0,60.0,1.0,-8.2,-12.5,71.1,1031.4,4.0,0.0,2.0,cma,49.0
202101032100,53845.0,1.0,9.0,4.0,80.0,350.0,1.0,-9.4,-13.3,73.2,1032.9,2.0,0.9,2.0,cma,45.0
202101032200,53845.0,1.0,9.0,4.0,80.0,350.0,1.0,-9.4,-13.3,73.2,1032.9,2.0,0.9,2.0,cma,45.0
202101032300,53845.0,1.0,9.0,4.0,80.0,350.0,1.0,-9.4,-13.3,73.2,1032.9,2.0,0.9,2.0,cma,45.0
202101040000,53845.0,1.0,9.0,4.0,80.0,350.0,2.0,-9.4,-14.4,66.9,1035.8,2.0,1.4,2.0,cma,53.0
202101040100,53845.0,1.0,9.0,4.0,80.0,350.0,2.0,-9.4,-14.4,66.9,1035.8,2.0,1.4,2.0,cma,53.0
202101040200,53845.0,1.0,9.0,4.0,80.0,350.0,2.0,-9.4,-14.4,66.9,1035.8,2.0,1.4,2.0,cma,53.0
202101040300,53845.0,1.0,9.0,4.0,80.0,20.0,2.0,-5.0,-14.3,48.0,1036.8,2.0,1.1,2.0,cma,37.0
202101040400,53845.0,1.0,9.0,4.0,80.0,20.0,2.0,-5.0,-14.3,48.0,1036.8,2.0,1.1,2.0,cma,37.0
202101040500,53845.0,1.0,9.0,4.0,80.0,20.0,2.0,-5.0,-14.3,48.0,1036.8,2.0,1.1,2.0,cma,37.0
202101040600,53845.0,1.0,9.0,4.0,80.0,40.0,2.0,-1.9,-14.3,38.1,1033.6,7.0,2.7,2.0,cma,31.0
202101040700,53845.0,1.0,9.0,4.0,80.0,40.0,2.0,-1.9,-14.3,38.1,1033.6,7.0,2.7,2.0,cma,31.0
202101040800,53845.0,1.0,9.0,4.0,80.0,40.0,2.0,-1.9,-14.3,38.1,1033.6,7.0,2.7,2.0,cma,31.0
202101040900,53845.0,1.0,9.0,4.0,80.0,70.0,4.0,-2.7,-15.1,37.9,1035.2,2.0,0.9,2.0,cma,29.0
202101041000,53845.0,1.0,9.0,4.0,80.0,70.0,4.0,-2.7,-15.1,37.9,1035.2,2.0,0.9,2.0,cma,29.0
202101041100,53845.0,1.0,9.0,4.0,80.0,70.0,4.0,-2.7,-15.1,37.9,1035.2,2.0,0.9,2.0,cma,29.0
202101041200,53845.0,1.0,9.0,4.0,80.0,30.0,4.0,-5.5,-15.6,44.8,1039.0,2.0,2.6,2.0,cma,25.0
202101041300,53845.0,1.0,9.0,4.0,80.0,30.0,4.0,-5.5,-15.6,44.8,1039.0,2.0,2.6,2.0,cma,25.0
202101041400,53845.0,1.0,9.0,4.0,80.0,30.0,4.0,-5.5,-15.6,44.8,1039.0,2.0,2.6,2.0,cma,25.0
202101041500,53845.0,1.0,9.0,4.0,80.0,320.0,3.0,-7.2,-16.1,49.0,1039.2,2.0,0.8,2.0,cma,8.0
202101041600,53845.0,1.0,9.0,4.0,80.0,320.0,3.0,-7.2,-16.1,49.0,1039.2,2.0,0.8,2.0,cma,8.0
202101041700,53845.0,1.0,9.0,4.0,80.0,320.0,3.0,-7.2,-16.1,49.0,1039.2,2.0,0.8,2.0,cma,8.0
202101041800,53845.0,1.0,9.0,4.0,80.0,360.0,2.0,-10.4,-15.7,65.1,1039.8,2.0,0.5,2.0,cma,15.0
202101041900,53845.0,1.0,9.0,4.0,80.0,360.0,2.0,-10.4,-15.7,65.1,1039.8,2.0,0.5,2.0,cma,15.0
202101042000,53845.0,1.0,9.0,4.0,80.0,360.0,2.0,-10.4,-15.7,65.1,1039.8,2.0,0.5,2.0,cma,15.0
202101042100,53845.0,1.0,9.0,4.0,80.0,220.0,1.0,-12.0,-16.4,69.7,1041.1,2.0,0.5,2.0,cma,23.0
202101042200,53845.0,1.0,9.0,4.0,80.0,220.0,1.0,-12.0,-16.4,69.7,1041.1,2.0,0.5,2.0,cma,23.0
202101042300,53845.0,1.0,9.0,4.0,80.0,220.0,1.0,-12.0,-16.4,69.7,1041.1,2.0,0.5,2.0,cma,23.0
202101050000,53845.0,1.0,9.0,4.0,76.0,350.0,1.0,-14.4,-16.9,81.3,1044.7,2.0,1.8,2.0,cma,15.0
202101050100,53845.0,1.0,9.0,4.0,76.0,350.0,1.0,-14.4,-16.9,81.3,1044.7,2.0,1.8,2.0,cma,15.0
202101050200,53845.0,1.0,9.0,4.0,76.0,350.0,1.0,-14.4,-16.9,81.3,1044.7,2.0,1.8,2.0,cma,15.0
202101050300,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,-8.5,-18.0,46.2,1042.7,7.0,0.7,2.0,cma,22.0
202101050400,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,-8.5,-18.0,46.2,1042.7,7.0,0.7,2.0,cma,22.0
202101050500,53845.0,1.0,9.0,4.0,80.0,70.0,2.0,-8.5,-18.0,46.2,1042.7,7.0,0.7,2.0,cma,22.0
202101050600,53845.0,1.0,9.0,4.0,80.0,10.0,2.0,-4.5,-18.0,34.0,1038.1,7.0,3.7,2.0,cma,17.0
202101050700,53845.0,1.0,9.0,4.0,80.0,10.0,2.0,-4.5,-18.0,34.0,1038.1,7.0,3.7,2.0,cma,17.0
202101050800,53845.0,1.0,9.0,4.0,80.0,10.0,2.0,-4.5,-18.0,34.0,1038.1,7.0,3.7,2.0,cma,17.0
202101050900,53845.0,1.0,9.0,4.0,80.0,30.0,1.0,-3.6,-18.7,29.9,1037.5,7.0,0.7,2.0,cma,24.0
202101051000,53845.0,1.0,9.0,4.0,80.0,30.0,1.0,-3.6,-18.7,29.9,1037.5,7.0,0.7,2.0,cma,24.0
202101051100,53845.0,1.0,9.0,4.0,80.0,30.0,1.0,-3.6,-18.7,29.9,1037.5,7.0,0.7,2.0,cma,24.0
202101051200,53845.0,1.0,9.0,4.0,75.0,20.0,1.0,-7.0,-16.2,47.8,1040.3,2.0,0.9,2.0,cma,11.0
202101051300,53845.0,1.0,9.0,4.0,75.0,20.0,1.0,-7.0,-16.2,47.8,1040.3,2.0,0.9,2.0,cma,11.0
202101051400,53845.0,1.0,9.0,4.0,75.0,20.0,1.0,-7.0,-16.2,47.8,1040.3,2.0,0.9,2.0,cma,11.0
202101051500,53845.0,1.0,9.0,4.0,80.0,240.0,1.0,-10.8,-17.9,55.8,1038.8,7.0,0.7,2.0,cma,10.0
202101051600,53845.0,1.0,9.0,4.0,80.0,240.0,1.0,-10.8,-17.9,55.8,1038.8,7.0,0.7,2.0,cma,10.0
202101051700,53845.0,1.0,9.0,4.0,80.0,240.0,1.0,-10.8,-17.9,55.8,1038.8,7.0,0.7,2.0,cma,10.0
202101051800,53845.0,1.0,9.0,4.0,80.0,260.0,1.0,-10.7,-20.3,45.1,1037.7,2.0,0.1,2.0,cma,17.0
202101051900,53845.0,1.0,9.0,4.0,80.0,260.0,1.0,-10.7,-20.3,45.1,1037.7,2.0,0.1,2.0,cma,17.0
202101052000,53845.0,1.0,9.0,4.0,80.0,260.0,1.0,-10.7,-20.3,45.1,1037.7,2.0,0.1,2.0,cma,17.0
202101052100,53845.0,1.0,9.0,4.0,80.0,350.0,4.0,-12.4,-24.1,37.0,1038.2,2.0,0.2,2.0,cma,30.0
202101052200,53845.0,1.0,9.0,4.0,80.0,350.0,4.0,-12.4,-24.1,37.0,1038.2,2.0,0.2,2.0,cma,30.0
202101052300,53845.0,1.0,9.0,4.0,80.0,350.0,4.0,-12.4,-24.1,37.0,1038.2,2.0,0.2,2.0,cma,30.0
202101060000,53845.0,1.0,9.0,4.0,80.0,360.0,5.0,-14.5,-26.9,34.1,1042.2,2.0,2.0,2.0,cma,15.0
202101060100,53845.0,1.0,9.0,4.0,80.0,360.0,5.0,-14.5,-26.9,34.1,1042.2,2.0,2.0,2.0,cma,15.0
202101060200,53845.0,1.0,9.0,4.0,80.0,360.0,5.0,-14.5,-26.9,34.1,1042.2,2.0,2.0,2.0,cma,15.0
202101060300,53845.0,1.0,9.0,4.0,80.0,20.0,4.0,-12.8,-25.1,34.9,1044.3,2.0,1.3,2.0,cma,13.0
202101060400,53845.0,1.0,9.0,4.0,80.0,20.0,4.0,-12.8,-25.1,34.9,1044.3,2.0,1.3,2.0,cma,13.0
202101060500,53845.0,1.0,9.0,4.0,80.0,20.0,4.0,-12.8,-25.1,34.9,1044.3,2.0,1.3,2.0,cma,13.0
202101060600,53845.0,1.0,9.0,4.0,80.0,320.0,5.0,-12.0,-27.2,27.1,1041.9,7.0,1.8,2.0,cma,18.0
202101060700,53845.0,1.0,9.0,4.0,80.0,320.0,5.0,-12.0,-27.2,27.1,1041.9,7.0,1.8,2.0,cma,18.0
202101060800,53845.0,1.0,9.0,4.0,80.0,320.0,5.0,-12.0,-27.2,27.1,1041.9,7.0,1.8,2.0,cma,18.0
202101060900,53845.0,1.0,9.0,4.0,80.0,10.0,4.0,-13.3,-27.6,29.0,1043.8,2.0,0.8,2.0,cma,35.0
202101061000,53845.0,1.0,9.0,4.0,80.0,10.0,4.0,-13.3,-27.6,29.0,1043.8,2.0,0.8,2.0,cma,35.0
202101061100,53845.0,1.0,9.0,4.0,80.0,10.0,4.0,-13.3,-27.6,29.0,1043.8,2.0,0.8,2.0,cma,35.0
202101061200,53845.0,1.0,9.0,4.0,80.0,350.0,4.0,-15.7,-28.7,31.9,1047.7,2.0,2.2,2.0,cma,56.0
202101061300,53845.0,1.0,9.0,4.0,80.0,350.0,4.0,-15.7,-28.7,31.9,1047.7,2.0,2.2,2.0,cma,56.0
202101061400,53845.0,1.0,9.0,4.0,80.0,350.0,4.0,-15.7,-28.7,31.9,1047.7,2.0,2.2,2.0,cma,56.0
202101061500,53845.0,1.0,9.0,4.0,80.0,10.0,4.0,-17.7,-30.1,33.0,1049.2,2.0,1.2,2.0,cma,60.0
202101061600,53845.0,1.0,9.0,4.0,80.0,10.0,4.0,-17.7,-30.1,33.0,1049.2,2.0,1.2,2.0,cma,60.0
202101061700,53845.0,1.0,9.0,4.0,80.0,10.0,4.0,-17.7,-30.1,33.0,1049.2,2.0,1.2,2.0,cma,60.0
202101061800,53845.0,1.0,9.0,4.0,80.0,20.0,4.0,-19.7,-31.6,34.0,1049.7,2.0,0.1,2.0,cma,71.0
202101061900,53845.0,1.0,9.0,4.0,80.0,20.0,4.0,-19.7,-31.6,34.0,1049.7,2.0,0.1,2.0,cma,71.0
202101062000,53845.0,1.0,9.0,4.0,80.0,20.0,4.0,-19.7,-31.6,34.0,1049.7,2.0,0.1,2.0,cma,71.0
202101062100,53845.0,1.0,9.0,4.0,80.0,10.0,2.0,-21.2,-32.6,35.1,1049.5,7.0,0.9,2.0,cma,52.0
202101062200,53845.0,1.0,9.0,4.0,80.0,10.0,2.0,-21.2,-32.6,35.1,1049.5,7.0,0.9,2.0,cma,52.0
