TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201801010000,54218.0,1.0,3.0,2.0,60.0,40.0,1.0,-16.4,-24.4,50.0,1033.9,2.0,0.8,0.0,cma,14.0
201801010100,54218.0,1.0,3.0,2.0,60.0,40.0,1.0,-16.4,-24.4,50.0,1033.9,2.0,0.8,0.0,cma,14.0
201801010200,54218.0,1.0,3.0,2.0,60.0,40.0,1.0,-16.4,-24.4,50.0,1033.9,2.0,0.8,0.0,cma,14.0
201801010300,54218.0,1.0,3.0,2.0,67.0,20.0,1.0,-8.3,-22.4,31.1,1033.4,2.0,0.3,0.0,cma,7.0
201801010400,54218.0,1.0,3.0,2.0,67.0,20.0,1.0,-8.3,-22.4,31.1,1033.4,2.0,0.3,0.0,cma,7.0
201801010500,54218.0,1.0,3.0,2.0,67.0,20.0,1.0,-8.3,-22.4,31.1,1033.4,2.0,0.3,0.0,cma,7.0
201801010600,54218.0,1.0,3.0,2.0,80.0,140.0,2.0,-5.8,-22.2,26.1,1030.9,7.0,1.9,0.0,cma,11.0
201801010700,54218.0,1.0,3.0,2.0,80.0,140.0,2.0,-5.8,-22.2,26.1,1030.9,7.0,1.9,0.0,cma,11.0
201801010800,54218.0,1.0,3.0,2.0,80.0,140.0,2.0,-5.8,-22.2,26.1,1030.9,7.0,1.9,0.0,cma,11.0
201801010900,54218.0,1.0,3.0,2.0,58.0,40.0,1.0,-7.5,-22.1,30.0,1032.8,2.0,0.9,0.0,cma,73.0
201801011000,54218.0,1.0,3.0,2.0,58.0,40.0,1.0,-7.5,-22.1,30.0,1032.8,2.0,0.9,0.0,cma,73.0
201801011100,54218.0,1.0,3.0,2.0,58.0,40.0,1.0,-7.5,-22.1,30.0,1032.8,2.0,0.9,0.0,cma,73.0
201801011200,54218.0,1.0,3.0,2.0,69.0,340.0,2.0,-12.6,-22.6,43.0,1036.2,2.0,2.2,0.0,cma,11.0
201801011300,54218.0,1.0,3.0,2.0,69.0,340.0,2.0,-12.6,-22.6,43.0,1036.2,2.0,2.2,0.0,cma,11.0
201801011400,54218.0,1.0,3.0,2.0,69.0,340.0,2.0,-12.6,-22.6,43.0,1036.2,2.0,2.2,0.0,cma,11.0
201801011500,54218.0,1.0,3.0,2.0,78.0,320.0,2.0,-14.6,-23.0,48.8,1036.5,2.0,1.2,0.0,cma,17.0
201801011600,54218.0,1.0,3.0,2.0,78.0,320.0,2.0,-14.6,-23.0,48.8,1036.5,2.0,1.2,0.0,cma,17.0
201801011700,54218.0,1.0,3.0,2.0,78.0,320.0,2.0,-14.6,-23.0,48.8,1036.5,2.0,1.2,0.0,cma,17.0
201801011800,54218.0,1.0,3.0,2.0,70.0,320.0,1.0,-17.1,-23.8,56.0,1037.1,2.0,0.6,0.0,cma,49.0
201801011900,54218.0,1.0,3.0,2.0,70.0,320.0,1.0,-17.1,-23.8,56.0,1037.1,2.0,0.6,0.0,cma,49.0
201801012000,54218.0,1.0,3.0,2.0,70.0,320.0,1.0,-17.1,-23.8,56.0,1037.1,2.0,0.6,0.0,cma,49.0
201801012100,54218.0,1.0,3.0,2.0,80.0,270.0,2.0,-17.3,-24.0,55.9,1037.6,2.0,0.1,0.0,cma,29.0
201801012200,54218.0,1.0,3.0,2.0,80.0,270.0,2.0,-17.3,-24.0,55.9,1037.6,2.0,0.1,0.0,cma,29.0
201801012300,54218.0,1.0,3.0,2.0,80.0,270.0,2.0,-17.3,-24.0,55.9,1037.6,2.0,0.1,0.0,cma,29.0
201801020000,54218.0,1.0,3.0,2.0,61.0,220.0,1.0,-18.3,-24.5,58.2,1040.5,2.0,1.7,0.0,cma,46.0
201801020100,54218.0,1.0,3.0,2.0,61.0,220.0,1.0,-18.3,-24.5,58.2,1040.5,2.0,1.7,0.0,cma,46.0
201801020200,54218.0,1.0,3.0,2.0,61.0,220.0,1.0,-18.3,-24.5,58.2,1040.5,2.0,1.7,0.0,cma,46.0
201801020300,54218.0,1.0,3.0,2.0,80.0,290.0,5.0,-8.7,-24.3,27.1,1039.6,2.0,0.4,0.0,cma,26.0
201801020400,54218.0,1.0,3.0,2.0,80.0,290.0,5.0,-8.7,-24.3,27.1,1039.6,2.0,0.4,0.0,cma,26.0
201801020500,54218.0,1.0,3.0,2.0,80.0,290.0,5.0,-8.7,-24.3,27.1,1039.6,2.0,0.4,0.0,cma,26.0
201801020600,54218.0,1.0,3.0,2.0,80.0,320.0,8.0,-5.6,-26.2,18.0,1038.1,7.0,1.3,0.0,cma,23.0
201801020700,54218.0,1.0,3.0,2.0,80.0,320.0,8.0,-5.6,-26.2,18.0,1038.1,7.0,1.3,0.0,cma,23.0
201801020800,54218.0,1.0,3.0,2.0,80.0,320.0,8.0,-5.6,-26.2,18.0,1038.1,7.0,1.3,0.0,cma,23.0
201801020900,54218.0,1.0,3.0,2.0,80.0,340.0,4.0,-8.7,-26.6,22.0,1039.2,2.0,0.5,0.0,cma,44.0
201801021000,54218.0,1.0,3.0,2.0,80.0,340.0,4.0,-8.7,-26.6,22.0,1039.2,2.0,0.5,0.0,cma,44.0
201801021100,54218.0,1.0,3.0,2.0,80.0,340.0,4.0,-8.7,-26.6,22.0,1039.2,2.0,0.5,0.0,cma,44.0
201801021200,54218.0,1.0,3.0,2.0,80.0,320.0,2.0,-11.9,-26.4,28.9,1042.8,2.0,2.6,0.0,cma,29.0
201801021300,54218.0,1.0,3.0,2.0,80.0,320.0,2.0,-11.9,-26.4,28.9,1042.8,2.0,2.6,0.0,cma,29.0
201801021400,54218.0,1.0,3.0,2.0,80.0,320.0,2.0,-11.9,-26.4,28.9,1042.8,2.0,2.6,0.0,cma,29.0
201801021500,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-12.6,-24.6,36.0,1041.8,2.0,0.5,0.0,cma,0.0
201801021600,54218.0,1.0,3.0,2.0,80.0,320.0,3.0,-12.6,-24.6,36.0,1041.8,2.0,0.5,0.0,cma,0.0
