TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201801020000,136.0,46.0,136,32,1.0,-9,-9.0,-9,1010.6,1028.6,2,0.4,-3.1,-9.9,59.0,2.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1242,-9.0,-9.0,-9,-5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201801020100,136.0,44.0,136,32,1.3,-9,-9.0,-9,1010.8,1028.7,-9,-9.0,-2.4,-9.5,58.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,0,-9,-,-9,-9,-9,1300,-9.0,-9.0,-9,-6.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201801020200,136.0,58.0,136,0,0.4,-9,-9.0,-9,1011.0,1029.1,-9,-9.0,-4.0,-9.6,65.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,0,-9,-,-9,-9,-9,1171,-9.0,-9.0,-9,-6.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201801020300,136.0,59.0,136,34,0.5,-9,-9.0,-9,1010.9,1029.0,0,0.4,-4.2,-9.4,67.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1132,-9.0,-9.0,-9,-7.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201801020400,136.0,40.0,136,0,0.0,-9,-9.0,-9,1010.5,1028.6,-9,-9.0,-4.7,-9.3,70.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1012,-9.0,-9.0,-9,-7.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201801020500,136.0,51.0,136,0,0.2,-9,-9.0,-9,1010.4,1028.5,-9,-9.0,-5.5,-9.0,76.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,894,-9.0,-9.0,-9,-7.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020600,136.0,49.0,136,34,0.9,-9,-9.0,-9,1010.6,1028.8,5,-0.2,-6.5,-9.5,79.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,828,-9.0,-9.0,-9,-8.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020700,136.0,51.0,136,32,0.6,-9,-9.0,-9,1010.8,1029.0,-9,-9.0,-6.8,-9.9,78.0,2.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,832,-9.0,-9.0,-9,-8.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020800,136.0,49.0,136,32,1.2,-9,-9.0,-9,1010.9,1029.1,-9,-9.0,-5.7,-9.4,75.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,855,0.0,0.01,-9,-7.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
201801020900,136.0,59.0,136,32,1.0,-9,-9.0,-9,1011.0,1029.0,0,0.2,-3.8,-8.1,72.0,3.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,4019,0,0,-9,-,-9,-9,-9,784,0.8,0.3,-9,-5.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
