TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201801020000,136.0,32.0,1.0,1010.6,1028.6,-3.1,-9.9,59.0,2.9,-,0.0,0.0,-,1242.0,-5.8,3.0,46.0
201801020300,136.0,34.0,0.5,1010.9,1029.0,-4.2,-9.4,67.0,3.0,-,0.0,0.0,-,1132.0,-7.1,3.0,59.0
201801020400,136.0,0.0,0.0,1010.5,1028.6,-4.7,-9.3,70.0,3.0,-,0.0,0.0,-,1012.0,-7.5,3.0,40.0
201801020600,136.0,34.0,0.9,1010.6,1028.8,-6.5,-9.5,79.0,3.0,19,0.0,0.0,-,828.0,-8.0,3.0,49.0
201801020700,136.0,32.0,0.6,1010.8,1029.0,-6.8,-9.9,78.0,2.9,19,0.0,0.0,-,832.0,-8.0,3.0,51.0
201801020800,136.0,32.0,1.2,1010.9,1029.1,-5.7,-9.4,75.0,3.0,19,0.0,0.0,-,855.0,-7.6,3.0,49.0
201801020900,136.0,32.0,1.0,1011.0,1029.0,-3.8,-8.1,72.0,3.3,4019,0.0,0.0,-,784.0,-5.2,3.0,59.0
201801021000,136.0,32.0,0.7,1010.8,1028.6,-1.0,-6.9,64.0,3.6,40,0.0,0.0,-,934.0,-1.1,3.0,48.0
201801021100,136.0,27.0,1.3,1010.6,1028.3,0.9,-6.2,59.0,3.8,40,0.0,0.0,-,1084.0,0.4,3.0,48.0
201801021200,136.0,29.0,3.2,1009.9,1027.4,3.6,-5.1,53.0,4.2,40,0.0,0.0,-,1036.0,2.2,3.0,44.0
201801021300,136.0,29.0,5.3,1008.6,1026.0,4.8,-5.3,48.0,4.1,40,4.0,4.0,Sc,771.0,4.2,3.0,52.0
201801021400,136.0,29.0,4.7,1008.2,1025.6,5.1,-5.0,48.0,4.2,40,4.0,4.0,Sc,653.0,4.7,3.0,76.0
201801021500,136.0,29.0,3.0,1008.1,1025.5,4.8,-5.3,48.0,4.1,40,7.0,7.0,Sc,637.0,3.0,3.0,79.0
201801021600,136.0,29.0,3.9,1008.1,1025.5,3.9,-5.8,49.0,4.0,40,4.0,4.0,Sc,585.0,1.5,3.0,84.0
201801021700,136.0,29.0,3.7,1008.7,1026.2,2.9,-8.7,42.0,3.2,40,0.0,0.0,-,777.0,-0.1,3.0,75.0
201801021800,136.0,29.0,3.7,1009.5,1027.1,1.8,-8.0,48.0,3.3,40,0.0,0.0,-,839.0,-0.4,3.0,62.0
201801022100,136.0,27.0,1.2,1008.0,1025.7,0.3,-12.7,37.0,2.3,-,7.0,0.0,Ci,1712.0,-1.7,3.0,30.0
201801030000,136.0,29.0,3.2,1009.3,1027.1,-0.3,-16.6,28.0,1.7,-,7.0,0.0,Ci,2000.0,-2.1,3.0,9.0
