TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201801020000,143.0,34.0,1.1,1021.9,1028.8,-1.2,-9.5,53.0,3.0,-,0.0,0.0,-,1586.0,-3.0,3.0,50.0
201801020300,143.0,0.0,0.4,1022.2,1029.1,-3.2,-8.8,65.0,3.1,-,0.0,0.0,-,1272.0,-4.6,3.0,50.0
201801020400,143.0,34.0,0.5,1021.9,1028.8,-3.6,-8.6,68.0,3.2,-,0.0,0.0,-,1316.0,-5.0,3.0,47.0
201801020500,143.0,36.0,0.5,1021.7,1028.6,-3.9,-9.1,67.0,3.1,-,0.0,0.0,-,1327.0,-5.3,3.0,37.0
201801020600,143.0,0.0,0.3,1021.9,1028.8,-4.1,-8.5,71.0,3.2,-,0.0,0.0,-,1262.0,-5.5,3.0,37.0
201801020700,143.0,0.0,0.4,1022.2,1029.1,-4.2,-8.6,71.0,3.2,-,0.0,0.0,-,1035.0,-5.7,3.0,43.0
201801020800,143.0,0.0,0.3,1022.3,1029.3,-4.5,-7.9,77.0,3.4,-,0.0,0.0,-,1100.0,-5.5,3.0,50.0
201801020900,143.0,0.0,0.1,1022.5,1029.4,-2.4,-7.5,68.0,3.5,-,0.0,0.0,-,1030.0,-3.3,3.0,56.0
201801021000,143.0,32.0,0.5,1022.3,1029.1,0.3,-6.7,59.0,3.7,40,0.0,0.0,-,885.0,0.3,3.0,70.0
201801021100,143.0,34.0,2.2,1022.1,1028.9,1.7,-7.3,51.0,3.5,40,0.0,0.0,-,941.0,3.3,3.0,75.0
201801021200,143.0,27.0,1.8,1021.0,1027.7,5.4,-7.1,40.0,3.6,40,0.0,0.0,-,1217.0,7.1,3.0,73.0
201801021300,143.0,27.0,3.1,1019.9,1026.5,6.6,-6.7,38.0,3.7,-,0.0,0.0,-,1092.0,9.6,3.0,53.0
201801021400,143.0,29.0,3.8,1018.9,1025.5,7.4,-5.3,40.0,4.1,-,5.0,5.0,Sc,1030.0,10.2,3.0,67.0
201801021500,143.0,29.0,5.7,1018.9,1025.5,6.6,-4.8,44.0,4.3,40,6.0,6.0,Sc,846.0,7.3,3.0,89.0
201801021600,143.0,29.0,4.2,1019.2,1025.9,6.2,-4.2,47.0,4.5,40,7.0,7.0,Sc,803.0,6.2,3.0,81.0
201801021700,143.0,29.0,4.6,1019.4,1026.1,5.7,-3.9,50.0,4.6,40,9.0,9.0,Sc,769.0,4.9,3.0,69.0
201801021800,143.0,32.0,2.1,1020.3,1027.0,5.2,-3.8,52.0,4.6,40,7.0,7.0,Sc,783.0,3.9,3.0,73.0
201801022100,143.0,27.0,4.2,1019.3,1026.0,3.2,-9.4,39.0,3.0,40,8.0,0.0,Ci,1154.0,0.9,3.0,57.0
201801030000,143.0,29.0,3.8,1020.3,1027.1,1.6,-15.8,26.0,1.8,-,3.0,0.0,Ci,2000.0,-1.0,3.0,17.0
201801030300,143.0,29.0,3.2,1022.1,1028.9,0.0,-15.9,29.0,1.8,-,7.0,0.0,Ci,2000.0,-1.5,3.0,14.0
201801030400,143.0,29.0,1.9,1021.9,1028.8,-0.9,-14.4,35.0,2.0,-,5.0,0.0,Ci,2000.0,-2.3,3.0,16.0
201801030500,143.0,27.0,1.8,1021.7,1028.6,-1.2,-13.7,38.0,2.1,-,3.0,0.0,Ci,2000.0,-3.0,3.0,19.0
201801030600,143.0,29.0,2.8,1022.5,1029.4,-1.3,-13.1,40.0,2.2,-,2.0,0.0,Ci,2000.0,-3.1,3.0,14.0
201801030700,143.0,32.0,1.2,1022.8,1029.7,-2.3,-12.9,44.0,2.3,-,0.0,0.0,-,2000.0,-4.0,3.0,19.0
201801030800,143.0,29.0,2.2,1022.5,1029.4,-2.1,-13.6,41.0,2.1,-,3.0,0.0,Ci,2000.0,-3.7,3.0,21.0
201801030900,143.0,29.0,4.2,1023.5,1030.4,-1.2,-15.4,33.0,1.8,-,0.0,0.0,-,2000.0,-2.5,3.0,19.0
201801031000,143.0,27.0,4.1,1024.1,1031.0,-0.3,-16.6,28.0,1.7,-,0.0,0.0,-,2000.0,0.5,3.0,18.0
