TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201801020000,146.0,14.0,2.3,1021.7,1029.6,-1.6,-5.4,75.0,4.1,-,0.0,0.0,-,1227.0,-2.0,3.0,22.0
201801020300,146.0,14.0,1.8,1022.0,1029.9,-2.8,-5.6,81.0,4.0,-,0.0,0.0,-,1125.0,-3.4,3.0,37.0
201801020400,146.0,14.0,1.4,1021.6,1029.5,-3.0,-5.6,82.0,4.0,-,0.0,0.0,-,1079.0,-3.8,3.0,33.0
201801020500,146.0,11.0,1.6,1021.2,1029.1,-2.8,-5.4,82.0,4.1,-,0.0,0.0,-,1070.0,-4.0,3.0,36.0
201801020600,146.0,14.0,2.3,1021.4,1029.3,-2.7,-5.5,81.0,4.1,-,0.0,0.0,-,1062.0,-4.0,3.0,36.0
201801020700,146.0,14.0,2.1,1021.7,1029.6,-2.7,-5.5,81.0,4.1,-,0.0,0.0,-,1015.0,-4.2,3.0,40.0
201801020800,146.0,14.0,1.9,1021.9,1029.8,-2.4,-5.3,80.0,4.1,-,0.0,0.0,-,1009.0,-3.8,3.0,37.0
201801020900,146.0,14.0,1.6,1022.0,1029.9,-1.1,-4.6,77.0,4.3,-,0.0,0.0,-,1062.0,-1.9,3.0,39.0
201801021000,146.0,11.0,1.2,1021.7,1029.5,1.3,-4.3,66.0,4.4,-,0.0,0.0,-,1192.0,-0.3,3.0,31.0
201801021100,146.0,7.0,0.8,1022.3,1030.0,3.6,-3.4,60.0,4.8,-,0.0,0.0,-,1230.0,0.1,3.0,45.0
201801021200,146.0,7.0,0.7,1021.6,1029.3,5.3,-2.7,56.0,5.0,-,4.0,4.0,Sc,1239.0,0.8,3.0,52.0
201801021300,146.0,29.0,1.8,1020.8,1028.5,5.9,-1.5,59.0,5.5,-,9.0,9.0,Sc,1332.0,5.6,3.0,77.0
201801021400,146.0,25.0,2.5,1020.2,1027.9,5.2,0.0,69.0,6.1,-,8.0,8.0,Sc,1085.0,5.5,3.0,59.0
201801021500,146.0,34.0,1.9,1020.0,1027.7,4.1,0.0,75.0,6.1,1901,10.0,7.0,StNs,917.0,4.2,4.0,59.0
201801021600,146.0,34.0,1.2,1020.4,1028.1,4.1,1.9,86.0,7.0,1901,8.0,8.0,Sc,710.0,4.2,4.0,50.0
201801021700,146.0,34.0,2.1,1020.8,1028.5,3.6,1.1,84.0,6.6,19,9.0,9.0,Sc,545.0,3.3,3.0,61.0
201801021800,146.0,36.0,2.6,1021.5,1029.2,3.1,0.6,84.0,6.4,19,9.0,9.0,Sc,690.0,2.5,3.0,58.0
201801022100,146.0,34.0,2.3,1021.0,1028.8,0.8,-1.6,84.0,5.4,19,2.0,2.0,Sc,625.0,0.8,3.0,53.0
201801030000,146.0,32.0,1.0,1022.1,1030.0,-0.9,-7.9,59.0,3.4,-,0.0,0.0,-,1536.0,-0.6,3.0,21.0
201801030300,146.0,36.0,1.3,1022.8,1030.7,-2.4,-6.5,73.0,3.8,19,5.0,5.0,Ac,641.0,-2.8,3.0,48.0
201801030400,146.0,32.0,1.6,1022.8,1030.7,-3.1,-6.7,76.0,3.7,19,2.0,0.0,Ci,1160.0,-3.2,3.0,32.0
201801030500,146.0,32.0,1.2,1022.8,1030.8,-3.3,-8.1,69.0,3.3,-,0.0,0.0,-,1670.0,-3.9,3.0,21.0
201801030600,146.0,32.0,1.7,1023.5,1031.5,-3.9,-8.9,68.0,3.1,-,0.0,0.0,-,1800.0,-4.5,3.0,17.0
201801030700,146.0,32.0,0.6,1023.5,1031.5,-3.9,-11.4,56.0,2.6,-,0.0,0.0,-,1630.0,-5.1,3.0,25.0
201801030800,146.0,34.0,0.8,1023.7,1031.7,-3.9,-12.3,52.0,2.4,-,1.0,0.0,Ci,1803.0,-5.3,3.0,30.0
201801030900,146.0,36.0,0.7,1024.5,1032.4,-2.6,-12.3,47.0,2.4,-,0.0,0.0,-,1974.0,-3.0,3.0,23.0
201801031000,146.0,32.0,1.3,1025.1,1033.0,-2.1,-11.6,48.0,2.5,-,0.0,0.0,-,1993.0,-0.5,3.0,27.0
201801031100,146.0,34.0,1.2,1025.0,1032.9,-0.8,-9.9,50.0,2.9,-,0.0,0.0,-,2000.0,0.1,3.0,32.0
201801031200,146.0,32.0,2.0,1024.1,1032.0,-0.4,-10.6,46.0,2.7,-,3.0,0.0,Ci,2000.0,1.2,3.0,26.0
201801031300,146.0,36.0,1.3,1022.9,1030.8,0.2,-10.0,46.0,2.9,-,1.0,0.0,Ci,2000.0,4.1,3.0,33.0
201801031400,146.0,34.0,2.0,1022.5,1030.3,0.7,-10.1,44.0,2.8,-,1.0,0.0,Ci,2000.0,7.8,3.0,29.0
201801031500,146.0,29.0,1.6,1022.2,1030.0,1.1,-9.8,44.0,2.9,-,3.0,0.0,Ci,2000.0,6.4,3.0,32.0
201801031600,146.0,27.0,1.7,1022.1,1029.9,1.2,-8.8,47.0,3.1,-,6.0,0.0,Ci,2000.0,3.9,3.0,30.0
201801031700,146.0,27.0,2.6,1021.8,1029.6,0.9,-7.3,54.0,3.5,-,4.0,0.0,Ci,2000.0,1.8,3.0,31.0
201801031800,146.0,27.0,3.7,1022.2,1030.1,-0.4,-7.8,57.0,3.4,-,5.0,0.0,Ci,2000.0,0.9,3.0,20.0
201801032100,146.0,32.0,1.3,1022.9,1030.8,-2.6,-8.0,66.0,3.3,-,0.0,0.0,-,1924.0,-1.7,3.0,22.0
201801040200,146.0,0.0,0.4,1022.3,1030.2,-2.9,-8.3,66.0,3.3,-,8.0,0.0,Cs,1793.0,-2.8,3.0,22.0
201801040300,146.0,34.0,1.1,1022.9,1030.9,-3.7,-7.6,74.0,3.5,-,8.0,0.0,Cs,1303.0,-3.1,3.0,33.0
201801040400,146.0,34.0,1.4,1023.0,1031.0,-4.2,-7.6,77.0,3.5,-,9.0,0.0,Cs,1300.0,-2.9,3.0,29.0
201801040500,146.0,2.0,1.0,1022.2,1030.2,-3.9,-7.5,76.0,3.5,-,9.0,0.0,Cs,1513.0,-2.9,3.0,23.0
201801040600,146.0,36.0,1.3,1021.9,1029.9,-3.8,-7.9,73.0,3.4,-,8.0,0.0,Ci,1569.0,-3.1,3.0,27.0
201801040700,146.0,34.0,2.1,1022.0,1030.0,-3.9,-7.6,75.0,3.5,-,8.0,3.0,ScCi,1409.0,-3.0,3.0,21.0
201801040800,146.0,34.0,2.4,1022.0,1030.0,-4.2,-7.9,75.0,3.4,-,7.0,1.0,ScCi,1485.0,-3.1,3.0,34.0
201801040900,146.0,32.0,2.3,1021.7,1029.7,-4.0,-10.0,63.0,2.9,-,10.0,6.0,ScAs,1725.0,-1.9,3.0,36.0
201801041000,146.0,34.0,1.2,1021.6,1029.5,-3.5,-10.1,60.0,2.8,-,10.0,6.0,ScAs,1747.0,-0.4,3.0,18.0
201801041100,146.0,34.0,1.4,1021.1,1029.0,-2.7,-10.5,55.0,2.8,-,7.0,0.0,Cs,1817.0,-0.1,3.0,26.0
201801041200,146.0,32.0,1.3,1019.9,1027.8,-1.9,-10.9,50.0,2.7,-,5.0,0.0,Cs,1948.0,0.3,3.0,27.0
201801041300,146.0,32.0,1.5,1018.9,1026.7,-0.7,-10.3,48.0,2.8,-,7.0,0.0,Ci,1974.0,1.1,3.0,30.0
201801041400,146.0,29.0,1.2,1017.5,1025.3,-0.3,-10.0,48.0,2.9,-,8.0,0.0,Cs,1922.0,4.2,3.0,35.0
201801041500,146.0,29.0,1.7,1017.5,1025.3,0.3,-9.1,49.0,3.1,-,7.0,0.0,Cs,1944.0,4.9,3.0,40.0
201801041600,146.0,27.0,1.6,1017.7,1025.5,-0.4,-11.1,44.0,2.6,-,10.0,10.0,As,1990.0,2.7,3.0,37.0
201801041700,146.0,34.0,2.1,1017.5,1025.3,-0.7,-10.6,47.0,2.7,-,10.0,10.0,As,1997.0,0.9,3.0,33.0
201801041800,146.0,34.0,1.6,1017.5,1025.3,-0.9,-10.0,50.0,2.9,-,9.0,9.0,Ac,1913.0,0.7,3.0,34.0
201801042100,146.0,25.0,0.7,1017.0,1024.8,-1.4,-8.8,57.0,3.1,-,10.0,10.0,As,1607.0,0.6,3.0,25.0
201801050000,146.0,32.0,0.5,1015.3,1023.1,-1.4,-8.6,58.0,3.2,-,9.0,9.0,Ac,1476.0,0.4,3.0,36.0
201801050300,146.0,32.0,0.5,1014.9,1022.7,-1.8,-7.9,63.0,3.4,-,10.0,10.0,As,1313.0,0.1,3.0,45.0
201801050400,146.0,25.0,0.5,1014.5,1022.3,-1.8,-7.5,65.0,3.5,-,9.0,9.0,Ac,1201.0,-0.1,3.0,41.0
201801050500,146.0,23.0,0.8,1014.2,1022.0,-1.9,-6.8,69.0,3.7,-,10.0,10.0,As,1161.0,-0.3,3.0,38.0
201801050600,146.0,27.0,0.9,1014.4,1022.2,-2.1,-6.8,70.0,3.7,-,10.0,10.0,As,1102.0,-0.5,3.0,39.0
201801050700,146.0,0.0,0.1,1014.2,1022.0,-1.9,-7.4,66.0,3.5,-,8.0,8.0,Ac,1156.0,-0.7,3.0,31.0
201801050800,146.0,2.0,1.1,1014.1,1022.0,-2.3,-6.1,75.0,3.9,-,9.0,9.0,Ac,1012.0,-0.7,3.0,40.0
201801050900,146.0,25.0,1.4,1014.8,1022.6,-1.4,-6.9,66.0,3.6,-,4.0,2.0,AcCi,1051.0,-1.0,3.0,48.0
201801051000,146.0,32.0,0.9,1014.7,1022.5,0.0,-8.2,54.0,3.3,-,1.0,0.0,Ci,1399.0,-0.1,3.0,35.0
201801051100,146.0,34.0,2.4,1015.0,1022.8,0.3,-8.1,53.0,3.3,-,0.0,0.0,-,1586.0,0.4,3.0,32.0
201801051200,146.0,29.0,2.6,1014.3,1022.1,0.9,-7.6,53.0,3.5,-,1.0,1.0,Sc,1919.0,3.3,3.0,25.0
201801051300,146.0,29.0,2.4,1013.5,1021.2,2.1,-6.5,53.0,3.8,-,0.0,0.0,-,1835.0,8.0,3.0,24.0
201801051400,146.0,27.0,2.0,1012.2,1019.9,2.0,-6.8,52.0,3.7,-,2.0,2.0,Sc,1971.0,9.0,3.0,22.0
201801051500,146.0,27.0,3.8,1012.5,1020.2,2.9,-5.5,54.0,4.1,-,7.0,7.0,Sc,1992.0,8.0,3.0,32.0
201801051600,146.0,29.0,3.6,1012.6,1020.3,2.8,-5.3,55.0,4.1,-,5.0,5.0,Sc,2000.0,4.9,3.0,40.0
201801051700,146.0,29.0,3.9,1012.7,1020.4,1.5,-4.7,63.0,4.3,-,3.0,3.0,Sc,1890.0,1.6,3.0,31.0
201801051800,146.0,29.0,3.8,1013.1,1020.9,0.8,-5.0,65.0,4.2,-,3.0,3.0,Sc,1636.0,1.0,3.0,22.0
201801052100,146.0,7.0,0.7,1013.2,1021.0,0.1,-5.3,67.0,4.1,-,0.0,0.0,-,1353.0,-0.3,3.0,20.0
201801060000,146.0,9.0,0.7,1013.9,1021.7,-0.9,-4.7,75.0,4.3,-,3.0,3.0,Sc,1041.0,-2.4,3.0,35.0
201801060300,146.0,0.0,0.2,1015.5,1023.4,-2.0,-4.5,83.0,4.4,19,0.0,0.0,-,754.0,-3.8,3.0,40.0
201801060400,146.0,29.0,1.0,1015.6,1023.5,-2.2,-5.0,81.0,4.2,19,0.0,0.0,-,925.0,-4.2,3.0,34.0
201801060500,146.0,34.0,1.3,1016.0,1023.9,-4.0,-6.3,84.0,3.8,19,0.0,0.0,-,785.0,-4.8,3.0,40.0
201801060600,146.0,9.0,1.2,1015.9,1023.8,-3.5,-5.3,87.0,4.1,19,0.0,0.0,-,864.0,-5.1,3.0,32.0
201801060700,146.0,14.0,0.8,1016.0,1023.9,-3.4,-5.5,85.0,4.1,19,0.0,0.0,-,771.0,-5.3,3.0,34.0
201801060800,146.0,14.0,1.5,1016.3,1024.2,-3.9,-6.3,83.0,3.8,19,0.0,0.0,-,1077.0,-5.2,3.0,44.0
