TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
201801020000,108.0,29.0,1.1,1017.8,1028.8,-1.8,-9.8,54.0,2.9,-,0.0,0.0,-,1772.0,-2.6,-0.2,0.3,1.0,1.6,3.0,42.0
201801020300,108.0,0.0,0.4,1017.9,1028.9,-2.5,-8.7,62.0,3.2,-,0.0,0.0,-,1626.0,-3.7,-0.5,0.3,1.0,1.6,3.0,49.0
201801020400,108.0,2.0,0.5,1017.5,1028.5,-2.7,-7.9,67.0,3.4,-,0.0,0.0,-,1302.0,-3.9,-0.7,0.3,1.0,1.6,3.0,44.0
201801020500,108.0,2.0,0.6,1017.4,1028.5,-3.1,-8.3,67.0,3.3,-,0.0,0.0,-,1384.0,-4.1,-0.8,0.2,1.0,1.5,3.0,56.0
201801020600,108.0,0.0,0.4,1017.8,1028.9,-3.2,-8.4,67.0,3.2,-,0.0,0.0,-,1409.0,-4.3,-0.9,0.2,1.0,1.6,3.0,39.0
201801020700,108.0,2.0,0.5,1018.1,1029.2,-3.2,-8.0,69.0,3.3,-,0.0,0.0,-,1249.0,-4.3,-1.0,0.2,1.0,1.6,3.0,42.0
201801020800,108.0,36.0,0.8,1018.2,1029.3,-3.4,-7.9,71.0,3.4,-,0.0,0.0,-,1179.0,-4.4,-1.1,0.1,1.0,1.6,3.0,47.0
201801020900,108.0,0.0,0.2,1018.5,1029.6,-3.1,-8.5,66.0,3.2,-,0.0,0.0,-,1168.0,-3.1,-0.8,0.2,1.0,1.6,3.0,41.0
201801021000,108.0,29.0,1.9,1018.9,1029.9,-1.4,-10.5,50.0,2.8,-,0.0,0.0,-,1355.0,-0.9,-0.3,0.2,1.0,1.6,3.0,47.0
201801021100,108.0,29.0,2.3,1019.1,1030.1,-0.4,-12.3,40.0,2.4,-,0.0,0.0,-,1633.0,-0.1,-0.1,0.2,1.0,1.5,3.0,50.0
201801021200,108.0,27.0,1.9,1018.5,1029.4,0.9,-15.1,29.0,1.9,-,0.0,0.0,-,1761.0,0.1,0.0,0.2,1.0,1.6,3.0,53.0
201801021300,108.0,29.0,3.6,1017.7,1028.6,1.5,-17.4,23.0,1.6,-,0.0,0.0,-,1970.0,0.9,0.1,0.2,1.0,1.6,3.0,42.0
201801021400,108.0,29.0,4.4,1017.4,1028.3,1.7,-18.9,20.0,1.4,-,0.0,0.0,-,1995.0,1.0,0.2,0.3,1.0,1.6,3.0,19.0
201801021500,108.0,29.0,3.0,1017.0,1027.9,1.5,-17.9,22.0,1.5,-,4.0,0.0,Ci,1998.0,0.6,0.1,0.3,1.0,1.6,3.0,26.0
201801021600,108.0,29.0,2.9,1017.2,1028.1,1.3,-17.6,23.0,1.5,-,0.0,0.0,-,2000.0,0.0,0.2,0.3,1.0,1.6,3.0,20.0
201801021700,108.0,27.0,2.6,1017.5,1028.4,0.3,-16.5,27.0,1.7,-,0.0,0.0,-,2000.0,-0.2,0.1,0.2,1.0,1.6,3.0,20.0
201801021800,108.0,27.0,2.3,1018.5,1029.5,-0.8,-18.9,24.0,1.4,-,3.0,0.0,Ci,2000.0,-0.9,0.0,0.2,1.0,1.6,3.0,13.0
201801022100,108.0,34.0,2.0,1017.4,1028.4,-2.6,-18.6,28.0,1.4,-,3.0,0.0,Ci,2000.0,-2.9,-0.1,0.3,1.0,1.6,3.0,7.0
