TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201901020000,136.0,32.0,3.4,1014.0,1032.1,-4.0,-12.1,53.0,2.4,-,0.0,0.0,-,1990.0,-6.6,3.0,21.0
201901020100,136.0,32.0,3.6,1014.5,1032.6,-4.3,-12.2,54.0,2.4,-,0.0,0.0,-,2000.0,-6.7,3.0,22.0
201901020200,136.0,32.0,3.5,1015.0,1033.2,-4.8,-11.8,58.0,2.5,-,0.0,0.0,-,2000.0,-7.1,3.0,17.0
201901020300,136.0,34.0,0.9,1015.4,1033.7,-5.8,-12.1,61.0,2.4,-,0.0,0.0,-,1999.0,-8.2,3.0,23.0
201901020400,136.0,34.0,0.7,1015.0,1033.3,-5.9,-13.0,57.0,2.3,-,0.0,0.0,-,2000.0,-8.8,3.0,15.0
201901020500,136.0,0.0,0.0,1015.0,1033.3,-6.5,-13.8,56.0,2.1,-,0.0,0.0,-,2000.0,-9.7,3.0,10.0
201901020600,136.0,0.0,0.2,1015.4,1033.8,-7.6,-13.2,64.0,2.2,-,0.0,0.0,-,1972.0,-10.3,3.0,19.0
201901020700,136.0,0.0,0.1,1015.8,1034.2,-8.0,-14.4,60.0,2.0,-,0.0,0.0,-,1994.0,-10.9,3.0,19.0
201901020800,136.0,0.0,0.0,1016.3,1034.8,-8.3,-14.3,62.0,2.0,-,0.0,0.0,-,2000.0,-10.9,3.0,16.0
201901021000,136.0,29.0,1.9,1016.8,1034.9,-3.0,-11.7,51.0,2.5,-,0.0,0.0,-,1810.0,-4.1,3.0,10.0
201901021100,136.0,29.0,3.5,1016.1,1034.1,-1.6,-12.2,44.0,2.4,-,0.0,0.0,-,1956.0,-0.8,3.0,26.0
201901021200,136.0,29.0,2.6,1014.8,1032.6,0.6,-12.4,37.0,2.4,-,0.0,0.0,-,1929.0,1.0,3.0,28.0
201901021300,136.0,32.0,3.5,1013.7,1031.4,1.6,-14.9,28.0,1.9,-,0.0,0.0,-,1997.0,2.9,3.0,24.0
