TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201901020000,143.0,9.0,143,29,3.1,29,10.0,2108,1025.4,1032.3,3,0.8,-1.9,-10.7,51.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1958,-9.0,-9.0,-9,-2.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020100,143.0,21.0,143,29,2.9,-9,-9.0,-9,1026.0,1032.9,-9,-9.0,-2.3,-10.8,52.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1957,-9.0,-9.0,-9,-3.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201901020200,143.0,8.0,143,29,3.2,-9,-9.0,-9,1026.4,1033.3,-9,-9.0,-2.6,-11.1,52.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1955,-9.0,-9.0,-9,-3.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201901020300,143.0,21.0,143,29,3.2,29,10.0,2108,1026.6,1033.5,2,1.2,-2.9,-11.4,52.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1955,-9.0,-9.0,-9,-3.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020400,143.0,20.0,143,27,3.1,-9,-9.0,-9,1026.5,1033.4,-9,-9.0,-3.1,-12.0,50.0,2.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-4.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020500,143.0,21.0,143,27,2.7,-9,-9.0,-9,1026.9,1033.9,-9,-9.0,-3.3,-12.7,48.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1909,-9.0,-9.0,-9,-4.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020600,143.0,17.0,143,29,1.7,-9,-9.0,-9,1027.1,1034.1,3,0.6,-3.9,-12.5,51.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,0,-9,Ci,1,0,0,1954,-9.0,-9.0,-9,-4.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020700,143.0,23.0,143,29,2.6,-9,-9.0,-9,1027.1,1034.1,-9,-9.0,-3.6,-11.8,53.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,0,-9,Ci,1,0,0,2000,-9.0,-9.0,-9,-5.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020800,143.0,19.0,143,27,2.2,-9,-9.0,-9,1027.4,1034.4,-9,-9.0,-3.4,-11.3,54.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,0,-9,Ci,1,0,0,1990,0.0,0.0,-9,-4.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020900,143.0,24.0,143,29,1.7,-9,-9.0,-9,1028.0,1034.9,2,0.8,-1.9,-10.4,52.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1972,1.0,0.37,-9,-3.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
