TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
201901010000,108.0,,,,,,,,,,,,,,,,,,,,59.0
201901010100,108.0,,,,,,,,,,,,,,,,,,,,53.0
201901010200,108.0,,,,,,,,,,,,,,,,,,,,45.0
201901010300,108.0,,,,,,,,,,,,,,,,,,,,48.0
201901010400,108.0,,,,,,,,,,,,,,,,,,,,51.0
201901010500,108.0,,,,,,,,,,,,,,,,,,,,60.0
201901010600,108.0,,,,,,,,,,,,,,,,,,,,67.0
201901010700,108.0,,,,,,,,,,,,,,,,,,,,42.0
201901010800,108.0,,,,,,,,,,,,,,,,,,,,43.0
201901010900,108.0,,,,,,,,,,,,,,,,,,,,36.0
201901011000,108.0,,,,,,,,,,,,,,,,,,,,27.0
201901011100,108.0,,,,,,,,,,,,,,,,,,,,34.0
201901011200,108.0,,,,,,,,,,,,,,,,,,,,33.0
201901011300,108.0,,,,,,,,,,,,,,,,,,,,46.0
201901011400,108.0,,,,,,,,,,,,,,,,,,,,42.0
201901011500,108.0,,,,,,,,,,,,,,,,,,,,47.0
201901011600,108.0,,,,,,,,,,,,,,,,,,,,26.0
201901011700,108.0,,,,,,,,,,,,,,,,,,,,40.0
201901011800,108.0,,,,,,,,,,,,,,,,,,,,32.0
201901011900,108.0,,,,,,,,,,,,,,,,,,,,38.0
201901012000,108.0,,,,,,,,,,,,,,,,,,,,34.0
201901012100,108.0,,,,,,,,,,,,,,,,,,,,26.0
201901012200,108.0,,,,,,,,,,,,,,,,,,,,31.0
201901012300,108.0,,,,,,,,,,,,,,,,,,,,24.0
201901020000,108.0,32.0,1.3,1023.0,1034.3,-6.7,-15.4,50.0,1.8,-,0.0,0.0,-,1977.0,-6.7,-3.6,-1.2,-0.1,0.9,3.0,34.0
201901020100,108.0,29.0,0.8,1023.2,1034.5,-7.2,-15.4,52.0,1.8,-,0.0,0.0,-,1942.0,-7.2,-4.1,-1.5,-0.1,0.8,3.0,33.0
201901020200,108.0,27.0,1.3,1023.6,1034.9,-7.8,-15.5,54.0,1.8,-,0.0,0.0,-,1853.0,-7.9,-4.6,-1.7,-0.1,0.8,3.0,32.0
201901020300,108.0,29.0,0.9,1023.6,1034.9,-8.0,-15.4,55.0,1.8,-,0.0,0.0,-,1755.0,-8.3,-5.0,-2.0,-0.1,0.8,3.0,28.0
201901020400,108.0,27.0,1.3,1023.1,1034.4,-8.4,-14.9,59.0,1.9,-,0.0,0.0,-,1684.0,-8.7,-5.3,-2.2,-0.1,0.8,3.0,34.0
201901020500,108.0,29.0,0.8,1022.9,1034.2,-8.5,-15.5,57.0,1.8,-,0.0,0.0,-,1737.0,,-5.6,-2.4,-0.1,0.8,3.0,29.0
201901020600,108.0,27.0,0.6,1023.3,1034.6,-8.5,-15.5,57.0,1.8,-,0.0,0.0,-,1928.0,-9.3,-5.8,-2.5,-0.2,0.8,3.0,33.0
201901020700,108.0,32.0,0.7,1023.8,1035.1,-8.5,-14.6,61.0,2.0,-,0.0,0.0,-,1814.0,-9.6,-6.1,-2.7,-0.2,0.8,3.0,36.0
201901020800,108.0,29.0,0.8,1024.5,1035.9,-8.7,-14.4,63.0,2.0,-,0.0,0.0,-,1622.0,-9.7,-6.2,-2.9,-0.3,0.9,3.0,36.0
201901020900,108.0,32.0,1.4,1025.1,1036.4,-7.5,-15.9,51.0,1.8,-,0.0,0.0,-,1787.0,-7.7,-5.5,-2.9,-0.3,0.8,3.0,34.0
201901021000,108.0,32.0,1.5,1025.4,1036.6,-5.6,-17.0,40.0,1.6,-,0.0,0.0,-,1770.0,-3.0,-3.6,-2.7,-0.4,0.8,3.0,32.0
201901021100,108.0,32.0,2.2,1024.8,1036.0,-4.1,-18.0,33.0,1.5,-,0.0,0.0,-,1550.0,1.3,-2.1,-2.2,-0.3,0.8,3.0,28.0
201901021200,108.0,32.0,3.2,1023.8,1034.9,-2.8,-18.4,29.0,1.4,-,0.0,0.0,-,1810.0,4.6,-1.2,-1.7,-0.3,0.8,3.0,37.0
