TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202001020000,143.0,27.0,1.8,1023.9,1030.8,0.6,-5.8,62.0,4.0,-,1.0,1.0,Sc,1369.0,-2.4,3.0,33.0
202001020100,143.0,27.0,1.9,1023.4,1030.3,0.3,-5.7,64.0,4.0,-,0.0,0.0,-,1167.0,-2.8,3.0,0.0
202001020200,143.0,27.0,2.2,1023.2,1030.1,0.5,-5.5,64.0,4.1,-,0.0,0.0,-,1027.0,-2.9,3.0,32.0
202001020300,143.0,27.0,1.2,1022.6,1029.5,0.0,-5.4,67.0,4.1,-,5.0,0.0,Ci,1107.0,-3.1,3.0,24.0
202001020400,143.0,27.0,2.5,1022.6,1029.5,0.2,-5.2,67.0,4.2,40,6.0,0.0,Ci,918.0,-3.1,3.0,30.0
202001020500,143.0,27.0,2.7,1022.6,1029.5,0.5,-5.3,65.0,4.1,40,8.0,0.0,Ci,862.0,-2.2,3.0,39.0
202001020600,143.0,27.0,3.0,1022.8,1029.7,0.7,-5.3,64.0,4.1,40,7.0,0.0,Ci,816.0,-2.1,3.0,37.0
202001020700,143.0,27.0,2.7,1023.2,1030.1,0.7,-5.3,64.0,4.1,40,6.0,0.0,Ci,771.0,-2.8,3.0,41.0
202001020800,143.0,27.0,2.2,1023.5,1030.4,0.9,-5.1,64.0,4.2,40,3.0,0.0,Ci,670.0,-2.8,3.0,57.0
202001020900,143.0,27.0,2.8,1024.0,1030.9,1.9,-4.8,61.0,4.3,40,3.0,0.0,Ci,647.0,-0.8,3.0,64.0
202001021000,143.0,27.0,4.0,1024.2,1031.1,2.9,-4.7,57.0,4.3,40,5.0,3.0,ScCi,674.0,1.3,3.0,57.0
202001021100,143.0,27.0,2.5,1023.5,1030.3,4.4,-4.3,53.0,4.4,40,5.0,0.0,Ci,795.0,5.2,3.0,47.0
202001021200,143.0,29.0,3.5,1022.5,1029.3,5.2,-4.3,50.0,4.4,40,7.0,0.0,Ci,929.0,7.6,3.0,39.0
202001021300,143.0,29.0,5.4,1020.9,1027.7,6.0,-4.2,48.0,4.5,40,0.0,0.0,-,997.0,10.1,3.0,31.0
202001021400,143.0,27.0,4.5,1020.2,1026.9,6.5,-4.0,47.0,4.5,40,0.0,0.0,-,841.0,10.7,3.0,29.0
202001021500,143.0,29.0,4.7,1020.3,1027.0,6.7,-3.8,47.0,4.6,40,0.0,0.0,-,1059.0,9.4,3.0,36.0
202001021600,143.0,32.0,4.4,1020.9,1027.7,6.1,-3.8,49.0,4.6,40,0.0,0.0,-,938.0,6.7,3.0,38.0
202001021700,143.0,32.0,3.9,1021.2,1028.0,5.1,-3.7,53.0,4.6,40,0.0,0.0,-,846.0,3.6,3.0,35.0
202001021800,143.0,32.0,2.2,1021.1,1027.9,4.5,-3.7,55.0,4.6,40,2.0,2.0,Sc,720.0,1.6,3.0,39.0
202001021900,143.0,27.0,2.6,1021.0,1027.8,5.0,-3.5,54.0,4.7,40,6.0,6.0,-,672.0,2.3,3.0,40.0
202001022000,143.0,29.0,3.1,1021.2,1028.0,4.9,-3.1,56.0,4.9,40,7.0,7.0,-,646.0,2.6,3.0,37.0
202001022100,143.0,29.0,2.6,1021.2,1028.0,4.7,-2.8,58.0,5.0,40,7.0,7.0,Sc,593.0,1.1,3.0,39.0
202001022200,143.0,29.0,2.0,1021.3,1028.1,4.1,-3.2,59.0,4.8,40,0.0,0.0,-,558.0,0.2,3.0,44.0
202001022300,143.0,29.0,2.5,1021.2,1028.0,3.9,-3.3,59.0,4.8,40,0.0,0.0,-,1661.0,-0.3,3.0,41.0
202001030000,143.0,27.0,3.3,1020.9,1027.7,3.5,-3.3,61.0,4.8,-,2.0,2.0,Sc,1331.0,0.0,3.0,38.0
202001030100,143.0,29.0,3.5,1020.4,1027.2,3.4,-3.8,59.0,4.6,-,4.0,4.0,-,1922.0,-0.1,3.0,59.0
202001030200,143.0,29.0,3.2,1020.0,1026.8,2.9,-4.1,60.0,4.5,-,9.0,2.0,-,1861.0,-0.3,3.0,49.0
202001030300,143.0,27.0,2.4,1020.2,1027.0,2.6,-3.7,63.0,4.6,-,3.0,0.0,Ci,1533.0,-0.7,3.0,51.0
202001030400,143.0,27.0,2.2,1019.9,1026.8,2.0,-3.9,65.0,4.6,40,4.0,0.0,Ci,830.0,-1.0,3.0,54.0
202001030500,143.0,27.0,2.3,1019.8,1026.7,1.7,-3.9,66.0,4.6,40,2.0,0.0,Ci,767.0,-1.5,3.0,52.0
202001030600,143.0,25.0,1.0,1019.8,1026.7,0.7,-3.9,71.0,4.6,40,2.0,0.0,Ci,778.0,-2.2,3.0,57.0
202001030700,143.0,29.0,1.5,1020.1,1027.0,0.4,-3.8,73.0,4.6,40,4.0,0.0,Ci,855.0,-2.5,3.0,50.0
202001030800,143.0,34.0,1.5,1020.3,1027.2,-0.7,-3.5,81.0,4.7,4019,1.0,0.0,Ci,542.0,-2.6,3.0,48.0
202001030900,143.0,0.0,0.4,1020.6,1027.5,0.3,-2.9,79.0,4.9,19,0.0,0.0,-,522.0,-1.0,3.0,50.0
202001031000,143.0,32.0,1.4,1021.3,1028.1,3.1,-2.6,66.0,5.0,4019,0.0,0.0,-,723.0,1.2,3.0,61.0
202001031100,143.0,29.0,3.6,1020.3,1027.1,4.5,-4.2,53.0,4.5,40,0.0,0.0,-,1858.0,5.0,3.0,43.0
202001031200,143.0,29.0,3.5,1019.0,1025.8,5.8,-4.6,47.0,4.3,-,2.0,0.0,Ci,1341.0,9.7,3.0,41.0
202001031300,143.0,29.0,4.1,1017.9,1024.6,6.6,-5.4,42.0,4.1,-,0.0,0.0,-,1050.0,11.5,3.0,32.0
202001031400,143.0,29.0,5.4,1017.7,1024.4,7.4,-5.6,39.0,4.0,-,0.0,0.0,-,1258.0,11.9,3.0,31.0
202001031500,143.0,29.0,4.6,1016.9,1023.6,8.0,-5.8,37.0,4.0,-,2.0,0.0,Ci,1024.0,11.0,3.0,30.0
202001031600,143.0,29.0,4.6,1017.1,1023.8,8.1,-6.4,35.0,3.8,-,1.0,0.0,Ci,1346.0,8.1,3.0,29.0
202001031700,143.0,29.0,3.7,1017.5,1024.2,7.3,-7.1,35.0,3.6,-,1.0,0.0,Ci,1297.0,4.4,3.0,35.0
202001031800,143.0,29.0,3.5,1018.0,1024.7,6.5,-7.5,36.0,3.5,-,1.0,0.0,Ci,1162.0,2.2,3.0,25.0
202001032000,143.0,29.0,3.0,1019.0,1025.8,5.2,-6.6,42.0,3.7,-,0.0,0.0,-,1204.0,0.1,3.0,31.0
202001032100,143.0,32.0,1.9,1019.0,1025.8,3.9,-7.2,44.0,3.6,40,0.0,0.0,-,972.0,-1.0,3.0,34.0
202001032200,143.0,11.0,0.9,1018.8,1025.7,1.5,-6.8,54.0,3.7,40,0.0,0.0,-,965.0,-1.0,3.0,30.0
202001032300,143.0,7.0,0.7,1018.8,1025.7,0.7,-5.9,61.0,3.9,40,1.0,0.0,-,827.0,-1.9,3.0,52.0
202001040000,143.0,0.0,0.0,1018.2,1025.1,0.7,-6.8,57.0,3.7,40,0.0,0.0,-,1039.0,-2.7,3.0,51.0
202001040100,143.0,0.0,0.3,1018.0,1024.9,-0.2,-5.5,67.0,4.1,40,0.0,0.0,-,829.0,-3.4,3.0,57.0
202001040200,143.0,0.0,0.3,1017.9,1024.8,-0.6,-6.3,65.0,3.8,40,0.0,0.0,-,893.0,-3.9,3.0,36.0
202001040300,143.0,2.0,1.0,1018.1,1025.0,-1.4,-6.1,70.0,3.9,40,0.0,0.0,-,723.0,-4.2,3.0,38.0
202001040400,143.0,0.0,0.4,1018.1,1025.0,-1.4,-6.1,70.0,3.9,40,0.0,0.0,-,636.0,-4.7,3.0,39.0
202001040500,143.0,0.0,0.4,1017.8,1024.7,-1.2,-6.3,68.0,3.8,40,5.0,0.0,Ci,668.0,-4.5,3.0,37.0
202001040600,143.0,32.0,0.9,1017.7,1024.6,-1.8,-6.5,70.0,3.8,40,4.0,0.0,Ci,660.0,-4.9,3.0,32.0
202001040700,143.0,0.0,0.4,1017.7,1024.7,-2.1,-6.1,74.0,3.9,40,3.0,0.0,Ci,588.0,-5.3,3.0,35.0
202001040800,143.0,36.0,1.1,1017.9,1024.8,-1.7,-6.4,70.0,3.8,40,6.0,0.0,Ci,648.0,-4.8,3.0,32.0
202001040900,143.0,29.0,2.5,1018.6,1025.5,1.5,-8.0,49.0,3.3,40,7.0,0.0,Ci,1029.0,-1.6,3.0,44.0
202001041000,143.0,29.0,3.5,1018.9,1025.7,2.9,-6.0,52.0,3.9,40,6.0,0.0,Ci,846.0,1.4,3.0,33.0
202001041100,143.0,29.0,4.0,1018.6,1025.4,4.2,-4.0,55.0,4.5,40,7.0,0.0,Ci,1301.0,4.4,3.0,31.0
202001041200,143.0,29.0,4.9,1017.4,1024.2,5.4,-3.9,51.0,4.6,-,2.0,1.0,ScCi,1031.0,8.8,3.0,31.0
202001041300,143.0,32.0,4.3,1016.9,1023.6,6.7,-3.8,47.0,4.6,-,1.0,1.0,Sc,1288.0,11.1,3.0,25.0
202001041400,143.0,29.0,4.7,1016.2,1022.9,7.8,-3.7,44.0,4.6,-,1.0,1.0,Sc,1409.0,12.3,3.0,29.0
202001041500,143.0,32.0,4.5,1016.4,1023.1,8.0,-5.1,39.0,4.2,-,1.0,1.0,Sc,1674.0,10.9,3.0,31.0
202001041600,143.0,27.0,4.8,1016.6,1023.3,7.9,-4.8,40.0,4.3,-,0.0,0.0,-,1401.0,8.4,3.0,29.0
202001041700,143.0,29.0,3.8,1017.3,1024.0,7.1,-5.6,40.0,4.0,-,0.0,0.0,-,1610.0,4.5,3.0,30.0
202001041800,143.0,29.0,4.1,1017.9,1024.6,6.7,-5.9,40.0,3.9,-,0.0,0.0,-,1686.0,2.4,3.0,27.0
202001041900,143.0,29.0,4.5,1018.5,1025.3,5.9,-6.0,42.0,3.9,-,0.0,0.0,-,1193.0,1.9,3.0,31.0
202001042000,143.0,29.0,2.6,1019.4,1026.2,5.3,-5.6,45.0,4.0,-,0.0,0.0,-,1017.0,0.7,3.0,27.0
202001042100,143.0,32.0,0.8,1019.8,1026.6,3.1,-5.3,54.0,4.1,40,0.0,0.0,-,949.0,-0.5,3.0,25.0
202001042200,143.0,11.0,1.4,1020.5,1027.4,1.8,-4.7,62.0,4.3,40,0.0,0.0,-,801.0,-1.1,3.0,37.0
