TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202001020000,156.0,0.0,0.0,1022.7,1032.0,-0.7,-4.0,78.0,4.5,-,0.0,0.0,-,1318.0,-2.2,3.0,32.0
202001020100,156.0,0.0,0.3,1021.9,1031.2,-0.8,-3.6,81.0,4.7,-,0.0,0.0,-,1236.0,-2.4,3.0,41.0
202001020200,156.0,0.0,0.0,1021.6,1030.9,-1.5,-4.0,83.0,4.5,-,0.0,0.0,-,1282.0,-2.6,3.0,34.0
202001020300,156.0,0.0,0.2,1021.5,1030.8,-1.3,-3.6,84.0,4.7,-,7.0,7.0,Sc,1282.0,-2.4,3.0,40.0
202001020400,156.0,0.0,0.1,1021.1,1030.4,-1.5,-4.0,83.0,4.5,-,0.0,0.0,-,1299.0,-2.9,3.0,32.0
202001020500,156.0,27.0,0.8,1021.0,1030.3,-2.0,-4.0,86.0,4.5,-,0.0,0.0,-,1055.0,-3.2,3.0,23.0
202001020600,156.0,25.0,0.9,1021.5,1030.8,-2.5,-4.2,88.0,4.5,19,0.0,0.0,-,955.0,-3.4,3.0,30.0
202001020700,156.0,0.0,0.1,1022.4,1031.7,-2.4,-3.9,89.0,4.6,19,4.0,4.0,Sc,934.0,-3.3,3.0,32.0
202001020800,156.0,2.0,0.9,1022.3,1031.6,-2.0,-3.8,87.0,4.6,19,0.0,0.0,-,871.0,-3.3,3.0,30.0
202001020900,156.0,0.0,0.2,1022.5,1031.8,-0.6,-3.2,82.0,4.8,19,0.0,0.0,-,1023.0,-1.4,3.0,32.0
202001021000,156.0,0.0,0.3,1022.4,1031.6,0.7,-3.0,76.0,4.9,19,0.0,0.0,-,962.0,0.0,3.0,56.0
202001021100,156.0,29.0,0.7,1022.6,1031.7,3.4,-2.7,64.0,5.0,19,3.0,0.0,Ci,1202.0,2.5,3.0,64.0
202001021200,156.0,23.0,0.9,1021.3,1030.4,5.4,-2.9,55.0,4.9,-,2.0,2.0,Ac,1450.0,5.1,3.0,57.0
202001021300,156.0,27.0,1.1,1020.6,1029.6,6.7,-3.0,50.0,4.9,-,0.0,0.0,-,1186.0,9.6,3.0,38.0
202001021400,156.0,23.0,1.8,1020.0,1028.9,8.0,-2.3,48.0,5.2,-,0.0,0.0,-,1201.0,11.9,3.0,51.0
202001021500,156.0,34.0,1.3,1020.1,1029.0,8.4,-2.5,46.0,5.1,-,0.0,0.0,-,1165.0,10.3,3.0,59.0
202001021600,156.0,34.0,1.4,1020.2,1029.2,7.8,-4.0,43.0,4.5,-,0.0,0.0,-,1082.0,7.1,3.0,49.0
202001021700,156.0,2.0,0.9,1019.9,1028.9,6.7,-3.8,47.0,4.6,40,0.0,0.0,-,951.0,3.7,3.0,47.0
202001021800,156.0,2.0,1.4,1019.8,1028.8,5.6,-3.5,52.0,4.7,40,0.0,0.0,-,902.0,1.4,3.0,45.0
202001021900,156.0,2.0,1.1,1020.2,1029.3,4.6,-2.2,61.0,5.2,40,0.0,0.0,-,721.0,0.0,3.0,44.0
202001022000,156.0,2.0,0.9,1020.5,1029.6,3.6,-2.3,65.0,5.2,40,0.0,0.0,-,630.0,-0.7,3.0,47.0
202001022100,156.0,2.0,0.7,1020.7,1029.8,2.9,-2.0,70.0,5.3,40,0.0,0.0,-,594.0,0.0,3.0,56.0
202001022200,156.0,0.0,0.0,1021.3,1030.4,3.3,-1.6,70.0,5.4,40,0.0,0.0,-,575.0,0.1,3.0,60.0
202001022300,156.0,7.0,0.9,1020.7,1029.8,3.2,-1.9,69.0,5.3,40,0.0,0.0,-,568.0,0.2,3.0,51.0
202001030000,156.0,25.0,0.7,1020.2,1029.3,2.8,-1.1,75.0,5.6,40,7.0,7.0,Sc,503.0,0.2,3.0,72.0
202001030100,156.0,25.0,0.6,1019.5,1028.6,2.9,-0.9,76.0,5.7,40,8.0,8.0,-,494.0,0.7,3.0,76.0
202001030200,156.0,29.0,0.5,1019.6,1028.7,2.7,-0.9,77.0,5.7,40,9.0,9.0,-,486.0,1.5,3.0,77.0
202001030300,156.0,0.0,0.3,1019.2,1028.3,2.7,-0.7,78.0,5.8,40,8.0,8.0,Sc,488.0,1.7,3.0,63.0
202001030400,156.0,0.0,0.3,1019.0,1028.2,2.0,-1.0,80.0,5.7,4019,6.0,6.0,Sc,478.0,-0.4,3.0,63.0
202001030500,156.0,0.0,0.0,1018.6,1027.8,1.1,-1.1,85.0,5.6,19,2.0,2.0,Sc,428.0,0.1,3.0,58.0
202001030600,156.0,27.0,0.8,1018.9,1028.1,0.5,-1.1,89.0,5.6,19,0.0,0.0,-,388.0,-0.2,3.0,61.0
