TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202001010000,146.0,,,,,,,,,,,,,,,,12.0
202001010100,146.0,,,,,,,,,,,,,,,,16.0
202001010200,146.0,,,,,,,,,,,,,,,,21.0
202001010300,146.0,,,,,,,,,,,,,,,,16.0
202001010400,146.0,,,,,,,,,,,,,,,,14.0
202001010500,146.0,,,,,,,,,,,,,,,,13.0
202001010600,146.0,,,,,,,,,,,,,,,,14.0
202001010700,146.0,,,,,,,,,,,,,,,,12.0
202001010800,146.0,,,,,,,,,,,,,,,,14.0
202001010900,146.0,,,,,,,,,,,,,,,,17.0
202001011000,146.0,,,,,,,,,,,,,,,,20.0
202001011100,146.0,,,,,,,,,,,,,,,,17.0
202001011200,146.0,,,,,,,,,,,,,,,,13.0
202001011300,146.0,,,,,,,,,,,,,,,,19.0
202001011400,146.0,,,,,,,,,,,,,,,,24.0
202001011500,146.0,,,,,,,,,,,,,,,,20.0
202001011600,146.0,,,,,,,,,,,,,,,,21.0
202001011700,146.0,,,,,,,,,,,,,,,,30.0
202001011800,146.0,,,,,,,,,,,,,,,,35.0
202001011900,146.0,,,,,,,,,,,,,,,,38.0
202001012000,146.0,,,,,,,,,,,,,,,,41.0
202001012100,146.0,,,,,,,,,,,,,,,,40.0
202001012200,146.0,,,,,,,,,,,,,,,,38.0
202001012300,146.0,,,,,,,,,,,,,,,,40.0
202001020000,146.0,14.0,2.1,1023.8,1031.7,-1.6,-4.9,78.0,4.2,-,0.0,0.0,-,1164.0,-2.6,3.0,30.0
202001020100,146.0,14.0,2.1,1023.1,1031.0,-2.1,-5.2,79.0,4.2,-,6.0,1.0,-,1087.0,-3.1,3.0,26.0
202001020200,146.0,14.0,1.9,1022.9,1030.8,-2.0,-5.1,79.0,4.2,-,0.0,0.0,-,1127.0,-3.3,3.0,30.0
202001020300,146.0,14.0,1.8,1022.8,1030.7,-1.8,-5.1,78.0,4.2,-,8.0,8.0,Sc,1114.0,-2.2,3.0,32.0
202001020400,146.0,14.0,1.6,1022.8,1030.7,-1.7,-5.2,77.0,4.2,-,8.0,8.0,Sc,1146.0,-2.1,3.0,33.0
202001020500,146.0,11.0,1.3,1022.5,1030.4,-1.9,-5.0,79.0,4.2,-,4.0,4.0,Sc,1067.0,-3.8,3.0,33.0
202001020600,146.0,14.0,1.4,1022.7,1030.6,-2.3,-5.2,80.0,4.2,-,3.0,3.0,Sc,1003.0,-4.3,3.0,34.0
202001020700,146.0,14.0,1.3,1023.3,1031.2,-2.6,-5.0,83.0,4.2,19,0.0,0.0,-,926.0,-4.7,3.0,40.0
202001020800,146.0,14.0,1.3,1023.6,1031.5,-2.8,-5.2,83.0,4.2,19,0.0,0.0,-,919.0,-4.5,3.0,35.0
202001020900,146.0,14.0,1.6,1023.8,1031.7,-1.0,-4.7,76.0,4.3,19,5.0,5.0,Sc,1115.0,-0.6,3.0,42.0
202001021000,146.0,14.0,0.9,1023.7,1031.5,1.3,-4.2,67.0,4.5,-,5.0,5.0,Sc,1292.0,1.1,3.0,36.0
202001021100,146.0,20.0,0.6,1023.8,1031.5,4.0,-3.0,60.0,4.9,-,8.0,8.0,Sc,1318.0,3.0,3.0,46.0
