TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202101010000,143.0,,,,,,,,,,,,,,,,13.0
202101010100,143.0,,,,,,,,,,,,,,,,14.0
202101010200,143.0,,,,,,,,,,,,,,,,19.0
202101010300,143.0,,,,,,,,,,,,,,,,21.0
202101010400,143.0,,,,,,,,,,,,,,,,11.0
202101010500,143.0,,,,,,,,,,,,,,,,26.0
202101010600,143.0,,,,,,,,,,,,,,,,15.0
202101010700,143.0,,,,,,,,,,,,,,,,21.0
202101010800,143.0,,,,,,,,,,,,,,,,16.0
202101010900,143.0,,,,,,,,,,,,,,,,17.0
202101011000,143.0,,,,,,,,,,,,,,,,13.0
202101011100,143.0,,,,,,,,,,,,,,,,16.0
202101011200,143.0,,,,,,,,,,,,,,,,12.0
202101011300,143.0,,,,,,,,,,,,,,,,19.0
202101011400,143.0,,,,,,,,,,,,,,,,18.0
202101011500,143.0,,,,,,,,,,,,,,,,16.0
202101011600,143.0,,,,,,,,,,,,,,,,16.0
202101011700,143.0,,,,,,,,,,,,,,,,19.0
202101011800,143.0,,,,,,,,,,,,,,,,19.0
202101011900,143.0,,,,,,,,,,,,,,,,17.0
202101012000,143.0,,,,,,,,,,,,,,,,23.0
202101012100,143.0,,,,,,,,,,,,,,,,19.0
202101012200,143.0,,,,,,,,,,,,,,,,17.0
202101012300,143.0,,,,,,,,,,,,,,,,11.0
202101020000,143.0,36.0,0.8,1017.7,1024.7,-2.8,-4.9,85.0,4.2,-,1.0,1.0,Sc,1714.0,-3.1,3.0,20.0
202101020100,143.0,34.0,0.7,1018.0,1025.0,-3.6,-5.3,88.0,4.1,-,8.0,3.0,-,1525.0,-2.7,3.0,22.0
202101020200,143.0,25.0,0.6,1018.2,1025.2,-3.1,-5.1,86.0,4.2,-,8.0,6.0,-,1601.0,-2.2,3.0,23.0
202101020300,143.0,23.0,0.9,1018.5,1025.5,-2.1,-4.2,85.0,4.5,05,9.0,9.0,Sc,1530.0,-1.5,4.0,24.0
202101020400,143.0,32.0,1.3,1018.4,1025.4,-1.7,-3.7,86.0,4.6,05,5.0,5.0,Sc,1456.0,-2.4,4.0,24.0
202101020500,143.0,36.0,0.8,1018.5,1025.5,-2.3,-4.6,84.0,4.3,-,8.0,8.0,Sc,1411.0,-2.3,3.0,25.0
202101020600,143.0,32.0,1.9,1019.0,1026.0,-1.7,-4.3,82.0,4.4,-,3.0,3.0,Sc,1159.0,-2.3,3.0,23.0
202101020700,143.0,29.0,1.3,1019.4,1026.4,-2.1,-6.1,74.0,3.9,-,2.0,2.0,Sc,1652.0,-3.5,3.0,25.0
202101020800,143.0,32.0,1.3,1020.1,1027.1,-2.6,-5.7,79.0,4.0,-,3.0,3.0,Sc,1481.0,-3.7,3.0,25.0
202101020900,143.0,29.0,3.2,1020.8,1027.8,-1.4,-6.3,69.0,3.8,-,1.0,1.0,Sc,1762.0,-2.4,3.0,24.0
202101021000,143.0,29.0,2.6,1021.5,1028.4,-0.3,-7.5,58.0,3.5,-,2.0,2.0,Sc,1977.0,0.1,3.0,25.0
202101021100,143.0,32.0,3.9,1021.2,1028.1,0.2,-10.9,43.0,2.7,-,1.0,1.0,Sc,1920.0,2.5,3.0,32.0
202101021200,143.0,29.0,4.8,1020.8,1027.7,1.1,-14.1,31.0,2.1,-,3.0,3.0,Sc,1946.0,6.0,3.0,31.0
202101021300,143.0,29.0,5.6,1020.3,1027.2,1.7,-12.5,34.0,2.3,-,2.0,2.0,Sc,1971.0,7.9,3.0,30.0
202101021400,143.0,29.0,7.7,1019.8,1026.7,1.5,-12.3,35.0,2.4,-,0.0,0.0,-,1951.0,6.9,3.0,30.0
202101021500,143.0,29.0,5.9,1020.1,1027.0,1.6,-13.7,31.0,2.1,-,0.0,0.0,-,1997.0,6.7,3.0,27.0
202101021600,143.0,29.0,6.1,1020.1,1027.0,1.0,-14.6,30.0,2.0,-,0.0,0.0,-,1991.0,4.0,3.0,26.0
202101021700,143.0,29.0,4.7,1021.1,1028.0,0.2,-14.5,32.0,2.0,-,0.0,0.0,-,2000.0,0.3,3.0,34.0
202101021800,143.0,32.0,2.8,1022.0,1028.9,-0.6,-14.9,33.0,1.9,-,0.0,0.0,-,2000.0,-1.0,3.0,29.0
202101021900,143.0,29.0,4.9,1022.6,1029.6,-1.0,-14.5,35.0,2.0,-,0.0,0.0,-,2000.0,-1.5,3.0,33.0
202101022000,143.0,32.0,3.6,1023.2,1030.2,-1.4,-14.2,37.0,2.0,-,0.0,0.0,-,2000.0,-2.0,3.0,35.0
202101022100,143.0,29.0,3.9,1023.0,1030.0,-1.7,-14.5,37.0,2.0,-,0.0,0.0,-,2000.0,-2.4,3.0,27.0
202101022200,143.0,29.0,3.4,1023.0,1030.0,-2.2,-14.6,38.0,2.0,-,0.0,0.0,-,2000.0,-2.8,3.0,22.0
202101022300,143.0,32.0,3.4,1022.8,1029.8,-2.7,-14.4,40.0,2.0,-,0.0,0.0,-,2000.0,-3.1,3.0,20.0
202101030000,143.0,29.0,4.0,1023.3,1030.3,-2.8,-14.8,39.0,1.9,-,0.0,0.0,-,2000.0,-3.5,3.0,23.0
202101030100,143.0,29.0,4.4,1024.0,1031.0,-3.1,-14.2,42.0,2.0,-,0.0,0.0,-,2000.0,-3.5,3.0,95.0
202101030200,143.0,29.0,3.3,1024.8,1031.8,-3.1,-13.1,46.0,2.2,-,5.0,0.0,-,2000.0,-3.9,3.0,49.0
202101030300,143.0,29.0,2.9,1025.2,1032.2,-3.5,-12.6,49.0,2.3,-,4.0,0.0,Ci,1909.0,-4.1,3.0,41.0
202101030400,143.0,32.0,2.7,1025.5,1032.6,-3.6,-12.5,50.0,2.3,-,8.0,0.0,Ci,2000.0,-4.0,3.0,47.0
202101030500,143.0,32.0,2.3,1025.0,1032.1,-3.7,-12.3,51.0,2.4,-,9.0,0.0,Ci,2000.0,-3.9,3.0,43.0
202101030600,143.0,29.0,4.2,1026.5,1033.6,-3.4,-13.6,45.0,2.1,-,9.0,0.0,Ci,2000.0,-3.7,3.0,47.0
202101030700,143.0,29.0,4.4,1027.2,1034.3,-3.6,-14.9,41.0,1.9,-,9.0,0.0,Ci,2000.0,-4.0,3.0,34.0
202101030800,143.0,29.0,3.6,1027.2,1034.3,-4.0,-16.2,38.0,1.7,-,8.0,5.0,AcCi,2000.0,-4.2,3.0,30.0
202101030900,143.0,29.0,3.5,1027.2,1034.3,-3.3,-16.2,36.0,1.7,-,0.0,0.0,-,1998.0,-3.8,3.0,33.0
202101031000,143.0,29.0,5.1,1027.1,1034.1,-2.0,-15.1,36.0,1.9,-,2.0,0.0,Ci,1957.0,-0.1,3.0,26.0
202101031100,143.0,29.0,5.0,1026.4,1033.4,-0.3,-13.9,35.0,2.1,-,7.0,0.0,Ci,1998.0,3.2,3.0,26.0
202101031200,143.0,29.0,6.3,1026.2,1033.2,0.0,-14.3,33.0,2.0,-,8.0,6.0,AcCi,2000.0,5.0,3.0,34.0
202101031300,143.0,32.0,3.4,1025.5,1032.4,2.1,-12.5,33.0,2.3,-,8.0,0.0,Ci,1993.0,8.5,3.0,31.0
202101031400,143.0,32.0,4.5,1024.5,1031.4,1.2,-12.6,35.0,2.3,-,8.0,3.0,ScCi,2000.0,5.6,3.0,33.0
202101031500,143.0,29.0,5.7,1024.8,1031.7,1.7,-11.8,36.0,2.5,-,9.0,5.0,ScCi,2000.0,4.3,3.0,38.0
202101031600,143.0,32.0,3.6,1024.9,1031.8,1.2,-12.2,36.0,2.4,-,6.0,3.0,ScCi,2000.0,2.4,3.0,36.0
202101031700,143.0,29.0,4.6,1024.8,1031.7,0.9,-12.5,36.0,2.3,-,7.0,3.0,AcCi,2000.0,0.1,3.0,36.0
202101031800,143.0,32.0,3.6,1025.0,1031.9,0.3,-12.0,39.0,2.4,-,8.0,6.0,AcCi,2000.0,-0.3,3.0,29.0
202101031900,143.0,29.0,4.0,1025.7,1032.7,0.1,-11.3,42.0,2.6,-,10.0,7.0,-,2000.0,-0.7,3.0,33.0
202101032000,143.0,29.0,3.5,1025.4,1032.4,-0.2,-10.7,45.0,2.7,-,10.0,9.0,-,2000.0,-1.2,3.0,34.0
202101032100,143.0,29.0,4.9,1025.7,1032.7,-0.7,-10.3,48.0,2.8,-,3.0,0.0,Ci,1999.0,-1.7,3.0,36.0
202101032200,143.0,29.0,3.1,1025.5,1032.5,-1.0,-9.8,51.0,2.9,-,6.0,0.0,-,2000.0,-2.0,3.0,39.0
202101032300,143.0,29.0,4.1,1025.8,1032.8,-1.2,-9.5,53.0,3.0,-,9.0,8.0,-,1977.0,-1.9,3.0,25.0
202101040000,143.0,29.0,2.8,1026.0,1033.0,-1.5,-9.6,54.0,3.0,-,6.0,0.0,Ci,1987.0,-2.4,3.0,37.0
202101040100,143.0,29.0,3.6,1026.0,1033.0,-1.8,-9.4,56.0,3.0,-,6.0,0.0,-,1988.0,-2.4,3.0,3.0
202101040200,143.0,29.0,3.4,1026.0,1033.0,-2.1,-9.4,57.0,3.0,-,6.0,0.0,-,2000.0,-2.9,3.0,28.0
202101040300,143.0,29.0,3.4,1025.9,1032.9,-2.4,-9.3,59.0,3.0,-,0.0,0.0,-,1995.0,-3.3,3.0,24.0
