TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202101020000,156.0,5.0,0.6,1016.6,1025.5,0.7,-0.9,89.0,5.7,05,10.0,8.0,StNs,1666.0,1.0,4.0,19.0
202101020100,156.0,0.0,0.2,1016.7,1025.6,0.2,-0.5,95.0,5.9,05,8.0,8.0,-,258.0,0.8,1.0,21.0
202101020200,156.0,0.0,0.0,1016.8,1025.7,0.1,-0.3,97.0,6.0,05,8.0,6.0,-,135.0,0.7,1.0,20.0
202101020300,156.0,0.0,0.4,1016.5,1025.4,-0.1,-0.3,98.0,6.0,05,10.0,8.0,StNs,243.0,0.8,4.0,21.0
202101020400,156.0,0.0,0.2,1016.6,1025.5,0.2,0.0,98.0,6.1,05,10.0,8.0,StNs,154.0,0.9,4.0,16.0
202101020500,156.0,0.0,0.1,1016.4,1025.3,0.0,-0.2,98.0,6.0,1905,8.0,8.0,Sc,161.0,1.0,4.0,9.0
202101020600,156.0,0.0,0.1,1017.0,1025.9,0.1,-0.1,98.0,6.1,1905,10.0,8.0,StNs,194.0,1.1,4.0,18.0
202101020700,156.0,2.0,0.8,1017.6,1026.6,0.0,-0.2,98.0,6.0,1905,10.0,8.0,StNs,266.0,1.1,4.0,18.0
202101020800,156.0,7.0,2.4,1018.2,1027.2,-0.5,-0.9,97.0,5.7,1905,10.0,5.0,StNs,526.0,0.9,4.0,9.0
202101020900,156.0,5.0,2.3,1019.1,1028.1,-0.3,-1.1,94.0,5.6,1905,8.0,8.0,Sc,1020.0,0.8,1.0,16.0
202101021000,156.0,5.0,2.1,1020.0,1028.9,0.7,-2.5,79.0,5.1,-,5.0,5.0,Sc,1275.0,1.2,3.0,22.0
202101021100,156.0,5.0,2.4,1020.1,1029.0,1.4,-4.6,64.0,4.3,-,0.0,0.0,-,1494.0,4.8,3.0,38.0
202101021200,156.0,2.0,2.4,1019.8,1028.7,1.5,-6.5,55.0,3.8,-,2.0,2.0,Sc,1770.0,7.0,3.0,27.0
202101021300,156.0,2.0,3.3,1020.0,1028.9,2.2,-7.6,48.0,3.5,-,3.0,3.0,Sc,1855.0,9.1,3.0,32.0
202101021400,156.0,5.0,2.7,1019.8,1028.7,2.5,-7.9,46.0,3.4,-,1.0,1.0,Sc,1867.0,9.1,3.0,39.0
202101021500,156.0,5.0,3.2,1019.5,1028.4,2.4,-10.5,38.0,2.8,-,0.0,0.0,-,1923.0,7.6,3.0,41.0
202101021600,156.0,2.0,3.6,1019.8,1028.7,1.7,-12.8,33.0,2.3,-,0.0,0.0,-,2000.0,5.1,3.0,46.0
202101021700,156.0,36.0,1.6,1021.6,1030.6,0.2,-11.5,41.0,2.5,-,0.0,0.0,-,1990.0,1.7,3.0,53.0
202101021800,156.0,2.0,1.7,1022.2,1031.2,-0.6,-10.2,48.0,2.8,-,0.0,0.0,-,1998.0,0.9,3.0,45.0
202101021900,156.0,2.0,2.5,1022.3,1031.3,-1.0,-9.8,51.0,2.9,-,0.0,0.0,-,2000.0,0.4,3.0,30.0
202101022000,156.0,7.0,2.6,1022.1,1031.1,-1.9,-9.9,54.0,2.9,-,0.0,0.0,-,2000.0,0.1,3.0,29.0
202101022100,156.0,5.0,2.3,1022.1,1031.2,-2.3,-10.3,54.0,2.8,-,0.0,0.0,-,2000.0,-0.7,3.0,30.0
202101022200,156.0,5.0,2.3,1021.7,1030.8,-2.6,-10.4,55.0,2.8,-,0.0,0.0,-,2000.0,-1.4,3.0,23.0
202101022300,156.0,5.0,1.6,1022.8,1031.9,-3.1,-10.2,58.0,2.8,-,0.0,0.0,-,2000.0,-1.7,3.0,36.0
202101030000,156.0,2.0,1.1,1023.2,1032.3,-2.9,-10.2,57.0,2.8,-,0.0,0.0,-,2000.0,-1.9,3.0,27.0
202101030100,156.0,5.0,0.9,1024.1,1033.2,-2.6,-10.1,56.0,2.8,-,10.0,0.0,-,2000.0,-2.0,3.0,43.0
202101030200,156.0,5.0,2.0,1024.1,1033.2,-2.6,-8.8,62.0,3.1,-,10.0,7.0,-,2000.0,-1.7,3.0,28.0
202101030300,156.0,5.0,2.3,1024.2,1033.3,-2.7,-9.6,59.0,3.0,-,8.0,8.0,Ac,1995.0,-1.7,3.0,29.0
202101030400,156.0,5.0,3.7,1024.0,1033.1,-2.6,-10.1,56.0,2.8,-,9.0,9.0,Ac,2000.0,-1.8,3.0,35.0
202101030500,156.0,5.0,3.7,1024.6,1033.7,-2.7,-10.5,55.0,2.8,-,9.0,9.0,Ac,2000.0,-1.8,3.0,33.0
202101030600,156.0,5.0,3.0,1025.1,1034.2,-2.8,-10.3,56.0,2.8,-,9.0,9.0,Ac,2000.0,-1.9,3.0,25.0
202101030700,156.0,5.0,2.9,1025.1,1034.2,-2.9,-9.8,59.0,2.9,-,9.0,9.0,Ac,2000.0,-2.0,3.0,38.0
202101030800,156.0,5.0,3.1,1024.9,1034.0,-3.2,-10.5,57.0,2.8,-,7.0,0.0,Ci,2000.0,-2.6,3.0,25.0
202101030900,156.0,5.0,3.1,1025.2,1034.3,-2.2,-10.7,52.0,2.7,-,0.0,0.0,-,1925.0,-2.0,3.0,19.0
202101031000,156.0,5.0,2.9,1025.9,1034.9,-0.7,-11.1,45.0,2.6,-,0.0,0.0,-,1925.0,-0.4,3.0,36.0
202101031100,156.0,7.0,2.0,1025.6,1034.6,0.3,-11.1,42.0,2.6,-,8.0,0.0,Ci,1982.0,0.0,3.0,37.0
202101031200,156.0,7.0,1.9,1025.0,1034.0,1.1,-10.1,43.0,2.8,-,7.0,0.0,Ci,1864.0,1.8,3.0,28.0
202101031300,156.0,5.0,2.3,1024.0,1032.9,2.3,-8.7,44.0,3.2,-,7.0,0.0,Ci,1977.0,1.1,3.0,37.0
202101031400,156.0,2.0,2.2,1023.6,1032.5,3.4,-8.3,42.0,3.3,-,6.0,0.0,Ci,1891.0,5.2,3.0,32.0
202101031500,156.0,36.0,1.3,1023.8,1032.7,2.8,-7.4,47.0,3.5,-,9.0,9.0,Sc,1932.0,5.4,3.0,52.0
202101031600,156.0,5.0,0.8,1023.5,1032.4,2.3,-7.3,49.0,3.5,-,10.0,10.0,As,1864.0,3.4,3.0,38.0
202101031700,156.0,5.0,1.6,1023.6,1032.5,1.5,-7.5,51.0,3.5,-,10.0,10.0,As,1796.0,2.0,3.0,43.0
202101031800,156.0,5.0,1.4,1023.9,1032.9,0.8,-7.4,54.0,3.5,-,10.0,10.0,As,1765.0,0.8,3.0,41.0
202101031900,156.0,5.0,2.0,1024.0,1033.0,0.5,-7.5,55.0,3.5,-,10.0,10.0,-,1785.0,1.4,3.0,37.0
202101032000,156.0,5.0,2.1,1024.0,1033.0,0.1,-7.2,58.0,3.6,-,10.0,2.0,-,1636.0,0.7,3.0,30.0
202101032100,156.0,5.0,1.7,1024.1,1033.1,-0.3,-7.5,58.0,3.5,-,7.0,0.0,Ci,1571.0,0.4,3.0,36.0
202101032200,156.0,5.0,0.8,1024.2,1033.2,-0.5,-7.7,58.0,3.4,-,7.0,1.0,-,1598.0,0.3,3.0,39.0
202101032300,156.0,2.0,1.0,1024.5,1033.5,-0.7,-7.3,61.0,3.5,-,8.0,0.0,-,1549.0,0.2,3.0,45.0
202101040000,156.0,2.0,0.9,1024.3,1033.3,-1.3,-6.4,68.0,3.8,-,8.0,0.0,Ci,1395.0,0.0,3.0,31.0
202101040100,156.0,32.0,1.2,1024.5,1033.5,-1.2,-5.9,70.0,3.9,-,7.0,0.0,-,1291.0,-0.1,3.0,12.0
202101040200,156.0,2.0,1.3,1024.5,1033.6,-2.3,-6.3,74.0,3.8,-,0.0,0.0,-,1284.0,-0.3,3.0,25.0
202101040300,156.0,2.0,0.9,1024.3,1033.4,-2.5,-6.1,76.0,3.9,-,0.0,0.0,-,1232.0,-0.7,3.0,28.0
202101040400,156.0,34.0,0.6,1024.1,1033.2,-2.5,-5.9,77.0,3.9,-,0.0,0.0,-,1262.0,-1.0,3.0,34.0
202101040500,156.0,2.0,1.5,1023.8,1032.9,-2.9,-5.7,81.0,4.0,-,0.0,0.0,-,1150.0,-1.2,3.0,25.0
202101040600,156.0,5.0,1.2,1023.7,1032.8,-3.5,-5.8,84.0,4.0,-,0.0,0.0,-,1142.0,-1.4,3.0,26.0
202101040700,156.0,5.0,1.9,1023.0,1032.1,-2.8,-6.9,73.0,3.6,-,0.0,0.0,-,1651.0,-1.5,3.0,27.0
202101040800,156.0,27.0,0.5,1021.8,1030.9,-2.3,-8.1,64.0,3.3,-,0.0,0.0,-,1864.0,-1.5,3.0,15.0
202101040900,156.0,25.0,1.2,1023.0,1032.1,-2.8,-5.2,83.0,4.2,19,0.0,0.0,-,808.0,-1.2,3.0,49.0
202101041000,156.0,0.0,0.2,1024.1,1033.1,-0.7,-6.8,63.0,3.7,19,0.0,0.0,-,1204.0,-0.5,3.0,37.0
202101041100,156.0,7.0,0.8,1023.8,1032.8,0.8,-6.9,56.0,3.6,-,7.0,7.0,Sc,1329.0,-0.2,3.0,70.0
202101041200,156.0,2.0,0.6,1022.3,1031.2,3.6,-6.4,48.0,3.8,-,0.0,0.0,-,1608.0,1.9,3.0,31.0
202101041300,156.0,25.0,1.2,1021.7,1030.5,4.7,-5.1,49.0,4.2,-,5.0,5.0,Sc,1526.0,5.1,3.0,47.0
202101041400,156.0,2.0,0.6,1020.8,1029.6,5.8,-4.9,46.0,4.2,-,2.0,2.0,Sc,1581.0,8.3,3.0,54.0
202101041500,156.0,2.0,0.8,1020.3,1029.0,6.6,-3.6,48.0,4.7,-,7.0,7.0,Sc,1483.0,8.6,3.0,56.0
202101041600,156.0,2.0,0.9,1020.0,1028.8,5.6,-2.2,57.0,5.2,-,9.0,9.0,Sc,1439.0,6.9,3.0,48.0
202101041700,156.0,5.0,1.1,1019.6,1028.4,4.5,-2.3,61.0,5.2,-,4.0,4.0,Sc,1376.0,4.8,3.0,46.0
202101041800,156.0,5.0,0.6,1019.9,1028.7,4.1,-2.5,62.0,5.1,-,0.0,0.0,-,1332.0,2.5,3.0,40.0
202101041900,156.0,0.0,0.0,1020.2,1029.0,3.3,-1.2,72.0,5.6,-,4.0,0.0,-,1056.0,1.1,3.0,40.0
202101042000,156.0,0.0,0.3,1020.0,1028.9,2.7,-0.2,81.0,6.0,19,8.0,3.0,-,825.0,0.9,3.0,51.0
202101042100,156.0,20.0,0.6,1020.6,1029.5,2.2,-0.3,83.0,6.0,19,8.0,0.0,Ci,1036.0,0.8,3.0,37.0
202101042200,156.0,0.0,0.2,1020.2,1029.1,1.9,-0.2,86.0,6.0,19,10.0,9.0,-,707.0,0.8,3.0,40.0
202101042300,156.0,0.0,0.2,1020.1,1029.0,1.4,-0.3,88.0,6.0,19,8.0,8.0,-,616.0,0.7,3.0,41.0
202101050000,156.0,0.0,0.0,1020.2,1029.1,1.7,0.2,90.0,6.2,19,10.0,6.0,ScCi,592.0,0.7,3.0,47.0
202101050100,156.0,0.0,0.2,1019.8,1028.7,1.3,0.2,93.0,6.2,19,10.0,3.0,-,510.0,0.7,3.0,64.0
202101050200,156.0,0.0,0.3,1019.8,1028.7,1.2,0.0,92.0,6.1,19,9.0,0.0,-,514.0,0.7,3.0,46.0
202101050300,156.0,36.0,0.8,1019.7,1028.6,1.1,0.0,92.0,6.1,1901,10.0,9.0,ScAs,510.0,0.8,4.0,40.0
202101050400,156.0,25.0,0.9,1019.2,1028.1,1.2,0.1,93.0,6.2,1901,10.0,8.0,StNs,529.0,0.9,4.0,38.0
