TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,146.0,43.0,146,11,1.4,-9,-9.0,-9,1017.4,1025.1,4,0.0,-0.8,-5.7,69.0,4.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,10,Sc,0,0,5,2000,-9.0,-9.0,-9,-1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101020100,146.0,32.0,146,14,0.7,-9,-9.0,-9,1017.3,1025.0,-9,-9.0,-0.7,-5.5,70.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,3,15,-,-9,-9,-9,1945,-9.0,-9.0,-9,-1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101020200,146.0,39.0,146,32,1.4,-9,-9.0,-9,1018.2,1025.9,-9,-9.0,-0.9,-4.2,78.0,4.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,70,72,05,8,8,10,Sc,0,0,5,584,-9.0,-9.0,-9,-0.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020300,146.0,53.0,146,11,0.5,-9,-9.0,-9,1018.1,1025.8,0,0.7,-1.0,-3.0,86.0,4.9,0.0,0.0,0.0,-9.0,0.1,0.1,0.1,71,77,05,8,8,10,Sc,0,0,5,511,-9.0,-9.0,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020400,146.0,46.0,146,14,0.8,-9,-9.0,-9,1017.8,1025.5,-9,-9.0,-0.9,-2.7,87.0,5.0,-9.0,0.0,0.0,-9.0,-9.0,0.1,0.1,71,77,05,8,8,10,Sc,0,0,5,812,-9.0,-9.0,-9,-0.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020500,146.0,33.0,146,0,0.3,-9,-9.0,-9,1018.1,1025.8,-9,-9.0,-0.8,-2.6,87.0,5.0,-9.0,0.0,0.0,-9.0,-9.0,0.1,0.1,70,77,05,9,9,10,Sc,0,0,5,859,-9.0,-9.0,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020600,146.0,26.0,146,34,1.0,-9,-9.0,-9,1018.8,1026.5,3,0.7,-0.8,-4.3,77.0,4.4,0.0,0.0,0.0,-9.0,0.0,0.1,0.1,70,77,05,9,9,12,Sc,0,0,5,1283,-9.0,-9.0,-9,-0.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020700,146.0,52.0,146,32,2.0,-9,-9.0,-9,1019.5,1027.3,-9,-9.0,-1.9,-4.0,85.0,4.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,22,72,1905,9,9,10,Sc,0,0,5,581,-9.0,-9.0,-9,-1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
202101020800,146.0,54.0,146,32,1.5,-9,-9.0,-9,1020.0,1027.8,-9,-9.0,-2.3,-5.1,81.0,4.2,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,8,15,Sc,0,0,5,682,0.0,0.01,-9,-1.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202101020900,146.0,53.0,146,32,2.7,-9,-9.0,-9,1021.1,1028.9,2,2.4,-2.4,-7.3,69.0,3.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,4,4,13,Sc,0,0,5,1270,0.2,0.21,-9,-1.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021000,146.0,40.0,146,36,1.3,-9,-9.0,-9,1021.9,1029.7,-9,-9.0,-1.3,-11.1,47.0,2.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,11,Sc,-9,-9,-9,1950,0.4,0.62,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021100,146.0,29.0,146,36,2.8,-9,-9.0,-9,1022.1,1029.8,-9,-9.0,-0.9,-14.1,36.0,2.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.4,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021200,146.0,23.0,146,34,4.5,-9,-9.0,-9,1021.9,1029.6,0,0.7,-0.2,-13.8,35.0,2.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,13,Sc,0,0,5,2000,1.0,1.75,-9,1.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021300,146.0,30.0,146,34,3.5,-9,-9.0,-9,1021.6,1029.3,-9,-9.0,0.4,-12.9,36.0,2.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.89,-9,7.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021400,146.0,26.0,146,34,2.4,-9,-9.0,-9,1021.6,1029.3,-9,-9.0,0.7,-11.3,40.0,2.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.8,-9,8.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021500,146.0,24.0,146,32,4.6,-9,-9.0,-9,1021.3,1029.0,7,-0.6,0.5,-11.5,40.0,2.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.48,-9,6.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021600,146.0,26.0,146,34,4.2,-9,-9.0,-9,1021.6,1029.3,-9,-9.0,0.4,-11.6,40.0,2.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,0.98,-9,2.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021700,146.0,37.0,146,34,3.7,-9,-9.0,-9,1022.5,1030.2,-9,-9.0,-0.3,-11.1,44.0,2.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,0.41,-9,0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021800,146.0,42.0,146,34,2.4,-9,-9.0,-9,1023.3,1031.1,2,2.1,-1.1,-11.5,45.0,2.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1992,0.2,0.03,-9,-0.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101021900,146.0,54.0,146,29,1.5,-9,-9.0,-9,1023.8,1031.6,-9,-9.0,-1.9,-10.2,53.0,2.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1965,-9.0,-9.0,-9,-2.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101022000,146.0,49.0,146,34,1.4,-9,-9.0,-9,1024.0,1031.8,-9,-9.0,-2.6,-9.5,59.0,3.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1912,-9.0,-9.0,-9,-3.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101022100,146.0,44.0,146,34,1.7,-9,-9.0,-9,1023.6,1031.4,0,0.3,-2.8,-10.6,55.0,2.7,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1798,-9.0,-9.0,-9,-4.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101022200,146.0,43.0,146,2,1.4,-9,-9.0,-9,1023.4,1031.2,-9,-9.0,-2.9,-10.4,56.0,2.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1942,-9.0,-9.0,-9,-5.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101022300,146.0,42.0,146,0,0.3,-9,-9.0,-9,1023.9,1031.7,-9,-9.0,-3.4,-11.1,55.0,2.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1935,-9.0,-9.0,-9,-5.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101030000,146.0,34.0,146,0,0.0,-9,-9.0,-9,1024.3,1032.1,3,0.7,-2.6,-10.4,55.0,2.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1967,-9.0,-9.0,-9,-5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202101030100,146.0,39.0,146,0,0.0,-9,-9.0,-9,1025.2,1033.1,-9,-9.0,-4.1,-9.5,66.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,0,-9,-,-9,-9,-9,1589,-9.0,-9.0,-9,-5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202101030200,146.0,49.0,146,0,0.4,-9,-9.0,-9,1025.8,1033.7,-9,-9.0,-4.4,-9.2,69.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,0,-9,-,-9,-9,-9,1598,-9.0,-9.0,-9,-5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
