TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202101020000,146.0,11.0,1.4,1017.4,1025.1,-0.8,-5.7,69.0,4.0,-,7.0,7.0,Sc,2000.0,-1.1,3.0,43.0
202101020100,146.0,14.0,0.7,1017.3,1025.0,-0.7,-5.5,70.0,4.1,-,8.0,3.0,-,1945.0,-1.0,3.0,32.0
202101020200,146.0,32.0,1.4,1018.2,1025.9,-0.9,-4.2,78.0,4.5,05,8.0,8.0,Sc,584.0,-0.6,4.0,39.0
202101020300,146.0,11.0,0.5,1018.1,1025.8,-1.0,-3.0,86.0,4.9,05,8.0,8.0,Sc,511.0,-0.4,4.0,53.0
202101020400,146.0,14.0,0.8,1017.8,1025.5,-0.9,-2.7,87.0,5.0,05,8.0,8.0,Sc,812.0,-0.6,4.0,46.0
202101020500,146.0,0.0,0.3,1018.1,1025.8,-0.8,-2.6,87.0,5.0,05,9.0,9.0,Sc,859.0,-0.5,4.0,33.0
202101020600,146.0,34.0,1.0,1018.8,1026.5,-0.8,-4.3,77.0,4.4,05,9.0,9.0,Sc,1283.0,-0.6,4.0,26.0
202101020700,146.0,32.0,2.0,1019.5,1027.3,-1.9,-4.0,85.0,4.5,1905,9.0,9.0,Sc,581.0,-1.0,4.0,52.0
202101020800,146.0,32.0,1.5,1020.0,1027.8,-2.3,-5.1,81.0,4.2,19,8.0,8.0,Sc,682.0,-1.2,3.0,54.0
202101020900,146.0,32.0,2.7,1021.1,1028.9,-2.4,-7.3,69.0,3.5,19,4.0,4.0,Sc,1270.0,-1.3,3.0,53.0
202101021000,146.0,36.0,1.3,1021.9,1029.7,-1.3,-11.1,47.0,2.6,-,2.0,2.0,Sc,1950.0,-0.4,3.0,40.0
202101021100,146.0,36.0,2.8,1022.1,1029.8,-0.9,-14.1,36.0,2.1,-,0.0,0.0,-,2000.0,0.8,3.0,29.0
202101021200,146.0,34.0,4.5,1021.9,1029.6,-0.2,-13.8,35.0,2.1,-,1.0,1.0,Sc,2000.0,1.9,3.0,23.0
202101021300,146.0,34.0,3.5,1021.6,1029.3,0.4,-12.9,36.0,2.3,-,0.0,0.0,-,2000.0,7.5,3.0,30.0
202101021400,146.0,34.0,2.4,1021.6,1029.3,0.7,-11.3,40.0,2.6,-,0.0,0.0,-,2000.0,8.9,3.0,26.0
202101021500,146.0,32.0,4.6,1021.3,1029.0,0.5,-11.5,40.0,2.5,-,0.0,0.0,-,2000.0,6.7,3.0,24.0
202101021600,146.0,34.0,4.2,1021.6,1029.3,0.4,-11.6,40.0,2.5,-,0.0,0.0,-,2000.0,2.8,3.0,26.0
202101021700,146.0,34.0,3.7,1022.5,1030.2,-0.3,-11.1,44.0,2.6,-,0.0,0.0,-,2000.0,0.3,3.0,37.0
202101021800,146.0,34.0,2.4,1023.3,1031.1,-1.1,-11.5,45.0,2.5,-,0.0,0.0,-,1992.0,-0.6,3.0,42.0
202101021900,146.0,29.0,1.5,1023.8,1031.6,-1.9,-10.2,53.0,2.8,-,0.0,0.0,-,1965.0,-2.6,3.0,54.0
202101022000,146.0,34.0,1.4,1024.0,1031.8,-2.6,-9.5,59.0,3.0,-,0.0,0.0,-,1912.0,-3.5,3.0,49.0
202101022100,146.0,34.0,1.7,1023.6,1031.4,-2.8,-10.6,55.0,2.7,-,0.0,0.0,-,1798.0,-4.2,3.0,44.0
202101022200,146.0,2.0,1.4,1023.4,1031.2,-2.9,-10.4,56.0,2.8,-,0.0,0.0,-,1942.0,-5.0,3.0,43.0
202101022300,146.0,0.0,0.3,1023.9,1031.7,-3.4,-11.1,55.0,2.6,-,0.0,0.0,-,1935.0,-5.4,3.0,42.0
202101030000,146.0,0.0,0.0,1024.3,1032.1,-2.6,-10.4,55.0,2.8,-,0.0,0.0,-,1967.0,-5.8,3.0,34.0
202101030100,146.0,0.0,0.0,1025.2,1033.1,-4.1,-9.5,66.0,3.0,-,5.0,0.0,-,1589.0,-5.8,3.0,39.0
202101030200,146.0,0.0,0.4,1025.8,1033.7,-4.4,-9.2,69.0,3.0,-,6.0,0.0,-,1598.0,-5.8,3.0,49.0
202101030300,146.0,9.0,1.2,1026.5,1034.4,-5.1,-9.5,71.0,3.0,-,7.0,0.0,Ci,1472.0,-5.5,3.0,34.0
202101030400,146.0,5.0,1.1,1026.3,1034.2,-5.2,-9.8,70.0,2.9,-,9.0,0.0,Ci,1633.0,-5.3,3.0,41.0
202101030500,146.0,5.0,1.1,1026.7,1034.6,-4.4,-11.0,60.0,2.6,-,9.0,0.0,Ci,1912.0,-5.2,3.0,31.0
202101030600,146.0,2.0,1.7,1027.3,1035.2,-4.0,-14.2,45.0,2.0,-,8.0,0.0,Ci,1998.0,-5.8,3.0,35.0
202101030700,146.0,0.0,0.0,1027.2,1035.1,-4.2,-15.2,42.0,1.9,-,8.0,0.0,Ci,2000.0,-6.0,3.0,26.0
202101030800,146.0,0.0,0.2,1027.0,1034.9,-5.2,-10.7,65.0,2.7,-,2.0,0.0,Ci,1805.0,-6.8,3.0,33.0
202101030900,146.0,0.0,0.0,1027.3,1035.2,-3.3,-11.0,55.0,2.6,-,0.0,0.0,-,1999.0,-3.8,3.0,30.0
202101031000,146.0,36.0,0.5,1027.5,1035.3,-1.8,-11.9,46.0,2.5,-,0.0,0.0,-,2000.0,-0.3,3.0,21.0
202101031100,146.0,36.0,2.2,1027.3,1035.1,-0.7,-10.6,47.0,2.7,-,8.0,0.0,Ci,2000.0,1.5,3.0,20.0
202101031200,146.0,34.0,1.5,1026.4,1034.2,-0.1,-10.9,44.0,2.7,-,8.0,0.0,Ci,2000.0,2.3,3.0,22.0
202101031300,146.0,36.0,0.8,1025.8,1033.5,0.6,-10.2,44.0,2.8,-,9.0,0.0,Ci,2000.0,2.6,3.0,19.0
202101031400,146.0,32.0,2.0,1025.4,1033.1,1.0,-8.8,48.0,3.1,-,9.0,0.0,Ci,2000.0,3.0,3.0,24.0
202101031500,146.0,29.0,1.9,1025.6,1033.3,0.7,-8.5,50.0,3.2,-,9.0,0.0,Ci,2000.0,2.5,3.0,37.0
202101031600,146.0,32.0,1.8,1025.2,1032.9,0.1,-9.1,50.0,3.1,-,9.0,0.0,Ci,1995.0,1.2,3.0,41.0
202101031700,146.0,34.0,1.6,1025.4,1033.2,-0.3,-8.7,53.0,3.2,-,9.0,0.0,Ci,1941.0,0.3,3.0,44.0
202101031800,146.0,32.0,0.6,1025.5,1033.3,-0.5,-8.6,54.0,3.2,-,9.0,0.0,Ci,1725.0,0.2,3.0,37.0
202101031900,146.0,32.0,0.8,1025.6,1033.4,-0.8,-8.4,56.0,3.2,-,10.0,10.0,-,1659.0,0.1,3.0,47.0
202101032000,146.0,34.0,0.5,1025.5,1033.3,-0.9,-8.3,57.0,3.3,-,10.0,10.0,-,1559.0,-0.3,3.0,53.0
202101032100,146.0,34.0,1.2,1025.6,1033.4,-1.6,-8.1,61.0,3.3,-,9.0,0.0,Ci,1327.0,-1.3,3.0,62.0
202101032200,146.0,32.0,0.6,1026.0,1033.8,-1.9,-8.6,60.0,3.2,-,10.0,7.0,-,1445.0,-2.2,3.0,66.0
202101032300,146.0,0.0,0.3,1025.9,1033.7,-2.1,-8.2,63.0,3.3,-,8.0,0.0,-,1332.0,-2.7,3.0,65.0
202101040000,146.0,11.0,1.2,1026.0,1033.8,-2.7,-7.7,68.0,3.4,-,8.0,0.0,Ci,1289.0,-2.9,3.0,63.0
202101040100,146.0,11.0,1.1,1026.1,1034.0,-3.3,-7.6,72.0,3.5,-,4.0,0.0,-,1220.0,-3.7,3.0,53.0
202101040200,146.0,7.0,1.2,1026.3,1034.2,-4.4,-8.0,76.0,3.3,-,0.0,0.0,-,1164.0,-4.2,3.0,52.0
202101040300,146.0,11.0,0.8,1025.8,1033.7,-4.4,-8.0,76.0,3.3,-,0.0,0.0,-,1141.0,-4.4,3.0,46.0
202101040400,146.0,0.0,0.4,1025.5,1033.4,-4.7,-8.2,76.0,3.3,-,0.0,0.0,-,1115.0,-4.6,3.0,51.0
202101040500,146.0,14.0,1.1,1025.1,1033.0,-5.4,-8.3,80.0,3.3,-,0.0,0.0,-,1100.0,-4.7,3.0,48.0
