TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,IX,PM10
202201020000,146.0,0.0,0.3,1020.8,1028.6,-1.6,-9.7,54.0,2.9,-,7.0,7.0,Ac,1998.0,-3.0,3.0,2.0,49.0
202201020100,146.0,0.0,0.1,1020.5,1028.3,-2.3,-8.6,62.0,3.2,-,8.0,8.0,-,1891.0,-3.7,3.0,,49.0
202201020200,146.0,11.0,1.3,1020.2,1028.0,-2.9,-9.3,61.0,3.0,-,0.0,0.0,-,1985.0,-4.7,3.0,,47.0
202201020300,146.0,14.0,0.9,1020.2,1028.0,-3.8,-9.2,66.0,3.0,-,0.0,0.0,-,1912.0,-5.3,3.0,2.0,33.0
202201020400,146.0,14.0,1.1,1019.3,1027.1,-3.8,-9.4,65.0,3.0,-,0.0,0.0,-,1917.0,-5.5,3.0,2.0,41.0
202201020500,146.0,14.0,1.6,1017.9,1025.7,-4.1,-10.7,60.0,2.7,-,0.0,0.0,-,2000.0,-5.4,3.0,2.0,29.0
202201020600,146.0,9.0,1.6,1018.2,1026.0,-2.4,-11.4,50.0,2.6,-,4.0,4.0,Sc,2000.0,-4.8,3.0,2.0,17.0
202201020700,146.0,14.0,0.9,1018.6,1026.3,-1.5,-10.3,51.0,2.8,-,8.0,8.0,Sc,2000.0,-1.6,3.0,2.0,19.0
202201020800,146.0,2.0,0.5,1019.2,1026.9,-1.0,-10.9,47.0,2.7,-,9.0,9.0,Sc,2000.0,-1.3,3.0,2.0,15.0
202201020900,146.0,11.0,1.0,1019.3,1027.0,-0.1,-10.0,47.0,2.9,-,2.0,2.0,Sc,2000.0,-0.9,3.0,2.0,19.0
202201021000,146.0,14.0,1.5,1019.6,1027.2,2.5,-9.4,41.0,3.0,-,4.0,4.0,Sc,2000.0,3.2,3.0,2.0,20.0
202201021100,146.0,34.0,1.7,1020.5,1028.2,1.2,-4.8,64.0,4.3,06,9.0,9.0,Sc,1857.0,3.1,4.0,1.0,37.0
202201021200,146.0,0.0,0.4,1020.2,1027.8,2.8,-5.1,56.0,4.2,-,9.0,9.0,Sc,1974.0,3.6,3.0,2.0,43.0
202201021300,146.0,27.0,1.7,1019.6,1027.2,4.7,-1.9,62.0,5.3,-,4.0,4.0,Sc,1247.0,8.5,3.0,2.0,47.0
202201021400,146.0,32.0,1.9,1018.8,1026.3,5.7,-2.4,56.0,5.1,40,4.0,4.0,Sc,910.0,10.4,3.0,1.0,57.0
202201021500,146.0,25.0,2.6,1018.5,1026.0,5.5,-2.8,55.0,5.0,40,2.0,2.0,Sc,767.0,6.0,3.0,1.0,77.0
202201021600,146.0,25.0,2.6,1018.5,1026.0,5.4,-1.7,60.0,5.4,40,3.0,3.0,Sc,608.0,5.0,3.0,1.0,87.0
202201021700,146.0,27.0,2.7,1018.8,1026.4,3.7,-2.9,62.0,4.9,40,0.0,0.0,-,1168.0,1.2,3.0,2.0,78.0
202201021800,146.0,25.0,2.2,1019.2,1026.8,2.5,-4.2,61.0,4.5,-,0.0,0.0,-,1490.0,-0.3,3.0,2.0,47.0
202201021900,146.0,25.0,1.9,1019.8,1027.5,1.3,-5.1,62.0,4.2,-,0.0,0.0,-,2000.0,-1.6,3.0,,40.0
202201022000,146.0,23.0,1.6,1020.2,1027.9,0.8,-5.4,63.0,4.1,-,0.0,0.0,-,2000.0,-2.5,3.0,,26.0
202201022100,146.0,23.0,1.6,1020.4,1028.1,0.1,-5.9,64.0,3.9,-,0.0,0.0,-,2000.0,-3.2,3.0,2.0,26.0
202201022200,146.0,11.0,0.9,1020.2,1027.9,-0.5,-5.4,69.0,4.1,-,0.0,0.0,-,1947.0,-4.2,3.0,,28.0
202201022300,146.0,14.0,0.9,1020.2,1028.0,-1.9,-5.4,77.0,4.1,-,0.0,0.0,-,1174.0,-4.9,3.0,,30.0
202201030000,146.0,0.0,0.3,1020.4,1028.2,-2.4,-5.5,79.0,4.1,-,0.0,0.0,-,1201.0,-5.6,3.0,2.0,39.0
202201030100,146.0,11.0,0.7,1020.2,1028.0,-2.8,-5.7,80.0,4.0,-,0.0,0.0,-,1150.0,-5.9,3.0,,36.0
202201030200,146.0,14.0,0.7,1020.2,1028.0,-3.6,-6.0,83.0,3.9,-,0.0,0.0,-,1190.0,-6.4,3.0,,32.0
202201030300,146.0,11.0,1.1,1020.2,1028.0,-3.8,-6.4,82.0,3.8,-,0.0,0.0,-,1183.0,-6.7,3.0,2.0,46.0
202201030400,146.0,11.0,1.7,1019.7,1027.6,-4.9,-7.0,85.0,3.6,-,0.0,0.0,-,1157.0,-6.6,3.0,2.0,26.0
202201030500,146.0,11.0,0.7,1020.0,1027.9,-4.8,-6.9,85.0,3.6,-,2.0,0.0,Ci,1328.0,-6.3,3.0,2.0,26.0
202201030600,146.0,11.0,1.2,1020.5,1028.4,-5.0,-7.2,84.0,3.6,-,1.0,0.0,Ci,1269.0,-6.3,3.0,2.0,29.0
202201030700,146.0,14.0,1.4,1020.1,1028.0,-5.5,-7.6,85.0,3.5,-,1.0,0.0,Ci,1350.0,-7.3,3.0,2.0,24.0
202201030800,146.0,11.0,1.2,1020.0,1027.9,-5.2,-7.7,82.0,3.4,-,0.0,0.0,-,1417.0,-7.1,3.0,2.0,24.0
202201030900,146.0,11.0,0.7,1020.1,1027.9,-3.3,-7.8,71.0,3.4,-,0.0,0.0,-,1579.0,-4.3,3.0,2.0,33.0
202201031000,146.0,27.0,0.5,1020.8,1028.5,-0.6,-7.8,58.0,3.4,-,3.0,0.0,Ci,1983.0,3.7,3.0,2.0,28.0
202201031100,146.0,36.0,0.6,1020.5,1028.2,0.9,-5.7,61.0,4.0,-,1.0,0.0,Ci,1452.0,4.7,3.0,2.0,43.0
202201031200,146.0,36.0,1.1,1020.1,1027.7,2.1,-7.7,48.0,3.4,-,0.0,0.0,-,2000.0,8.5,3.0,2.0,38.0
202201031300,146.0,36.0,1.9,1018.8,1026.4,2.5,-7.4,48.0,3.5,-,1.0,0.0,Ci,2000.0,10.8,3.0,2.0,1.0
202201031400,146.0,29.0,2.1,1018.2,1025.8,3.2,-7.6,45.0,3.5,-,0.0,0.0,-,2000.0,9.4,3.0,2.0,10.0
202201031500,146.0,34.0,1.8,1017.8,1025.4,3.3,-7.2,46.0,3.6,-,0.0,0.0,-,2000.0,8.0,3.0,2.0,24.0
202201031600,146.0,34.0,1.6,1017.9,1025.5,3.7,-6.5,47.0,3.8,-,0.0,0.0,-,2000.0,4.5,3.0,2.0,24.0
202201031700,146.0,25.0,1.2,1018.0,1025.6,2.9,-6.0,52.0,3.9,-,0.0,0.0,-,2000.0,0.2,3.0,2.0,24.0
202201031800,146.0,27.0,1.1,1018.3,1025.9,2.1,-4.4,62.0,4.4,-,0.0,0.0,-,2000.0,-0.5,3.0,2.0,24.0
202201031900,146.0,23.0,1.0,1018.5,1026.1,1.6,-4.2,65.0,4.5,-,0.0,0.0,-,2000.0,-1.5,3.0,,18.0
202201032000,146.0,11.0,1.5,1018.5,1026.2,0.1,-4.9,69.0,4.2,-,0.0,0.0,-,2000.0,-2.4,3.0,,31.0
202201032100,146.0,14.0,1.8,1018.5,1026.2,-0.4,-5.2,70.0,4.2,-,0.0,0.0,-,1997.0,-2.8,3.0,2.0,46.0
202201032200,146.0,11.0,1.5,1018.4,1026.1,-0.8,-5.4,71.0,4.1,-,1.0,1.0,-,1997.0,-2.7,3.0,,32.0
202201032300,146.0,14.0,2.0,1018.4,1026.1,-1.0,-5.4,72.0,4.1,-,1.0,1.0,-,2000.0,-2.1,3.0,,22.0
202201040000,146.0,14.0,1.2,1018.0,1025.7,-0.3,-4.7,72.0,4.3,-,8.0,8.0,Sc,1975.0,-0.8,3.0,2.0,19.0
202201040100,146.0,14.0,1.4,1017.7,1025.4,-0.1,-4.9,70.0,4.2,-,0.0,0.0,-,2000.0,-1.9,3.0,,28.0
202201040200,146.0,11.0,1.2,1018.3,1026.0,0.4,-4.4,70.0,4.4,10,8.0,8.0,Sc,2000.0,-0.7,4.0,1.0,18.0
202201040300,146.0,14.0,1.6,1018.7,1026.4,0.1,-3.9,74.0,4.6,10,7.0,7.0,Sc,2000.0,-2.0,4.0,1.0,29.0
202201040400,146.0,14.0,1.6,1018.3,1026.0,-0.2,-3.9,76.0,4.6,-,6.0,6.0,Sc,1988.0,-3.2,3.0,2.0,24.0
202201040500,146.0,14.0,1.1,1018.6,1026.3,0.1,-3.6,76.0,4.7,-,8.0,8.0,Sc,1987.0,-0.8,3.0,2.0,23.0
202201040600,146.0,34.0,1.8,1019.5,1027.2,-0.1,-3.3,79.0,4.8,-,8.0,8.0,Sc,1752.0,-0.8,3.0,2.0,23.0
202201040700,146.0,27.0,0.7,1020.2,1027.9,-0.1,-2.9,81.0,4.9,-,4.0,4.0,Sc,1194.0,-3.4,3.0,2.0,40.0
202201040800,146.0,32.0,1.0,1020.4,1028.1,-0.3,-3.1,81.0,4.9,-,1.0,1.0,Sc,1197.0,-3.7,3.0,2.0,42.0
202201040900,146.0,34.0,2.0,1021.0,1028.7,0.6,-4.2,70.0,4.5,-,0.0,0.0,-,1216.0,-1.6,3.0,2.0,46.0
202201041000,146.0,32.0,2.1,1021.8,1029.5,1.6,-6.4,55.0,3.8,-,0.0,0.0,-,1956.0,4.0,3.0,2.0,35.0
202201041100,146.0,34.0,1.7,1021.3,1028.9,2.7,-8.9,42.0,3.1,-,0.0,0.0,-,2000.0,5.6,3.0,2.0,25.0
202201041200,146.0,27.0,1.7,1020.7,1028.3,3.4,-9.6,38.0,3.0,-,0.0,0.0,-,2000.0,9.0,3.0,2.0,28.0
202201041300,146.0,32.0,1.4,1019.9,1027.5,4.1,-10.7,33.0,2.7,-,0.0,0.0,-,2000.0,13.1,3.0,2.0,24.0
202201041400,146.0,34.0,2.3,1019.5,1027.1,4.5,-9.3,36.0,3.0,-,0.0,0.0,-,2000.0,13.4,3.0,2.0,23.0
202201041500,146.0,32.0,2.7,1019.3,1026.9,4.4,-10.5,33.0,2.8,-,0.0,0.0,-,2000.0,10.2,3.0,2.0,33.0
