TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202201020000,136.0,0.0,0.1,1011.1,1029.5,-7.3,-15.4,52.0,1.8,-,0.0,0.0,-,2000.0,-8.4,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202201020100,136.0,0.0,0.4,1010.9,1029.4,-8.3,-15.5,56.0,1.8,-,6.0,1.0,-,1984.0,-8.7,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202201020200,136.0,0.0,0.1,1010.7,1029.2,-8.5,-15.0,59.0,1.9,-,3.0,3.0,-,1987.0,-8.7,-99.0,-99.0,-99.0,-99.0,3.0,27.0
202201020300,136.0,0.0,0.0,1010.5,1029.0,-8.8,-14.9,61.0,1.9,-,0.0,0.0,-,2000.0,-9.4,-99.0,-99.0,-99.0,-99.0,3.0,27.0
202201020400,136.0,0.0,0.0,1009.8,1028.4,-10.2,-15.1,67.0,1.9,-,0.0,0.0,-,1996.0,-9.9,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202201020500,136.0,34.0,0.5,1009.1,1027.7,-9.9,-15.2,65.0,1.9,-,0.0,0.0,-,2000.0,-9.9,-99.0,-99.0,-99.0,-99.0,3.0,24.0
202201020600,136.0,11.0,0.7,1008.9,1027.5,-9.4,-14.5,66.0,2.0,-,2.0,2.0,Ac,1999.0,-9.9,-99.0,-99.0,-99.0,-99.0,3.0,23.0
202201020700,136.0,0.0,0.1,1009.1,1027.8,-11.0,-15.0,72.0,1.9,-,3.0,3.0,Ac,1994.0,-10.0,-99.0,-99.0,-99.0,-99.0,3.0,23.0
202201020800,136.0,32.0,0.5,1009.3,1027.9,-9.5,-14.4,67.0,2.0,-,8.0,8.0,Sc,1858.0,-6.5,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202201020900,136.0,14.0,0.6,1009.1,1027.5,-7.4,-13.4,62.0,2.2,-,6.0,6.0,Sc,1912.0,-4.6,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202201021000,136.0,27.0,0.6,1009.4,1027.6,-4.6,-13.7,49.0,2.1,-,8.0,8.0,Sc,1940.0,-0.4,-99.0,-99.0,-99.0,-99.0,3.0,28.0
202201021100,136.0,0.0,0.2,1009.7,1027.8,-2.4,-13.3,43.0,2.2,-,8.0,8.0,Sc,1982.0,1.1,-99.0,-99.0,-99.0,-99.0,3.0,28.0
202201021200,136.0,32.0,0.8,1008.8,1026.7,-0.8,-11.5,44.0,2.5,-,8.0,8.0,Sc,1993.0,3.3,-99.0,-99.0,-99.0,-99.0,3.0,17.0
202201021300,136.0,29.0,1.8,1008.0,1025.6,3.7,-6.3,48.0,3.8,-,5.0,5.0,Sc,1580.0,8.8,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202201021400,136.0,25.0,2.1,1007.4,1024.9,4.5,-5.8,47.0,4.0,40,6.0,6.0,Sc,956.0,6.8,-99.0,-99.0,-99.0,-99.0,3.0,41.0
202201021500,136.0,29.0,3.3,1007.0,1024.5,5.5,-7.7,38.0,3.4,40,0.0,0.0,-,778.0,4.4,-99.0,-99.0,-99.0,-99.0,3.0,57.0
202201021600,136.0,29.0,2.4,1007.2,1024.7,5.5,-10.3,31.0,2.8,40,0.0,0.0,-,989.0,2.0,-99.0,-99.0,-99.0,-99.0,3.0,54.0
202201021700,136.0,29.0,3.0,1007.6,1025.2,4.0,-11.2,32.0,2.6,40,0.0,0.0,-,1123.0,-1.1,-99.0,-99.0,-99.0,-99.0,3.0,45.0
