TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202201020000,143.0,0.0,0.3,1021.1,1028.1,-3.1,-14.2,42.0,2.0,-,4.0,0.0,Ci,1985.0,-3.7,-99.0,-99.0,-99.0,-99.0,3.0,11.0
202201020100,143.0,32.0,1.4,1020.8,1027.8,-3.5,-14.3,43.0,2.0,-,4.0,1.0,-,2000.0,-4.1,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202201020200,143.0,0.0,0.4,1020.7,1027.7,-4.0,-13.4,48.0,2.2,-,7.0,5.0,-,2000.0,-4.0,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202201020300,143.0,34.0,0.7,1020.6,1027.6,-4.3,-13.6,48.0,2.1,-,6.0,3.0,AcCi,2000.0,-4.6,-99.0,-99.0,-99.0,-99.0,3.0,7.0
202201020400,143.0,32.0,0.8,1019.8,1026.8,-4.7,-13.0,52.0,2.3,-,2.0,2.0,Ac,2000.0,-5.0,-99.0,-99.0,-99.0,-99.0,3.0,9.0
202201020500,143.0,34.0,0.6,1019.3,1026.3,-4.9,-13.5,51.0,2.2,-,0.0,0.0,-,1950.0,-5.2,-99.0,-99.0,-99.0,-99.0,3.0,15.0
202201020600,143.0,0.0,0.4,1019.1,1026.2,-5.6,-12.1,60.0,2.4,-,0.0,0.0,-,2000.0,-5.6,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202201020700,143.0,25.0,1.3,1019.2,1026.3,-6.0,-12.9,58.0,2.3,-,0.0,0.0,-,2000.0,-5.5,-99.0,-99.0,-99.0,-99.0,3.0,19.0
202201020800,143.0,34.0,1.0,1019.4,1026.5,-5.4,-12.3,58.0,2.4,-,0.0,0.0,-,2000.0,-5.2,-99.0,-99.0,-99.0,-99.0,3.0,14.0
202201020900,143.0,0.0,0.2,1019.7,1026.7,-2.8,-10.8,54.0,2.7,-,4.0,4.0,Sc,2000.0,-1.7,-99.0,-99.0,-99.0,-99.0,3.0,16.0
202201021000,143.0,29.0,0.6,1019.7,1026.6,0.1,-10.7,44.0,2.7,-,1.0,1.0,Sc,2115.0,1.7,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202201021100,143.0,27.0,1.4,1019.6,1026.4,3.0,-11.3,34.0,2.6,-,4.0,4.0,Ac,2000.0,6.7,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202201021200,143.0,29.0,1.8,1019.1,1025.9,4.3,-10.5,33.0,2.8,-,7.0,7.0,Sc,1955.0,6.0,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202201021300,143.0,27.0,3.1,1018.2,1024.9,6.3,-6.3,40.0,3.8,-,4.0,4.0,Sc,1961.0,11.4,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202201021400,143.0,32.0,3.0,1017.6,1024.3,7.3,-3.2,47.0,4.8,-,3.0,3.0,Sc,1806.0,12.8,-99.0,-99.0,-99.0,-99.0,3.0,24.0
202201021500,143.0,29.0,4.8,1017.2,1023.9,7.3,-5.7,39.0,4.0,-,0.0,0.0,-,1466.0,8.7,-99.0,-99.0,-99.0,-99.0,3.0,43.0
202201021600,143.0,29.0,5.0,1017.4,1024.1,6.8,-6.2,39.0,3.8,-,0.0,0.0,-,1538.0,6.3,-99.0,-99.0,-99.0,-99.0,3.0,47.0
202201021700,143.0,29.0,3.4,1017.8,1024.6,5.9,-7.3,38.0,3.5,-,0.0,0.0,-,1346.0,2.7,-99.0,-99.0,-99.0,-99.0,3.0,50.0
202201021800,143.0,32.0,1.9,1018.4,1025.2,4.9,-7.9,39.0,3.4,-,0.0,0.0,-,1101.0,0.3,-99.0,-99.0,-99.0,-99.0,3.0,42.0
202201021900,143.0,29.0,3.8,1018.7,1025.5,4.4,-7.4,42.0,3.5,40,0.0,0.0,-,950.0,-0.1,-99.0,-99.0,-99.0,-99.0,3.0,46.0
202201022000,143.0,32.0,1.0,1019.2,1026.1,2.0,-7.3,50.0,3.5,40,0.0,0.0,-,879.0,-1.9,-99.0,-99.0,-99.0,-99.0,3.0,34.0
202201022100,143.0,32.0,0.5,1019.6,1026.5,1.1,-7.9,51.0,3.4,40,0.0,0.0,-,896.0,-2.6,-99.0,-99.0,-99.0,-99.0,3.0,46.0
202201022200,143.0,29.0,1.9,1019.9,1026.8,0.5,-8.4,51.0,3.2,40,0.0,0.0,-,936.0,-2.7,-99.0,-99.0,-99.0,-99.0,3.0,57.0
202201022300,143.0,25.0,0.6,1019.9,1026.8,-0.7,-8.1,57.0,3.3,40,0.0,0.0,-,910.0,-3.5,-99.0,-99.0,-99.0,-99.0,3.0,35.0
202201030000,143.0,27.0,1.8,1019.9,1026.8,-0.4,-8.5,54.0,3.2,40,0.0,0.0,-,1016.0,-3.8,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202201030100,143.0,0.0,0.4,1019.6,1026.6,-2.1,-8.8,60.0,3.1,-,0.0,0.0,-,1181.0,-4.2,-99.0,-99.0,-99.0,-99.0,3.0,99.0
202201030200,143.0,23.0,0.7,1019.6,1026.6,-2.7,-9.1,61.0,3.1,-,0.0,0.0,-,1198.0,-4.7,-99.0,-99.0,-99.0,-99.0,3.0,49.0
202201030300,143.0,0.0,0.2,1019.8,1026.8,-3.3,-9.5,62.0,3.0,-,0.0,0.0,-,1332.0,-5.1,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202201030400,143.0,23.0,0.5,1019.3,1026.3,-4.3,-9.5,67.0,3.0,-,0.0,0.0,-,1379.0,-5.5,-99.0,-99.0,-99.0,-99.0,3.0,32.0
202201030500,143.0,0.0,0.2,1019.3,1026.3,-4.9,-9.9,68.0,2.9,-,2.0,0.0,Ci,1390.0,-5.5,-99.0,-99.0,-99.0,-99.0,3.0,31.0
202201030600,143.0,0.0,0.2,1019.8,1026.9,-5.7,-9.2,76.0,3.0,19,1.0,0.0,Ci,974.0,-6.1,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202201030700,143.0,23.0,1.0,1020.2,1027.3,-6.1,-9.3,78.0,3.0,19,3.0,0.0,Ci,757.0,-6.0,-99.0,-99.0,-99.0,-99.0,3.0,53.0
202201030800,143.0,23.0,0.8,1020.3,1027.4,-6.4,-9.2,80.0,3.0,19,2.0,0.0,Ci,630.0,-6.2,-99.0,-99.0,-99.0,-99.0,3.0,64.0
202201030900,143.0,14.0,0.9,1020.5,1027.5,-4.3,-8.9,70.0,3.1,19,0.0,0.0,-,671.0,-4.4,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202201031000,143.0,14.0,0.6,1020.4,1027.4,-1.4,-8.6,58.0,3.2,4019,0.0,0.0,-,835.0,0.5,-99.0,-99.0,-99.0,-99.0,3.0,49.0
202201031100,143.0,9.0,0.6,1019.7,1026.6,0.9,-9.1,47.0,3.1,40,0.0,0.0,-,898.0,5.5,-99.0,-99.0,-99.0,-99.0,3.0,51.0
202201031200,143.0,29.0,2.5,1018.6,1025.4,3.5,-13.3,28.0,2.2,40,0.0,0.0,-,1739.0,8.5,-99.0,-99.0,-99.0,-99.0,3.0,50.0
202201031300,143.0,29.0,1.9,1017.3,1024.1,4.8,-13.6,25.0,2.1,-,3.0,3.0,Ac,1951.0,8.6,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202201031400,143.0,29.0,3.4,1016.6,1023.3,6.8,-17.3,16.0,1.6,-,1.0,0.0,Ci,2000.0,10.7,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202201031500,143.0,29.0,4.8,1016.7,1023.5,5.5,-15.7,20.0,1.8,-,0.0,0.0,-,2000.0,8.4,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202201031600,143.0,29.0,4.5,1016.8,1023.6,5.0,-13.4,25.0,2.2,-,0.0,0.0,-,2000.0,5.3,-99.0,-99.0,-99.0,-99.0,3.0,44.0
202201031700,143.0,32.0,4.1,1016.9,1023.7,3.7,-11.5,32.0,2.5,-,0.0,0.0,-,2000.0,1.6,-99.0,-99.0,-99.0,-99.0,3.0,33.0
202201031800,143.0,29.0,3.2,1017.4,1024.2,2.9,-10.7,36.0,2.7,-,0.0,0.0,-,2000.0,-0.3,-99.0,-99.0,-99.0,-99.0,3.0,31.0
202201031900,143.0,32.0,2.3,1017.9,1024.7,2.1,-10.1,40.0,2.8,-,0.0,0.0,-,2000.0,-1.3,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202201032000,143.0,32.0,1.6,1018.3,1025.2,1.1,-9.8,44.0,2.9,-,0.0,0.0,-,2000.0,-1.5,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202201032100,143.0,32.0,1.3,1018.4,1025.3,0.6,-8.9,49.0,3.1,-,0.0,0.0,-,2000.0,-2.1,-99.0,-99.0,-99.0,-99.0,3.0,26.0
202201032200,143.0,29.0,1.9,1018.3,1025.2,0.8,-7.9,52.0,3.4,-,0.0,0.0,-,1997.0,-2.2,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202201032300,143.0,27.0,0.8,1018.2,1025.1,-0.5,-8.2,56.0,3.3,-,0.0,0.0,-,2000.0,-3.0,-99.0,-99.0,-99.0,-99.0,3.0,12.0
202201040000,143.0,34.0,0.6,1018.0,1024.9,-0.8,-7.6,60.0,3.5,-,7.0,7.0,Sc,1997.0,-1.7,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202201040100,143.0,5.0,0.5,1017.7,1024.6,-0.7,-7.5,60.0,3.5,-,0.0,0.0,-,1938.0,-0.9,-99.0,-99.0,-99.0,-99.0,3.0,16.0
202201040200,143.0,5.0,1.3,1017.7,1024.6,-0.7,-7.5,60.0,3.5,-,8.0,8.0,-,2000.0,-1.5,-99.0,-99.0,-99.0,-99.0,3.0,28.0
202201040300,143.0,0.0,0.3,1018.3,1025.2,-1.3,-7.2,64.0,3.6,-,1.0,1.0,Sc,2000.0,-3.1,-99.0,-99.0,-99.0,-99.0,3.0,32.0
202201040400,143.0,0.0,0.4,1018.2,1025.1,-1.5,-7.2,65.0,3.6,-,7.0,7.0,Sc,2008.0,-2.1,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202201040500,143.0,0.0,0.3,1018.0,1024.9,-1.6,-6.9,67.0,3.6,-,4.0,4.0,Sc,1925.0,-3.2,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202201040600,143.0,14.0,0.7,1018.9,1025.8,-1.5,-7.2,65.0,3.6,-,8.0,8.0,Sc,1991.0,-1.2,-99.0,-99.0,-99.0,-99.0,3.0,24.0
202201040700,143.0,0.0,0.2,1019.4,1026.3,-0.8,-7.1,62.0,3.6,-,8.0,8.0,Sc,1990.0,-1.1,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202201040800,143.0,0.0,0.3,1020.0,1026.9,-1.0,-6.3,67.0,3.8,-,6.0,6.0,Sc,1904.0,-2.6,-99.0,-99.0,-99.0,-99.0,3.0,43.0
