TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202201020000,108.0,5.0,2.3,1016.3,1027.3,-2.8,-10.6,55.0,2.7,-,7.0,7.0,Ac,2000.0,-3.3,-0.4,-0.7,-0.3,0.8,3.0,51.0
202201020100,108.0,5.0,2.1,1015.8,1026.8,-2.9,-10.2,57.0,2.8,-,8.0,8.0,-,2000.0,-3.4,-0.4,-0.7,-0.3,0.8,3.0,62.0
202201020200,108.0,5.0,1.9,1015.3,1026.3,-2.6,-9.9,57.0,2.9,-,8.0,8.0,-,2000.0,-2.5,-0.4,-0.7,-0.3,0.8,3.0,44.0
202201020300,108.0,5.0,2.5,1015.1,1026.1,-2.1,-9.7,56.0,2.9,-,9.0,9.0,Sc,2000.0,-2.1,-0.4,-0.7,-0.3,0.8,3.0,39.0
202201020400,108.0,5.0,2.0,1014.3,1025.3,-1.9,-9.7,55.0,2.9,05,8.0,8.0,Sc,2000.0,-2.1,-0.3,-0.7,-0.3,0.8,4.0,44.0
202201020500,108.0,5.0,2.3,1013.6,1024.5,-1.9,-9.5,56.0,3.0,05,9.0,9.0,Sc,1814.0,-2.0,-0.3,-0.7,-0.3,0.8,4.0,39.0
202201020600,108.0,5.0,2.5,1014.1,1025.1,-1.9,-7.4,66.0,3.5,4005,9.0,9.0,Sc,647.0,-1.8,-0.3,-0.7,-0.3,0.8,4.0,48.0
202201020700,108.0,5.0,2.0,1014.3,1025.3,-2.2,-5.0,81.0,4.2,401905,9.0,9.0,Sc,692.0,-1.6,-0.3,-0.6,-0.3,0.8,4.0,57.0
202201020800,108.0,5.0,2.0,1014.6,1025.6,-2.2,-4.7,83.0,4.3,1905,8.0,8.0,Sc,1839.0,-1.9,-0.2,-0.6,-0.3,0.8,4.0,44.0
202201020900,108.0,34.0,1.4,1015.4,1026.4,-1.9,-4.5,82.0,4.4,-,8.0,8.0,Sc,1854.0,-1.5,-0.2,-0.6,-0.3,0.8,3.0,41.0
202201021000,108.0,25.0,0.7,1016.2,1027.1,-0.8,-3.6,81.0,4.7,-,7.0,7.0,Sc,1924.0,-0.8,-0.2,-0.6,-0.3,0.8,3.0,48.0
202201021100,108.0,32.0,3.3,1016.7,1027.6,0.0,-3.0,80.0,4.9,19,8.0,8.0,Sc,930.0,-0.1,-0.1,-0.6,-0.3,0.8,3.0,59.0
202201021200,108.0,27.0,2.4,1016.3,1027.1,1.4,-2.7,74.0,5.0,19,6.0,6.0,Sc,990.0,4.3,0.0,-0.5,-0.3,0.8,3.0,63.0
202201021300,108.0,29.0,3.6,1015.7,1026.5,1.4,-4.0,67.0,4.5,19,3.0,3.0,Sc,1167.0,3.8,0.0,-0.5,-0.3,0.8,3.0,66.0
202201021400,108.0,29.0,3.5,1015.0,1025.8,2.4,-5.7,55.0,4.0,-,1.0,1.0,Sc,1678.0,6.2,0.1,-0.5,-0.3,0.8,3.0,54.0
202201021500,108.0,27.0,3.3,1015.1,1025.9,2.5,-7.9,46.0,3.4,-,0.0,0.0,-,2000.0,2.7,0.1,-0.4,-0.3,0.8,3.0,40.0
202201021600,108.0,27.0,3.0,1015.3,1026.1,2.5,-8.2,45.0,3.3,-,0.0,0.0,-,2000.0,0.2,0.1,-0.4,-0.3,0.8,3.0,42.0
202201021700,108.0,27.0,2.7,1015.6,1026.4,1.2,-9.4,45.0,3.0,-,0.0,0.0,-,2000.0,-0.1,0.1,-0.4,-0.3,0.8,3.0,29.0
202201021800,108.0,27.0,2.9,1016.1,1027.0,-0.5,-12.4,40.0,2.4,-,0.0,0.0,-,2000.0,-0.8,0.1,-0.4,-0.3,0.8,3.0,38.0
202201021900,108.0,27.0,2.0,1016.8,1027.8,-1.6,-13.1,41.0,2.2,-,0.0,0.0,-,2000.0,-1.5,0.1,-0.4,-0.3,0.8,3.0,24.0
