TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201901020000,156.0,11.0,156,2,2.6,-9,-9.0,-9,1025.0,1034.3,3,0.3,0.1,-6.5,61.0,3.8,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,12,Sc,0,0,5,2000,-9.0,-9.0,-9,-1.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020300,156.0,7.0,156,5,1.8,-9,-9.0,-9,1025.8,1035.1,2,0.8,-1.0,-6.1,68.0,3.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,12,Sc,0,0,5,2000,-9.0,-9.0,-9,-1.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020600,156.0,12.0,156,5,1.5,-9,-9.0,-9,1025.3,1034.6,7,-0.5,-1.5,-7.4,64.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,10,Sc,0,0,5,2000,-9.0,-9.0,-9,-2.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901020900,156.0,8.0,156,2,0.8,-9,-9.0,-9,1027.0,1036.3,2,1.7,-1.3,-7.0,65.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,12,Sc,0,0,5,1922,0.4,0.31,-9,-2.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901021200,156.0,23.0,156,32,1.3,-9,-9.0,-9,1025.3,1034.5,8,-1.8,2.7,-5.4,55.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,10,Sc,0,0,5,2000,1.0,1.86,-9,7.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901021500,156.0,30.0,156,36,2.1,-9,-9.0,-9,1023.8,1032.9,7,-1.6,3.4,-6.3,49.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,12,Sc,0,0,5,1995,0.8,1.13,-9,6.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201901021800,156.0,19.0,156,2,0.9,-9,-9.0,-9,1025.0,1034.3,2,1.4,0.4,-6.6,59.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.1,0.08,-9,-1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201901022100,156.0,16.0,156,2,1.5,-9,-9.0,-9,1025.3,1034.6,0,0.3,-1.3,-6.8,66.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1986,-9.0,-9.0,-9,-2.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201901030000,156.0,14.0,156,5,2.0,-9,-9.0,-9,1025.4,1034.8,1,0.2,-2.1,-6.2,73.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-4.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201901030300,156.0,11.0,156,2,1.1,-9,-9.0,-9,1026.0,1035.4,2,0.6,-3.1,-6.2,79.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1961,-9.0,-9.0,-9,-5.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
