TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202001020000,136.0,45.0,136,0,0.0,-9,-9.0,-9,1013.7,1031.9,1,0.2,-3.3,-6.4,79.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,0,0,-9,-,-9,-9,-9,864,-9.0,-9.0,-9,-5.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001020300,136.0,38.0,136,0,0.0,-9,-9.0,-9,1012.4,1030.7,7,-1.2,-5.0,-7.1,85.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,688,-9.0,-9.0,-9,-6.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001020600,136.0,35.0,136,0,0.0,-9,-9.0,-9,1012.9,1031.3,2,0.6,-6.0,-7.6,88.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,6,0,-9,Ci,1,0,0,581,-9.0,-9.0,-9,-6.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001020900,136.0,47.0,136,0,0.2,-9,-9.0,-9,1014.0,1032.3,2,1.0,-5.4,-6.7,90.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,4,0,-9,Ci,1,0,0,361,0.9,0.37,-9,-3.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001021200,136.0,43.0,136,27,2.0,-9,-9.0,-9,1012.0,1029.7,7,-2.6,3.7,-4.0,57.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,10,4019,3,0,-9,Ci,1,0,0,910,1.0,1.73,-9,6.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001021500,136.0,40.0,136,29,4.0,-9,-9.0,-9,1009.8,1027.3,5,-2.4,5.6,-4.8,47.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,10,Sc,0,0,5,1436,1.0,1.25,-9,5.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001021800,136.0,55.0,136,29,2.8,-9,-9.0,-9,1010.8,1028.5,0,1.2,2.7,-2.8,67.0,5.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,9,10,Sc,0,0,5,770,0.0,0.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001022100,136.0,46.0,136,29,1.9,-9,-9.0,-9,1010.6,1028.4,5,-0.1,1.7,-2.8,72.0,5.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,8,8,10,Sc,0,0,5,562,-9.0,-9.0,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030000,136.0,61.0,136,29,2.4,-9,-9.0,-9,1010.5,1028.4,4,0.0,0.6,-3.6,73.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,493,-9.0,-9.0,-9,-2.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030300,136.0,61.0,136,32,1.5,-9,-9.0,-9,1009.8,1027.8,5,-0.6,-0.8,-5.2,72.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,544,-9.0,-9.0,-9,-3.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030600,136.0,46.0,136,0,0.1,-9,-9.0,-9,1009.1,1027.1,7,-0.7,-1.6,-5.4,75.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,3,0,-9,Ci,1,0,0,528,-9.0,-9.0,-9,-4.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030900,136.0,62.0,136,29,1.6,-9,-9.0,-9,1009.8,1027.7,2,0.6,-0.7,-4.7,74.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,456,0.8,0.29,-9,-1.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031200,136.0,54.0,136,27,3.7,-9,-9.0,-9,1008.9,1026.5,8,-1.2,4.2,-4.8,52.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,828,1.0,1.7,-9,6.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031500,136.0,36.0,136,27,4.1,-9,-9.0,-9,1006.5,1023.9,7,-2.6,6.6,-7.8,35.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1506,1.0,1.39,-9,5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001031800,136.0,39.0,136,29,2.4,-9,-9.0,-9,1007.4,1025.0,2,1.1,3.5,-7.9,43.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1284,0.0,0.01,-9,-0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001032100,136.0,40.0,136,29,1.5,-9,-9.0,-9,1008.7,1026.6,1,1.6,0.6,-7.6,54.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1108,-9.0,-9.0,-9,-2.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001040000,136.0,49.0,136,0,0.0,-9,-9.0,-9,1008.0,1026.0,7,-0.6,-2.3,-7.0,70.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,616,-9.0,-9.0,-9,-4.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001040300,136.0,65.0,136,0,0.0,-9,-9.0,-9,1007.9,1026.1,3,0.1,-3.9,-7.6,75.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,606,-9.0,-9.0,-9,-5.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001040600,136.0,58.0,136,0,0.2,-9,-9.0,-9,1007.6,1025.9,5,-0.2,-5.3,-7.7,83.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,471,-9.0,-9.0,-9,-6.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001040900,136.0,48.0,136,0,0.0,-9,-9.0,-9,1008.5,1026.6,2,0.7,-3.3,-6.4,79.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,7,0,-9,Ci,1,0,0,498,0.7,0.47,-9,-1.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
