TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,143.0,11.0,143,0,0.3,-9,-9.0,-9,1021.1,1028.1,7,-0.3,-3.1,-14.2,42.0,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,0,-9,Ci,1,0,0,1985,-9.0,-9.0,-9,-3.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020300,143.0,7.0,143,34,0.7,-9,-9.0,-9,1020.6,1027.6,7,-0.5,-4.3,-13.6,48.0,2.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,3,35,AcCi,1,3,0,2000,-9.0,-9.0,-9,-4.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020600,143.0,18.0,143,0,0.4,-9,-9.0,-9,1019.1,1026.2,7,-1.4,-5.6,-12.1,60.0,2.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-5.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020900,143.0,16.0,143,0,0.2,-9,-9.0,-9,1019.7,1026.7,2,0.5,-2.8,-10.8,54.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,10,Sc,0,0,5,2000,0.9,0.43,-9,-1.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021200,143.0,21.0,143,29,1.8,-9,-9.0,-9,1019.1,1025.9,7,-0.8,4.3,-10.5,33.0,2.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,18,Sc,0,0,5,1955,0.6,1.31,-9,6.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021500,143.0,43.0,143,29,4.8,-9,-9.0,-9,1017.2,1023.9,7,-2.0,7.3,-5.7,39.0,4.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1466,1.0,1.29,-9,8.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021800,143.0,42.0,143,32,1.9,-9,-9.0,-9,1018.4,1025.2,2,1.3,4.9,-7.9,39.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1101,0.0,0.02,-9,0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201022100,143.0,46.0,143,32,0.5,-9,-9.0,-9,1019.6,1026.5,2,1.3,1.1,-7.9,51.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,896,-9.0,-9.0,-9,-2.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202201030000,143.0,37.0,143,27,1.8,-9,-9.0,-9,1019.9,1026.8,1,0.3,-0.4,-8.5,54.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,1016,-9.0,-9.0,-9,-3.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030300,143.0,37.0,143,0,0.2,-9,-9.0,-9,1019.8,1026.8,4,0.0,-3.3,-9.5,62.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1332,-9.0,-9.0,-9,-5.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
