TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,146.0,49.0,146,0,0.3,-9,-9.0,-9,1020.8,1028.6,1,0.2,-1.6,-9.7,54.0,2.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,40,Ac,0,3,0,1998,-9.0,-9.0,-9,-3.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020300,146.0,33.0,146,14,0.9,-9,-9.0,-9,1020.2,1028.0,6,-0.6,-3.8,-9.2,66.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1912,-9.0,-9.0,-9,-5.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020600,146.0,17.0,146,9,1.6,-9,-9.0,-9,1018.2,1026.0,5,-2.0,-2.4,-11.4,50.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,12,Sc,0,0,5,2000,-9.0,-9.0,-9,-4.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020900,146.0,19.0,146,11,1.0,-9,-9.0,-9,1019.3,1027.0,2,1.0,-0.1,-10.0,47.0,2.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,12,Sc,0,0,5,2000,0.0,0.13,-9,-0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021200,146.0,43.0,146,0,0.4,-9,-9.0,-9,1020.2,1027.8,0,0.8,2.8,-5.1,56.0,4.2,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,7,Sc,0,0,5,1974,0.0,0.56,-9,3.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021500,146.0,77.0,146,25,2.6,-9,-9.0,-9,1018.5,1026.0,7,-1.8,5.5,-2.8,55.0,5.0,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,5,0,40,2,2,12,Sc,0,0,5,767,0.9,1.23,-9,6.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202201021800,146.0,47.0,146,25,2.2,-9,-9.0,-9,1019.2,1026.8,2,0.8,2.5,-4.2,61.0,4.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1490,0.0,0.03,-9,-0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201022100,146.0,26.0,146,23,1.6,-9,-9.0,-9,1020.4,1028.1,2,1.3,0.1,-5.9,64.0,3.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-3.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030000,146.0,39.0,146,0,0.3,-9,-9.0,-9,1020.4,1028.2,3,0.1,-2.4,-5.5,79.0,4.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1201,-9.0,-9.0,-9,-5.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030300,146.0,46.0,146,11,1.1,-9,-9.0,-9,1020.2,1028.0,6,-0.2,-3.8,-6.4,82.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1183,-9.0,-9.0,-9,-6.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030600,146.0,29.0,146,11,1.2,-9,-9.0,-9,1020.5,1028.4,3,0.4,-5.0,-7.2,84.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,0,-9,Ci,1,0,0,1269,-9.0,-9.0,-9,-6.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030900,146.0,33.0,146,11,0.7,-9,-9.0,-9,1020.1,1027.9,6,-0.5,-3.3,-7.8,71.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1579,0.9,0.5,-9,-4.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201031200,146.0,38.0,146,36,1.1,-9,-9.0,-9,1020.1,1027.7,8,-0.2,2.1,-7.7,48.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.75,-9,8.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201031500,146.0,24.0,146,34,1.8,-9,-9.0,-9,1017.8,1025.4,7,-2.3,3.3,-7.2,46.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.38,-9,8.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201031800,146.0,24.0,146,27,1.1,-9,-9.0,-9,1018.3,1025.9,2,0.5,2.1,-4.4,62.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.0,0.03,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
